Source,Target,count,Type,Weight
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,4127566,Undirected,0.0375450839662
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,3848310,Undirected,0.0350049210789
CRISISLEX_C07_SAFETY,TAX_FNCACT_POLICE,3573637,Undirected,0.0325064459853
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,2816667,Undirected,0.0256209104882
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,2727183,Undirected,0.0248069479025
CRISISLEX_C07_SAFETY,MANMADE_DISASTER_IMPLIED,2397419,Undirected,0.0218073551476
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,2249484,Undirected,0.0204617117354
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,2235555,Undirected,0.0203350110419
CRISISLEX_C07_SAFETY,KILL,2168961,Undirected,0.0197292600202
CRISISLEX_C07_SAFETY,LEADER,2097199,Undirected,0.0190764999394
CRISISLEX_C07_SAFETY,GENERAL_GOVERNMENT,2027982,Undirected,0.0184468896371
CRISISLEX_C07_SAFETY,WB_2433_CONFLICT_AND_VIOLENCE,1982480,Undirected,0.0180329952474
CRISISLEX_C07_SAFETY,SOC_GENERALCRIME,1977450,Undirected,0.0179872414612
CRISISLEX_C07_SAFETY,ARREST,1866433,Undirected,0.0169774108282
CRISISLEX_C07_SAFETY,ARMEDCONFLICT,1828375,Undirected,0.0166312284036
CRISISLEX_C07_SAFETY,MEDIA_MSM,1797053,Undirected,0.0163463178485
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,1787277,Undirected,0.0162573935913
CRISISLEX_C07_SAFETY,UNGP_FORESTS_RIVERS_OCEANS,1777392,Undirected,0.0161674778504
CRISISLEX_C07_SAFETY,WB_1014_CRIMINAL_JUSTICE,1745901,Undirected,0.0158810300409
CRISISLEX_C07_SAFETY,TRIAL,1706269,Undirected,0.0155205302287
CRISISLEX_C07_SAFETY,CRISISLEX_T03_DEAD,1705549,Undirected,0.015513980979
CRISISLEX_C07_SAFETY,MEDICAL,1705069,Undirected,0.0155096148125
CRISISLEX_C07_SAFETY,USPEC_POLICY1,1695285,Undirected,0.0154206177858
CRISISLEX_C07_SAFETY,WB_621_HEALTH_NUTRITION_AND_POPULATION,1661679,Undirected,0.0151149315553
CRISISLEX_C07_SAFETY,CRISISLEX_C03_WELLBEING_HEALTH,1509163,Undirected,0.0137276185417
CRISISLEX_C07_SAFETY,CRISISLEX_T02_INJURED,1472668,Undirected,0.0133956534467
CRISISLEX_C07_SAFETY,WB_832_ANTI_CORRUPTION,1421981,Undirected,0.0129345953628
CRISISLEX_C07_SAFETY,EPU_POLICY_GOVERNMENT,1380198,Undirected,0.0125545296671
CRISISLEX_C07_SAFETY,TERROR,1338308,Undirected,0.0121734906801
CRISISLEX_C07_SAFETY,LEGISLATION,1322900,Undirected,0.0120333367362
CRISISLEX_C07_SAFETY,TAX_FNCACT_PRESIDENT,1236859,Undirected,0.0112506922989
CRISISLEX_C07_SAFETY,WB_694_BROADCAST_AND_MEDIA,1200946,Undirected,0.0109240211807
CRISISLEX_C07_SAFETY,WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,1166794,Undirected,0.0106133684359
CRISISLEX_CRISISLEXREC,SECURITY_SERVICES,2520396,Undirected,0.0229259760954
CRISISLEX_CRISISLEXREC,TAX_FNCACT_POLICE,2308991,Undirected,0.0210029981283
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,1842204,Undirected,0.016757019479
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1828456,Undirected,0.0166319651942
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,1814613,Undirected,0.0165060467722
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,1525038,Undirected,0.0138720204018
CRISISLEX_CRISISLEXREC,KILL,1743663,Undirected,0.0158606727897
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,1287750,Undirected,0.0117136060035
CRISISLEX_CRISISLEXREC,SOC_GENERALCRIME,1348111,Undirected,0.0122626605343
CRISISLEX_CRISISLEXREC,ARMEDCONFLICT,1333157,Undirected,0.0121266362561
CRISISLEX_CRISISLEXREC,GENERAL_HEALTH,1240023,Undirected,0.0112794726129
CRISISLEX_CRISISLEXREC,CRISISLEX_T03_DEAD,1457025,Undirected,0.0132533619004
CRISISLEX_CRISISLEXREC,WB_621_HEALTH_NUTRITION_AND_POPULATION,1146385,Undirected,0.0104277244949
CRISISLEX_CRISISLEXREC,CRISISLEX_T02_INJURED,1366502,Undirected,0.0124299483836
SECURITY_SERVICES,TAX_FNCACT_POLICE,3335296,Undirected,0.0303384533094
SECURITY_SERVICES,WB_696_PUBLIC_SECTOR_MANAGEMENT,1622713,Undirected,0.0147604897991
SECURITY_SERVICES,MANMADE_DISASTER_IMPLIED,1482756,Undirected,0.0134874157122
SECURITY_SERVICES,KILL,1371598,Undirected,0.0124763025177
SECURITY_SERVICES,SOC_GENERALCRIME,1298112,Undirected,0.0118078606224
SECURITY_SERVICES,WB_1014_CRIMINAL_JUSTICE,1181168,Undirected,0.0107441169295
TAX_FNCACT_POLICE,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1318946,Undirected,0.0119973704399
TAX_FNCACT_POLICE,WB_840_JUSTICE,1237429,Undirected,0.0112558771216
TAX_FNCACT_POLICE,SOC_GENERALCRIME,1225219,Undirected,0.0111448127618
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,2046381,Undirected,0.0186142502559
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,1374398,Undirected,0.0125017718222
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_2024_ANTI_CORRUPTION_AUTHORITIES,1174038,Undirected,0.0106792611649
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,1809454,Undirected,0.0164591195787
WB_831_GOVERNANCE,WB_2024_ANTI_CORRUPTION_AUTHORITIES,1140443,Undirected,0.0103736749924
