Source,Target,count,Type,Weight
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,171897,Undirected,0.0343159087057
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,149270,Undirected,0.0297988661379
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,136487,Undirected,0.0272469876235
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,125179,Undirected,0.0249895643081
CRISISLEX_C07_SAFETY,TAX_FNCACT_POLICE,121399,Undirected,0.0242349604761
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,114098,Undirected,0.0227774571488
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,104918,Undirected,0.0209448478425
CRISISLEX_C07_SAFETY,MANMADE_DISASTER_IMPLIED,103605,Undirected,0.0206827328078
CRISISLEX_C07_SAFETY,WB_1014_CRIMINAL_JUSTICE,101062,Undirected,0.0201750720816
CRISISLEX_C07_SAFETY,MEDIA_MSM,99588,Undirected,0.0198808165133
CRISISLEX_C07_SAFETY,ARMEDCONFLICT,97306,Undirected,0.0194252593851
CRISISLEX_C07_SAFETY,KILL,94099,Undirected,0.0187850439118
CRISISLEX_C07_SAFETY,LEGISLATION,91939,Undirected,0.018353841722
CRISISLEX_C07_SAFETY,LEADER,88972,Undirected,0.0177615376031
CRISISLEX_C07_SAFETY,WB_2433_CONFLICT_AND_VIOLENCE,85524,Undirected,0.0170732111447
CRISISLEX_C07_SAFETY,ARREST,85011,Undirected,0.0169708006247
CRISISLEX_C07_SAFETY,TRIAL,84286,Undirected,0.0168260684082
CRISISLEX_C07_SAFETY,USPEC_POLICY1,77776,Undirected,0.0155264729198
CRISISLEX_C07_SAFETY,GENERAL_GOVERNMENT,76271,Undirected,0.0152260288015
CRISISLEX_C07_SAFETY,WB_831_GOVERNANCE,74633,Undirected,0.0148990338076
CRISISLEX_C07_SAFETY,EPU_POLICY_LAW,71944,Undirected,0.0143622270076
CRISISLEX_C07_SAFETY,EPU_ECONOMY_HISTORIC,70349,Undirected,0.0140438161314
CRISISLEX_C07_SAFETY,TAX_ETHNICITY_RUSSIAN,69841,Undirected,0.0139424037646
CRISISLEX_C07_SAFETY,CRISISLEX_T03_DEAD,65751,Undirected,0.0131259144331
CRISISLEX_C07_SAFETY,WB_2024_ANTI_CORRUPTION_AUTHORITIES,64570,Undirected,0.0128901506433
CRISISLEX_C07_SAFETY,UNGP_FORESTS_RIVERS_OCEANS,62484,Undirected,0.0124737211212
CRISISLEX_C07_SAFETY,TAX_FNCACT_PRESIDENT,60847,Undirected,0.012146925758
CRISISLEX_C07_SAFETY,WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,58964,Undirected,0.0117710212565
CRISISLEX_C07_SAFETY,WB_2025_INVESTIGATION,56903,Undirected,0.0113595825005
CRISISLEX_CRISISLEXREC,SECURITY_SERVICES,104487,Undirected,0.0208588070352
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,96695,Undirected,0.019303285062
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,82977,Undirected,0.016564751896
CRISISLEX_CRISISLEXREC,TAX_FNCACT_POLICE,82652,Undirected,0.0164998719369
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,84672,Undirected,0.0169031258366
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,80773,Undirected,0.016124765958
CRISISLEX_CRISISLEXREC,WB_1014_CRIMINAL_JUSTICE,77410,Undirected,0.0154534081043
CRISISLEX_CRISISLEXREC,ARMEDCONFLICT,70265,Undirected,0.0140270471573
CRISISLEX_CRISISLEXREC,KILL,76847,Undirected,0.0153410160521
CRISISLEX_CRISISLEXREC,WB_2433_CONFLICT_AND_VIOLENCE,58782,Undirected,0.0117346884794
CRISISLEX_CRISISLEXREC,CRISISLEX_T03_DEAD,58841,Undirected,0.0117464666873
SECURITY_SERVICES,WB_696_PUBLIC_SECTOR_MANAGEMENT,82404,Undirected,0.0164503635374
SECURITY_SERVICES,TAX_FNCACT_POLICE,121253,Undirected,0.0242058144022
SECURITY_SERVICES,MANMADE_DISASTER_IMPLIED,63657,Undirected,0.0127078878659
SECURITY_SERVICES,ARMEDCONFLICT,57653,Undirected,0.011509305483
SECURITY_SERVICES,LEGISLATION,60252,Undirected,0.0120281455251
WB_696_PUBLIC_SECTOR_MANAGEMENT,TAX_FNCACT_POLICE,60315,Undirected,0.0120407222557
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,114098,Undirected,0.0227774571488
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_1014_CRIMINAL_JUSTICE,101062,Undirected,0.0201750720816
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,74633,Undirected,0.0148990338076
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_2024_ANTI_CORRUPTION_AUTHORITIES,64570,Undirected,0.0128901506433
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,ARMEDCONFLICT,64010,Undirected,0.012778357483
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,85524,Undirected,0.0170732111447
WB_840_JUSTICE,WB_1014_CRIMINAL_JUSTICE,101062,Undirected,0.0201750720816
WB_840_JUSTICE,WB_832_ANTI_CORRUPTION,62228,Undirected,0.0124226156765
WB_840_JUSTICE,WB_2025_INVESTIGATION,56903,Undirected,0.0113595825005
USPEC_POLITICS_GENERAL1,TAX_FNCACT_PRESIDENT,60794,Undirected,0.0121363453339
