a_name,b_name,count
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,41275668
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,38483109
CRISISLEX_C07_SAFETY,TAX_FNCACT_POLICE,35736376
SECURITY_SERVICES,TAX_FNCACT_POLICE,33352961
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,28166673
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,27271834
CRISISLEX_CRISISLEXREC,SECURITY_SERVICES,25203968
CRISISLEX_C07_SAFETY,MANMADE_DISASTER_IMPLIED,23974195
CRISISLEX_CRISISLEXREC,TAX_FNCACT_POLICE,23089917
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,22494846
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,22355556
CRISISLEX_C07_SAFETY,KILL,21689615
CRISISLEX_C07_SAFETY,LEADER,20971999
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,20463812
CRISISLEX_C07_SAFETY,GENERAL_GOVERNMENT,20279823
CRISISLEX_C07_SAFETY,WB_2433_CONFLICT_AND_VIOLENCE,19824808
CRISISLEX_C07_SAFETY,SOC_GENERALCRIME,19774503
ARREST,CRISISLEX_C07_SAFETY,18664332
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,18422040
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,18284569
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,18283758
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,18146130
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,18094542
CRISISLEX_C07_SAFETY,MEDIA_MSM,17970531
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,17872772
CRISISLEX_C07_SAFETY,UNGP_FORESTS_RIVERS_OCEANS,17773925
CRISISLEX_C07_SAFETY,WB_1014_CRIMINAL_JUSTICE,17459011
CRISISLEX_CRISISLEXREC,KILL,17436639
CRISISLEX_C07_SAFETY,TRIAL,17062696
CRISISLEX_C07_SAFETY,CRISISLEX_T03_DEAD,17055499
CRISISLEX_C07_SAFETY,MEDICAL,17050692
CRISISLEX_C07_SAFETY,USPEC_POLICY1,16952854
CRISISLEX_C07_SAFETY,WB_621_HEALTH_NUTRITION_AND_POPULATION,16616799
SECURITY_SERVICES,WB_696_PUBLIC_SECTOR_MANAGEMENT,16227136
WB_1014_CRIMINAL_JUSTICE,WB_696_PUBLIC_SECTOR_MANAGEMENT,15990774
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,15788598
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,15250386
CRISISLEX_C07_SAFETY,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,15197073
CRISISLEX_C03_WELLBEING_HEALTH,CRISISLEX_C07_SAFETY,15091631
CRISISLEX_C07_SAFETY,WB_831_GOVERNANCE,15043162
SECURITY_SERVICES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,15042707
CRISISLEX_T03_DEAD,KILL,14966842
