a_name,b_name,count
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,42990864
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,36002376
CRISISLEX_CRISISLEXREC,KILL,33785273
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,33382021
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,32325854
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,31409706
CRISISLEX_CRISISLEXREC,LEADER,29889658
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,28694172
CRISISLEX_CRISISLEXREC,UNGP_FORESTS_RIVERS_OCEANS,28154340
CRISISLEX_CRISISLEXREC,CRISISLEX_T03_DEAD,28125877
CRISISLEX_CRISISLEXREC,GENERAL_HEALTH,27585488
CRISISLEX_CRISISLEXREC,SECURITY_SERVICES,27512762
CRISISLEX_CRISISLEXREC,CRISISLEX_T02_INJURED,26226290
CRISISLEX_CRISISLEXREC,MEDICAL,25825046
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,25192018
CRISISLEX_CRISISLEXREC,WB_621_HEALTH_NUTRITION_AND_POPULATION,24937799
CRISISLEX_CRISISLEXREC,MEDIA_MSM,24884090
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,24640940
CRISISLEX_CRISISLEXREC,TAX_FNCACT_POLICE,24328824
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,24139509
CRISISLEX_C03_WELLBEING_HEALTH,CRISISLEX_CRISISLEXREC,24054767
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,24051382
CRISISLEX_T03_DEAD,KILL,23945118
CRISISLEX_CRISISLEXREC,WB_2433_CONFLICT_AND_VIOLENCE,23686115
CRISISLEX_C07_SAFETY,TAX_FNCACT_POLICE,22015151
GENERAL_HEALTH,MEDICAL,21436164
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,21336148
SECURITY_SERVICES,TAX_FNCACT_POLICE,21335135
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,20932337
CRISISLEX_CRISISLEXREC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,20353882
CRISISLEX_CRISISLEXREC,EDUCATION,20298712
CRISISLEX_CRISISLEXREC,EPU_ECONOMY_HISTORIC,20163232
LEADER,USPEC_POLITICS_GENERAL1,20116140
AFFECT,CRISISLEX_CRISISLEXREC,19826185
CRISISLEX_CRISISLEXREC,EPU_POLICY_GOVERNMENT,19718732
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,19488397
CRISISLEX_C07_SAFETY,MANMADE_DISASTER_IMPLIED,18950189
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,18658574
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,18553044
KILL,MANMADE_DISASTER_IMPLIED,18544828
CRISISLEX_C07_SAFETY,KILL,18244285
CRISISLEX_CRISISLEXREC,EPU_CATS_MIGRATION_FEAR_FEAR,18001650
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,17446791
CRISISLEX_CRISISLEXREC,SOC_GENERALCRIME,17440791
EPU_POLICY_GOVERNMENT,GENERAL_GOVERNMENT,17358424
CRISISLEX_CRISISLEXREC,TAX_FNCACT_AUTHORITIES,17336150
CRISISLEX_CRISISLEXREC,WB_1014_CRIMINAL_JUSTICE,17137299
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,16876604
CRISISLEX_CRISISLEXREC,LEGISLATION,16750152
CRISISLEX_CRISISLEXREC,TRIAL,16583063
ARREST,CRISISLEX_CRISISLEXREC,16457131
CRISISLEX_CRISISLEXREC,TERROR,16362330
CRISISLEX_CRISISLEXREC,WB_694_BROADCAST_AND_MEDIA,16339978
CRISISLEX_T02_INJURED,KILL,16267887
CRISISLEX_CRISISLEXREC,WB_831_GOVERNANCE,15580513
CRISISLEX_CRISISLEXREC,WB_135_TRANSPORT,15483787
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,15437915
CRISISLEX_CRISISLEXREC,EPU_POLICY_AUTHORITIES,15419704
LEADER,TAX_FNCACT_PRESIDENT,15414373
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,15362152
CRISISLEX_C07_SAFETY,CRISISLEX_T03_DEAD,15321426
CRISISLEX_T03_DEAD,MANMADE_DISASTER_IMPLIED,15273664
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,15259713
CRISISLEX_C03_WELLBEING_HEALTH,GENERAL_HEALTH,15237836
WB_1014_CRIMINAL_JUSTICE,WB_696_PUBLIC_SECTOR_MANAGEMENT,15234504
CRISISLEX_T02_INJURED,CRISISLEX_T03_DEAD,15156391
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,15072854
CRISISLEX_C03_WELLBEING_HEALTH,MEDICAL,15052912
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,14964347
CRISISLEX_CRISISLEXREC,CRISISLEX_T11_UPDATESSYMPATHY,14685361
GENERAL_GOVERNMENT,LEADER,14664188
CRISISLEX_C07_SAFETY,CRISISLEX_T02_INJURED,14516513
CRISISLEX_CRISISLEXREC,WOUND,14458654
CRISISLEX_T02_INJURED,MANMADE_DISASTER_IMPLIED,14428491
CRISISLEX_CRISISLEXREC,WB_832_ANTI_CORRUPTION,14408735
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,14373093
GENERAL_HEALTH,WB_621_HEALTH_NUTRITION_AND_POPULATION,14230698
ARMEDCONFLICT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,14180255
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,14125661
CRISISLEX_CRISISLEXREC,TAX_FNCACT_MINISTER,14120135
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,14102056
KILL,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13929852
CRISISLEX_C07_SAFETY,WB_2433_CONFLICT_AND_VIOLENCE,13895107
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13875336
CRISISLEX_C07_SAFETY,LEADER,13844113
CRISISLEX_CRISISLEXREC,CRISISLEX_T01_CAUTION_ADVICE,13819690
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,13801289
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,13799103
CRISISLEX_C03_WELLBEING_HEALTH,CRISISLEX_T02_INJURED,13572742
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,13510111
CRISISLEX_CRISISLEXREC,TAX_ECON_PRICE,13507533
MANMADE_DISASTER_IMPLIED,WB_696_PUBLIC_SECTOR_MANAGEMENT,13441681
CRISISLEX_C07_SAFETY,GENERAL_GOVERNMENT,13425992
MANMADE_DISASTER_IMPLIED,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13335546
CRISISLEX_C07_SAFETY,SOC_GENERALCRIME,13208689
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13194975
CRISISLEX_CRISISLEXREC,TAX_FNCACT_MAN,13178874
GENERAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13177343
EPU_POLICY_AUTHORITIES,TAX_FNCACT_AUTHORITIES,13165447
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,13036109
