Source,Target,count,Type,Weight
WB_694_BROADCAST_AND_MEDIA,MANMADE_DISASTER_IMPLIED,"9100292
",Undirected,0.00204714217714
EPU_CATS_MIGRATION_FEAR_FEAR,KILL,10588948,Undirected,0.00238202049587
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"16139182
",Undirected,0.00363056484087
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"12922381
",Undirected,0.00290693432411
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"7212158
",Undirected,0.00162239989992
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"11783625
",Undirected,0.00265076722122
GENERAL_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,"20193921
",Undirected,0.00454269241042
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"14711249
",Undirected,0.00330934637112
LEADER,USPEC_POLICY1,"14310890
",Undirected,0.00321928422862
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"22131307
",Undirected,0.00497851409548
GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,"15055135
",Undirected,0.00338670471685
GENERAL_GOVERNMENT,KILL,"12984182
",Undirected,0.00292083667292
EPU_POLICY_GOVERNMENT,MEDIA_MSM,"11053537
",Undirected,0.00248653139914
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,"13036109
",Undirected,0.00293251783127
MEDIA_MSM,USPEC_POLITICS_GENERAL1,"10070403
",Undirected,0.00226537200368
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"16919207
",Undirected,0.00380603416391
ARMEDCONFLICT,LEADER,"12690274
",Undirected,0.00285472105125
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"8355819
",Undirected,0.00187967039953
EDUCATION,GENERAL_GOVERNMENT,"13990945
",Undirected,0.0031473114937
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,"9708303
",Undirected,0.00218391635563
MEDICAL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"9031450
",Undirected,0.00203165593102
EPU_POLICY_GOVERNMENT,LEGISLATION,"9274347
",Undirected,0.00208629645172
UNGP_FORESTS_RIVERS_OCEANS,CRISISLEX_C07_SAFETY,"17773925
",Undirected,0.00399830593578
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,"11574386
",Undirected,0.0026036981841
EPU_ECONOMY_HISTORIC,EPU_CATS_MIGRATION_FEAR_FEAR,7007499,Undirected,0.00157636114964
EPU_ECONOMY_HISTORIC,WB_694_BROADCAST_AND_MEDIA,"9090893
",Undirected,0.00204502783957
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,"9935262
",Undirected,0.00223497156807
WB_678_DIGITAL_GOVERNMENT,EDUCATION,"10094900
",Undirected,0.00227088268861
EPU_ECONOMY,GENERAL_GOVERNMENT,"11945410
",Undirected,0.00268716131683
WB_694_BROADCAST_AND_MEDIA,KILL,"7654028
",Undirected,0.00172180008552
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,"17167933
",Undirected,0.00386198593833
EPU_POLICY_LAW,KILL,7003194,Undirected,0.00157539272499
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,EPU_CATS_MIGRATION_FEAR_FEAR,"11888113
",Undirected,0.00267427215841
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,MEDICAL,"12669431
",Undirected,0.00285003234627
UNGP_FORESTS_RIVERS_OCEANS,MEDIA_MSM,14887390,Undirected,0.00334896989861
ARMEDCONFLICT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"9471768
",Undirected,0.00213070698884
GENERAL_GOVERNMENT,USPEC_POLICY1,"25797277
",Undirected,0.00580318673315
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,"14578491
",Undirected,0.00327948199961
TAX_ECON_PRICE,USPEC_POLICY1,"16131326
",Undirected,0.00362879760648
MEDIA_MSM,EPU_CATS_MIGRATION_FEAR_FEAR,7535196,Undirected,0.0016950684159
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,"16698321
",Undirected,0.00375634509383
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,"15513520
",Undirected,0.00348982000885
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"12308077
",Undirected,0.0027687445135
