a_name,b_name,count
EPU_POLICY_GOVERNMENT,GENERAL_GOVERNMENT,39925506
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,32611716
GENERAL_GOVERNMENT,LEADER,30523205
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,27117686
GENERAL_GOVERNMENT,USPEC_POLICY1,25797277
LEADER,USPEC_POLITICS_GENERAL1,23092441
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,22131307
EPU_POLICY_GOVERNMENT,USPEC_POLITICS_GENERAL1,21327199
GENERAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,21038821
EPU_POLICY_GOVERNMENT,LEADER,20746985
GENERAL_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,20193921
CRISISLEX_C07_SAFETY,GENERAL_GOVERNMENT,19956899
EPU_ECONOMY_HISTORIC,GENERAL_GOVERNMENT,18640376
CRISISLEX_CRISISLEXREC,EPU_POLICY_GOVERNMENT,18579995
EPU_POLICY_GOVERNMENT,USPEC_POLICY1,18301739
GENERAL_GOVERNMENT,TAX_FNCACT_PRESIDENT,18298046
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,17167933
LEADER,TAX_FNCACT_PRESIDENT,17122653
GENERAL_GOVERNMENT,TAX_FNCACT_MINISTER,16883910
GENERAL_GOVERNMENT,MEDIA_MSM,16434383
USPEC_POLICY1,USPEC_POLITICS_GENERAL1,15859649
EPU_POLICY_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,15631677
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,15577356
EPU_POLICY_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,15344536
ARMEDCONFLICT,GENERAL_GOVERNMENT,15106842
GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,15055135
EPU_ECONOMY_HISTORIC,EPU_POLICY_GOVERNMENT,14877494
CRISISLEX_CRISISLEXREC,LEADER,14841340
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,14578491
GENERAL_GOVERNMENT,WB_840_JUSTICE,14336758
LEADER,USPEC_POLICY1,14310890
EPU_POLICY_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,14224207
EDUCATION,GENERAL_GOVERNMENT,13990945
GENERAL_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,13641639
CRISISLEX_C07_SAFETY,EPU_POLICY_GOVERNMENT,13568001
GENERAL_GOVERNMENT,LEGISLATION,13559555
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,13518256
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,13365473
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,13154523
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13039942
GENERAL_GOVERNMENT,KILL,12984182
GENERAL_GOVERNMENT,WB_678_DIGITAL_GOVERNMENT,12938562
GENERAL_GOVERNMENT,GENERAL_HEALTH,12775597
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12670739
LEADER,TAX_FNCACT_MINISTER,12378398
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,12359545
LEADER,WB_696_PUBLIC_SECTOR_MANAGEMENT,12326881
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12308077
EPU_POLICY_GOVERNMENT,TAX_FNCACT_MINISTER,12224885
EPU_POLICY_GOVERNMENT,TAX_FNCACT_PRESIDENT,12213037
EPU_ECONOMY_HISTORIC,USPEC_POLICY1,12109815
GENERAL_GOVERNMENT,MEDICAL,11962992
EPU_ECONOMY,GENERAL_GOVERNMENT,11945410
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,11900787
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLITICS_GENERAL1,11835881
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,11783625
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,11668534
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,11603234
GENERAL_GOVERNMENT,WB_621_HEALTH_NUTRITION_AND_POPULATION,11267360
USPEC_POLICY1,WB_696_PUBLIC_SECTOR_MANAGEMENT,11124179
GENERAL_GOVERNMENT,TAX_ECON_PRICE,11114496
LEADER,UNGP_FORESTS_RIVERS_OCEANS,11090018
EPU_POLICY_GOVERNMENT,MEDIA_MSM,11053537
CRISISLEX_C07_SAFETY,LEADER,10973839
EPU_ECONOMY,EPU_ECONOMY_HISTORIC,10891357
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,10775130
GENERAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,10764268
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,10727852
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,10645599
AFFECT,GENERAL_GOVERNMENT,10488930
EPU_POLICY_GOVERNMENT,MANMADE_DISASTER_IMPLIED,10418655
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLICY1,10400547
TAX_FNCACT_MINISTER,USPEC_POLITICS_GENERAL1,10370135
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,10290788
GENERAL_GOVERNMENT,WB_2670_JOBS,10282396
GENERAL_HEALTH,MEDICAL,10148220
EPU_ECONOMY_HISTORIC,LEADER,10138673
