a_name,b_name,count
LEADER,USPEC_POLITICS_GENERAL1,49206288
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,38523247
LEADER,TAX_FNCACT_PRESIDENT,36626054
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,33263988
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,30288037
USPEC_POLICY1,USPEC_POLITICS_GENERAL1,29043728
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,25617945
GENERAL_GOVERNMENT,LEADER,24190797
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,23432137
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLITICS_GENERAL1,23374363
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,22580929
EPU_POLICY_GOVERNMENT,USPEC_POLITICS_GENERAL1,21721636
CRISISLEX_CRISISLEXREC,LEADER,21276345
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,20756882
MEDIA_MSM,USPEC_POLITICS_GENERAL1,20593146
EPU_POLICY_GOVERNMENT,GENERAL_GOVERNMENT,20030454
LEADER,USPEC_POLICY1,19714056
GENERAL_GOVERNMENT,TAX_FNCACT_PRESIDENT,18437938
LEADER,WB_696_PUBLIC_SECTOR_MANAGEMENT,17745705
EDUCATION,USPEC_POLITICS_GENERAL1,17496283
ARMEDCONFLICT,USPEC_POLITICS_GENERAL1,17043571
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,17023359
USPEC_POLITICS_GENERAL1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,16884650
MANMADE_DISASTER_IMPLIED,USPEC_POLITICS_GENERAL1,16884352
LEGISLATION,USPEC_POLITICS_GENERAL1,16882819
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,16698321
USPEC_POLITICS_GENERAL1,WB_840_JUSTICE,16613451
USPEC_POLITICS_GENERAL1,WB_2433_CONFLICT_AND_VIOLENCE,16397296
LEADER,UNGP_FORESTS_RIVERS_OCEANS,16313601
EPU_POLICY_GOVERNMENT,LEADER,16200277
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,16139182
GENERAL_GOVERNMENT,USPEC_POLICY1,16004545
TAX_FNCACT_MINISTER,USPEC_POLITICS_GENERAL1,15912443
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,15708060
CRISISLEX_C07_SAFETY,LEADER,15686808
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,15053347
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,14821753
GENERAL_HEALTH,USPEC_POLITICS_GENERAL1,14684360
EPU_ECONOMY_HISTORIC,LEADER,14684258
TAX_FNCACT_PRESIDENT,USPEC_POLICY1,14678023
KILL,USPEC_POLITICS_GENERAL1,14491832
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,14402918
LEADER,MEDIA_MSM,14345436
ELECTION,USPEC_POLITICS_GENERAL1,14145242
MEDICAL,USPEC_POLITICS_GENERAL1,13891998
TAX_FNCACT_PRESIDENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,13715848
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,13683956
TAX_FNCACT_PRESIDENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13603564
USPEC_POLITICS_GENERAL1,WB_694_BROADCAST_AND_MEDIA,13476703
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13418468
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,13337241
LEADER,TAX_FNCACT_MINISTER,13205502
USPEC_POLITICS_GENERAL1,WB_621_HEALTH_NUTRITION_AND_POPULATION,13203589
