Source,Target,count,Type,Weight
ARMEDCONFLICT,WB_678_DIGITAL_GOVERNMENT,"8245307
",Undirected,0.00216588568954
WB_2433_CONFLICT_AND_VIOLENCE,WB_621_HEALTH_NUTRITION_AND_POPULATION,"12913307
",Undirected,0.0033920807116
USPEC_POLITICS_GENERAL1,WB_621_HEALTH_NUTRITION_AND_POPULATION,"13203589
",Undirected,0.00346833228473
ARMEDCONFLICT,EPU_ECONOMY_HISTORIC,10883531,Undirected,0.00285889707255
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,"13051547
",Undirected,0.00342839373642
TAX_FNCACT_PRESIDENT,MEDIA_MSM,"11328412
",Undirected,0.00297575886938
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,"6881160
",Undirected,0.0018075501581
CRISISLEX_C07_SAFETY,KILL,"10346663
",Undirected,0.00271787203632
GENERAL_HEALTH,WB_678_DIGITAL_GOVERNMENT,"9545955
",Undirected,0.00250754123861
USPEC_POLITICS_GENERAL1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"16069682
",Undirected,0.0042212005301
GENERAL_GOVERNMENT,GENERAL_HEALTH,"12775597
",Undirected,0.00335590690772
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"14146430
",Undirected,0.00371599872449
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,EPU_POLICY_GOVERNMENT,"14224207
",Undirected,0.00373642926653
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"15347973
",Undirected,0.00403162127063
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"7236341
",Undirected,0.00190084946704
ARMEDCONFLICT,USPEC_POLITICS_GENERAL1,"9446483
",Undirected,0.00248141183174
ARMEDCONFLICT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"12877835
",Undirected,0.0033827628903
LEGISLATION,USPEC_POLICY1,"15455017
",Undirected,0.00405973969821
WB_840_JUSTICE,ARMEDCONFLICT,6995803,Undirected,0.00183766469878
EPU_ECONOMY_HISTORIC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"12652047
",Undirected,0.00332345266715
EPU_POLICY_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"9172791
",Undirected,0.0024095181368
MEDIA_MSM,EDUCATION,11631157,Undirected,0.00305528423612
KILL,WB_694_BROADCAST_AND_MEDIA,"7677170
",Undirected,0.00201664688036
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,LEADER,"8652019
",Undirected,0.00227272121435
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,LEGISLATION,"11456091
",Undirected,0.0030092977199
WB_2670_JOBS,USPEC_POLICY1,"12543623
",Undirected,0.00329497173976
USPEC_POLITICS_GENERAL1,MANMADE_DISASTER_IMPLIED,"16884352
",Undirected,0.00443519888027
LEADER,WB_696_PUBLIC_SECTOR_MANAGEMENT,"10220940
",Undirected,0.00268484698988
MEDICAL,CRISISLEX_CRISISLEXREC,"25825046
",Undirected,0.00678374953935
SECURITY_SERVICES,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"7615846
",Undirected,0.00200053822922
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,"7767653
",Undirected,0.00204041504749
WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_678_DIGITAL_GOVERNMENT,"9326794
",Undirected,0.00244997180261
EPU_POLICY_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"15344536
",Undirected,0.00403071843595
SECURITY_SERVICES,MANMADE_DISASTER_IMPLIED,"14827567
",Undirected,0.00389492048943
TAX_ECON_PRICE,GENERAL_GOVERNMENT,"11114496
",Undirected,0.00291956719535
CRISISLEX_CRISISLEXREC,TAX_ECON_PRICE,"13507533
",Undirected,0.00354817260602
GENERAL_GOVERNMENT,WB_621_HEALTH_NUTRITION_AND_POPULATION,"11267360
",Undirected,0.00295972166747
EPU_POLICY_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,"9829288
",Undirected,0.0025819674413
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"11120685
",Undirected,0.00292119292821
EPU_POLICY_GOVERNMENT,USPEC_POLICY1,"18586153
",Undirected,0.00488222971034
SECURITY_SERVICES,USPEC_POLITICS_GENERAL1,"10670390
",Undirected,0.00280290897632
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,TAX_FNCACT_PRESIDENT,"13370979
",Undirected,0.00351230246141
USPEC_POLICY1,WB_678_DIGITAL_GOVERNMENT,"13488377
",Undirected,0.00354314068832
GENERAL_GOVERNMENT,KILL,"12984182
",Undirected,0.00341069822921
WB_678_DIGITAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"14302154
",Undirected,0.00375690446434
WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_694_BROADCAST_AND_MEDIA,"7929343
",Undirected,0.00208288794233
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,"13036109
",Undirected,0.00342433846676
LEGISLATION,WB_2433_CONFLICT_AND_VIOLENCE,9550278,Undirected,0.00250867680868
WB_840_JUSTICE,CRISISLEX_C07_SAFETY,"11252132
",Undirected,0.00295572156083
WB_694_BROADCAST_AND_MEDIA,WB_840_JUSTICE,"7866427
",Undirected,0.002066361103
WB_840_JUSTICE,GENERAL_GOVERNMENT,"14336758
",Undirected,0.00376599427851
ARMEDCONFLICT,SECURITY_SERVICES,11995382,Undirected,0.00315095923224
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,"35516874
",Undirected,0.00932960884703
ARMEDCONFLICT,WB_2433_CONFLICT_AND_VIOLENCE,"16101674
",Undirected,0.00422960422143
WB_2433_CONFLICT_AND_VIOLENCE,KILL,"12591542
",Undirected,0.00330755915177
WB_678_DIGITAL_GOVERNMENT,WB_840_JUSTICE,"9415870
",Undirected,0.00247337037754
ARMEDCONFLICT,EPU_POLICY_GOVERNMENT,"10129336
",Undirected,0.00266078435732
USPEC_POLITICS_GENERAL1,GENERAL_HEALTH,"14684360
",Undirected,0.00385730272797
USPEC_POLITICS_GENERAL1,WB_2433_CONFLICT_AND_VIOLENCE,"15886453
",Undirected,0.00417306974867
LEGISLATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,"16814799
",Undirected,0.00441692862698
CRISISLEX_C07_SAFETY,USPEC_POLICY1,"16744211
",Undirected,0.00439838649883
EPU_ECONOMY_HISTORIC,TAX_FNCACT_PRESIDENT,"11584044
",Undirected,0.00304290854502
LEADER,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"13900901
",Undirected,0.00365150291524
SECURITY_SERVICES,WB_694_BROADCAST_AND_MEDIA,8757615,Undirected,0.0023004592798
GENERAL_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"13214599
",Undirected,0.00347122440281
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,"16698321
",Undirected,0.00438633206662
MEDIA_MSM,USPEC_POLITICS_GENERAL1,"7579144
",Undirected,0.00199089731026
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"16973379
",Undirected,0.00445858458384
WB_840_JUSTICE,WB_2433_CONFLICT_AND_VIOLENCE,"10935074
",Undirected,0.00287243644059
GENERAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,"10399057
",Undirected,0.00273163494591
ARMEDCONFLICT,LEADER,"12690274
",Undirected,0.00333349417468
MEDICAL,GENERAL_GOVERNMENT,"11962992
",Undirected,0.00314245099386
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"8392720
",Undirected,0.00220460828739
ARMEDCONFLICT,MEDIA_MSM,14673904,Undirected,0.00385455613518
WB_696_PUBLIC_SECTOR_MANAGEMENT,KILL,"15338462
",Undirected,0.00402912291141
WB_2433_CONFLICT_AND_VIOLENCE,MANMADE_DISASTER_IMPLIED,"12219004
",Undirected,0.00320970048829
USPEC_POLITICS_GENERAL1,EPU_POLICY_GOVERNMENT,"10982593
",Undirected,0.00288491878019
CRISISLEX_C07_SAFETY,MANMADE_DISASTER_IMPLIED,"18950189
",Undirected,0.00497785505975
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,"9742528
",Undirected,0.00255917723562
LEGISLATION,CRISISLEX_CRISISLEXREC,"16750152
",Undirected,0.0043999470868
CRISISLEX_C07_SAFETY,EPU_POLICY_GOVERNMENT,"13568001
",Undirected,0.00356405640221
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,"9158526
",Undirected,0.00240577099199
USPEC_POLITICS_GENERAL1,WB_2670_JOBS,"11722709
",Undirected,0.00307933320927
USPEC_POLITICS_GENERAL1,EDUCATION,"17496283
",Undirected,0.00459594154224
WB_678_DIGITAL_GOVERNMENT,MEDIA_SOCIAL,"6703684
",Undirected,0.00176093058061
TAX_FNCACT_PRESIDENT,GENERAL_GOVERNMENT,"8282532
",Undirected,0.00217566399067
CRISISLEX_C07_SAFETY,GENERAL_GOVERNMENT,"8276520
",Undirected,0.00217408475235
MANMADE_DISASTER_IMPLIED,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"11217345
",Undirected,0.00294658367604
EDUCATION,WB_678_DIGITAL_GOVERNMENT,"10139862
",Undirected,0.00266354933779
UNGP_FORESTS_RIVERS_OCEANS,CRISISLEX_C07_SAFETY,"17773925
",Undirected,0.00466887282722
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,"11348869
",Undirected,0.00298113253509
ARMEDCONFLICT,USPEC_POLICY1,"10592369
",Undirected,0.00278241434011
ARMEDCONFLICT,KILL,16420513,Undirected,0.00431335717658
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,"7619153
",Undirected,0.00200140691536
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLICY1,"22084374
",Undirected,0.00580114598632
CRISISLEX_C07_SAFETY,WB_678_DIGITAL_GOVERNMENT,"13923862
",Undirected,0.00365753433425
EPU_ECONOMY_HISTORIC,WB_694_BROADCAST_AND_MEDIA,"9166712
",Undirected,0.00240792129886
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,"9935262
",Undirected,0.00260980480019
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,MEDIA_MSM,"15350643
",Undirected,0.00403232262897
EPU_POLICY_GOVERNMENT,EDUCATION,"9647323
",Undirected,0.00253416868869
LEADER,TAX_FNCACT_PRESIDENT,"8245077
",Undirected,0.0021658252729
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,KILL,"16611483
",Undirected,0.00436352137182
LEGISLATION,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"8318276
",Undirected,0.00218505326121
WB_2433_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,"7091116
",Undirected,0.00186270161526
CRISISLEX_C07_SAFETY,WB_694_BROADCAST_AND_MEDIA,"11428436
",Undirected,0.00300203327617
WB_840_JUSTICE,MANMADE_DISASTER_IMPLIED,"12054464
",Undirected,0.00316647895253
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,MANMADE_DISASTER_IMPLIED,"16335808
",Undirected,0.00429110678041
CRISISLEX_C07_SAFETY,EDUCATION,"13482122
",Undirected,0.00354149761851
MEDICAL,WB_696_PUBLIC_SECTOR_MANAGEMENT,"15981258
",Undirected,0.00419797322319
MEDIA_MSM,LEADER,"14345436
",Undirected,0.00376827382444
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,ARMEDCONFLICT,"9471768
",Undirected,0.00248805372145
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,"8819191
",Undirected,0.00231663412656
LEADER,USPEC_POLICY1,"24761518
",Undirected,0.0065043809148
LEADER,MANMADE_DISASTER_IMPLIED,"11934662
",Undirected,0.00313500924044
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,"17878907
",Undirected,0.00469644960653
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,"6865804
",Undirected,0.00180351642829
MEDICAL,USPEC_POLITICS_GENERAL1,"13891998
",Undirected,0.00364916426608
WB_696_PUBLIC_SECTOR_MANAGEMENT,USPEC_POLICY1,"21876443
",Undirected,0.00574652645823
EPU_ECONOMY_HISTORIC,MANMADE_DISASTER_IMPLIED,16330266,Undirected,0.00428965100217
KILL,WB_678_DIGITAL_GOVERNMENT,"8760224
",Undirected,0.0023011446146
UNGP_FORESTS_RIVERS_OCEANS,EPU_ECONOMY_HISTORIC,"12743820
",Undirected,0.00334755969281
EPU_ECONOMY_HISTORIC,WB_696_PUBLIC_SECTOR_MANAGEMENT,"10487243
",Undirected,0.00275479973473
MEDIA_MSM,GENERAL_GOVERNMENT,"16434383
",Undirected,0.00431700056239
CRISISLEX_CRISISLEXREC,WB_2433_CONFLICT_AND_VIOLENCE,"9308423
",Undirected,0.00244514608951
GENERAL_HEALTH,WB_694_BROADCAST_AND_MEDIA,"8045861
",Undirected,0.00211349500994
USPEC_POLICY1,GENERAL_HEALTH,"13570791
",Undirected,0.00356478928227
ARMEDCONFLICT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"8581222
",Undirected,0.00225412418586
CRISISLEX_CRISISLEXREC,WB_694_BROADCAST_AND_MEDIA,"14929724
",Undirected,0.00392175519485
LEGISLATION,MEDIA_MSM,11646393,Undirected,0.00305928644421
EPU_ECONOMY_HISTORIC,EDUCATION,11689991,Undirected,0.00307073881151
TAX_ECON_PRICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"7900494
",Undirected,0.00207530985746
LEGISLATION,ARMEDCONFLICT,6068249,Undirected,0.00159401386384
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLITICS_GENERAL1,"11333711
",Undirected,0.00297715081613
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,"8280664
",Undirected,0.00217517330252
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_1921_PRIVATE_SECTOR_DEVELOPMENT,"6952795
",Undirected,0.00182636731328
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,MEDICAL,"12669431
",Undirected,0.00332801911408
WB_2670_JOBS,WB_696_PUBLIC_SECTOR_MANAGEMENT,"15149634
",Undirected,0.00397952137893
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,GENERAL_HEALTH,"13293707
",Undirected,0.00349200457329
MANMADE_DISASTER_IMPLIED,EDUCATION,14601223,Undirected,0.00383546421564
LEGISLATION,GENERAL_GOVERNMENT,"13559555
",Undirected,0.00356183779828
LEADER,WB_694_BROADCAST_AND_MEDIA,"11264011
",Undirected,0.00295884194872
UNGP_FORESTS_RIVERS_OCEANS,MEDIA_MSM,14887390,Undirected,0.00391063485636
SECURITY_SERVICES,USPEC_POLICY1,11215084,Undirected,0.00294598975424
SECURITY_SERVICES,WB_2433_CONFLICT_AND_VIOLENCE,"11286840
",Undirected,0.00296483869383
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,"19111933
",Undirected,0.00502034213937
CRISISLEX_C07_SAFETY,TAX_FNCACT_PRESIDENT,"12345439
",Undirected,0.00324291256361
SECURITY_SERVICES,KILL,"13715982
",Undirected,0.00360292820289
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,GENERAL_GOVERNMENT,"8914470
",Undirected,0.00234166211189
CRISISLEX_C07_SAFETY,WB_2433_CONFLICT_AND_VIOLENCE,"19152092
",Undirected,0.00503089114663
LEGISLATION,LEADER,"10998139
",Undirected,0.00288900241939
LEGISLATION,EPU_ECONOMY_HISTORIC,8470226,Undirected,0.00222496764287
EPU_POLICY_GOVERNMENT,KILL,11299480,Undirected,0.00296815898198
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,"14578491
",Undirected,0.00382949295059
GENERAL_HEALTH,MEDICAL,"8267733
",Undirected,0.00217177657419
CRISISLEX_CRISISLEXREC,EDUCATION,"20298712
",Undirected,0.00533208646286
KILL,MANMADE_DISASTER_IMPLIED,"18544828
",Undirected,0.004871374417
TAX_ECON_PRICE,USPEC_POLICY1,"16131326
",Undirected,0.00423739323917
EPU_POLICY_GOVERNMENT,MANMADE_DISASTER_IMPLIED,"10418655
",Undirected,0.00273678296863
MEDIA_MSM,WB_2433_CONFLICT_AND_VIOLENCE,"10952844
",Undirected,0.00287710428239
USPEC_POLICY1,USPEC_POLITICS_GENERAL1,"7210021
",Undirected,0.00189393570247
LEGISLATION,USPEC_POLITICS_GENERAL1,"10080750
",Undirected,0.00264802173707
MEDIA_MSM,USPEC_POLICY1,"15891007
",Undirected,0.00417426599806
WB_621_HEALTH_NUTRITION_AND_POPULATION,USPEC_POLICY1,"12440644
",Undirected,0.00326792111055
CRISISLEX_C07_SAFETY,LEADER,"10973839
",Undirected,0.0028826192705
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,EDUCATION,"12014092
",Undirected,0.00315587399421
UNGP_FORESTS_RIVERS_OCEANS,TAX_FNCACT_PRESIDENT,"12762160
",Undirected,0.0033523772628
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,"14981771
",Undirected,0.00393542695412
ARMEDCONFLICT,GENERAL_GOVERNMENT,"15106842
",Undirected,0.00396828073253
LEADER,EDUCATION,"12079801
",Undirected,0.00317313450165
WB_696_PUBLIC_SECTOR_MANAGEMENT,EDUCATION,"16293689
",Undirected,0.00428004291834
UNGP_FORESTS_RIVERS_OCEANS,EPU_POLICY_GOVERNMENT,"8591583
",Undirected,0.00225684582395
LEGISLATION,CRISISLEX_C07_SAFETY,"13229006
",Undirected,0.00347500884833
WB_840_JUSTICE,USPEC_POLITICS_GENERAL1,"16613451
",Undirected,0.00436403832807
USPEC_POLICY1,KILL,"9505516
",Undirected,0.00249691868066
TAX_FNCACT_PRESIDENT,WB_694_BROADCAST_AND_MEDIA,"7156409
",Undirected,0.00187985284739
UNGP_FORESTS_RIVERS_OCEANS,MANMADE_DISASTER_IMPLIED,15655663,Undirected,0.00411244559504
TAX_FNCACT_PRESIDENT,USPEC_POLICY1,"14345450
",Undirected,0.00376827750198
WB_840_JUSTICE,EPU_POLICY_GOVERNMENT,"9907258
",Undirected,0.00260244868078
EPU_ECONOMY_HISTORIC,LEADER,"11708711
",Undirected,0.00307565620029
WB_840_JUSTICE,LEADER,"11728947
",Undirected,0.0030809718135
EPU_ECONOMY_HISTORIC,GENERAL_GOVERNMENT,"12626799
",Undirected,0.00331682049665
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,"43374585
",Undirected,0.0113936804222
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"7291655
",Undirected,0.00191537940522
SECURITY_SERVICES,WB_696_PUBLIC_SECTOR_MANAGEMENT,"16939098
",Undirected,0.00444957961564
LEGISLATION,SECURITY_SERVICES,9812566,Undirected,0.00257757488921
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,"7897939
",Undirected,0.00207463870744
GENERAL_HEALTH,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"9995375
",Undirected,0.00262559534461
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,"9028968
",Undirected,0.00237173856383
CRISISLEX_CRISISLEXREC,GENERAL_HEALTH,"27585488
",Undirected,0.00724618424737
UNGP_FORESTS_RIVERS_OCEANS,WB_678_DIGITAL_GOVERNMENT,"13276962
",Undirected,0.00348760597954
LEGISLATION,WB_840_JUSTICE,12833612,Undirected,0.00337114634736
MEDICAL,WB_694_BROADCAST_AND_MEDIA,"7654886
",Undirected,0.00201079329641
WB_696_PUBLIC_SECTOR_MANAGEMENT,MANMADE_DISASTER_IMPLIED,"17645461
",Undirected,0.0046351277721
MEDICAL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"9493373
",Undirected,0.00249372894498
WB_2433_CONFLICT_AND_VIOLENCE,USPEC_POLICY1,"11222522
",Undirected,0.0029479435757
LEADER,USPEC_POLITICS_GENERAL1,"10513621
",Undirected,0.0027617287348
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"23355867
",Undirected,0.00613514307012
GENERAL_GOVERNMENT,EDUCATION,"13990945
",Undirected,0.00367515576541
WB_621_HEALTH_NUTRITION_AND_POPULATION,GENERAL_HEALTH,"14230698
",Undirected,0.00373813432906
CRISISLEX_C07_SAFETY,WB_621_HEALTH_NUTRITION_AND_POPULATION,"16616799
",Undirected,0.00436491778414
EPU_ECONOMY_HISTORIC,WB_678_DIGITAL_GOVERNMENT,"11658428
",Undirected,0.00306244781034
EPU_POLICY_GOVERNMENT,WB_678_DIGITAL_GOVERNMENT,"8695269
",Undirected,0.00228408216865
UNGP_FORESTS_RIVERS_OCEANS,WB_840_JUSTICE,"12081342
",Undirected,0.0031735392931
WB_694_BROADCAST_AND_MEDIA,WB_696_PUBLIC_SECTOR_MANAGEMENT,"11723258
",Undirected,0.00307947742115
UNGP_FORESTS_RIVERS_OCEANS,WB_694_BROADCAST_AND_MEDIA,"10765603
",Undirected,0.0028279196247
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,SECURITY_SERVICES,"14966374
",Undirected,0.00393138245439
MEDIA_MSM,KILL,10945825,Undirected,0.00287526052428
MEDICAL,WB_678_DIGITAL_GOVERNMENT,"9068781
",Undirected,0.00238219668345
UNGP_FORESTS_RIVERS_OCEANS,WB_696_PUBLIC_SECTOR_MANAGEMENT,"9133498
",Undirected,0.00239919661131
CRISISLEX_CRISISLEXREC,WB_621_HEALTH_NUTRITION_AND_POPULATION,"24937799
",Undirected,0.00655068658846
WB_840_JUSTICE,MEDIA_MSM,9442043,Undirected,0.002480245528
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,"7788676
",Undirected,0.00204593739067
LEGISLATION,EDUCATION,7476801,Undirected,0.00196401374617
USPEC_POLITICS_GENERAL1,TAX_ECON_PRICE,"11497033
",Undirected,0.0030200524064
EPU_ECONOMY_HISTORIC,SECURITY_SERVICES,8944264,Undirected,0.00234948843033
CRISISLEX_CRISISLEXREC,SECURITY_SERVICES,"10817065
",Undirected,0.00284143771558
USPEC_POLICY1,WB_694_BROADCAST_AND_MEDIA,"10757280
",Undirected,0.00282573333053
UNGP_FORESTS_RIVERS_OCEANS,CRISISLEX_CRISISLEXREC,"9669197
",Undirected,0.00253991457342
EDUCATION,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"10676332
",Undirected,0.00280446982696
EPU_POLICY_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,"7195516
",Undirected,0.00189012551422
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,CRISISLEX_C07_SAFETY,"10645599
",Undirected,0.00279639685104
CRISISLEX_CRISISLEXREC,MEDIA_MSM,"8277836
",Undirected,0.00217443044058
WB_2670_JOBS,GENERAL_GOVERNMENT,"10282396
",Undirected,0.00270099031492
USPEC_POLICY1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"14268209
",Undirected,0.00374798775697
EPU_ECONOMY_HISTORIC,CRISISLEX_CRISISLEXREC,"10667912
",Undirected,0.00280225805274
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"14711249
",Undirected,0.00386436595803
