a_name,b_name,count
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,43374585
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,35516874
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,35336789
CRISISLEX_CRISISLEXREC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,18690455
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,17878907
MEDIA_MSM,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,17608179
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,16973379
USPEC_POLITICS_GENERAL1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,16069682
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,15347973
MEDIA_MSM,WB_694_BROADCAST_AND_MEDIA,15183059
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,14981771
CRISISLEX_CRISISLEXREC,WB_694_BROADCAST_AND_MEDIA,14929724
CRISISLEX_C07_SAFETY,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,14505363
WB_678_DIGITAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,14302154
USPEC_POLICY1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,14268209
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,14146430
CRISISLEX_C07_SAFETY,WB_678_DIGITAL_GOVERNMENT,13923862
LEADER,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,13900901
USPEC_POLICY1,WB_678_DIGITAL_GOVERNMENT,13488377
UNGP_FORESTS_RIVERS_OCEANS,WB_678_DIGITAL_GOVERNMENT,13276962
LEADER,WB_678_DIGITAL_GOVERNMENT,13269207
GENERAL_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,13214599
USPEC_POLITICS_GENERAL1,WB_694_BROADCAST_AND_MEDIA,12781783
EPU_ECONOMY_HISTORIC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,12652047
GENERAL_GOVERNMENT,WB_678_DIGITAL_GOVERNMENT,12528233
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,11823653
WB_694_BROADCAST_AND_MEDIA,WB_696_PUBLIC_SECTOR_MANAGEMENT,11723258
EPU_ECONOMY_HISTORIC,WB_678_DIGITAL_GOVERNMENT,11658428
CRISISLEX_C07_SAFETY,WB_694_BROADCAST_AND_MEDIA,11428436
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,11348869
LEADER,WB_694_BROADCAST_AND_MEDIA,11264011
MANMADE_DISASTER_IMPLIED,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,11217345
UNGP_FORESTS_RIVERS_OCEANS,WB_694_BROADCAST_AND_MEDIA,10765603
USPEC_POLICY1,WB_694_BROADCAST_AND_MEDIA,10757280
EDUCATION,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,10676332
MANMADE_DISASTER_IMPLIED,WB_678_DIGITAL_GOVERNMENT,10642663
LEADER,USPEC_POLITICS_GENERAL1,10513621
GENERAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,10399057
EDUCATION,WB_678_DIGITAL_GOVERNMENT,10139862
GENERAL_HEALTH,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,9995375
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_840_JUSTICE,9778826
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,9742528
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_621_HEALTH_NUTRITION_AND_POPULATION,9719769
GENERAL_HEALTH,WB_678_DIGITAL_GOVERNMENT,9545955
MEDICAL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,9493373
WB_678_DIGITAL_GOVERNMENT,WB_840_JUSTICE,9415870
WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_678_DIGITAL_GOVERNMENT,9326794
EPU_POLICY_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,9172791
EPU_ECONOMY_HISTORIC,WB_694_BROADCAST_AND_MEDIA,9166712
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,9158526
MANMADE_DISASTER_IMPLIED,WB_694_BROADCAST_AND_MEDIA,9140362
KILL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,9086092
MEDICAL,WB_678_DIGITAL_GOVERNMENT,9068781
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,9028968
TAX_FNCACT_PRESIDENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,8822156
KILL,WB_678_DIGITAL_GOVERNMENT,8760224
EPU_POLICY_GOVERNMENT,WB_678_DIGITAL_GOVERNMENT,8695269
EDUCATION,WB_694_BROADCAST_AND_MEDIA,8603393
ARMEDCONFLICT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,8581222
EPU_POLICY_GOVERNMENT,GENERAL_GOVERNMENT,8553671
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2433_CONFLICT_AND_VIOLENCE,8503445
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,8392720
LEGISLATION,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,8318276
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,8280664
CRISISLEX_CRISISLEXREC,MEDIA_MSM,8277836
GENERAL_HEALTH,MEDICAL,8267733
ARMEDCONFLICT,WB_678_DIGITAL_GOVERNMENT,8245307
LEADER,TAX_FNCACT_PRESIDENT,8245077
WB_2433_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,8175663
GENERAL_HEALTH,WB_694_BROADCAST_AND_MEDIA,8045861
LEGISLATION,WB_678_DIGITAL_GOVERNMENT,7991480
WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_694_BROADCAST_AND_MEDIA,7929343
TAX_ECON_PRICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,7900494
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,7897939
WB_694_BROADCAST_AND_MEDIA,WB_840_JUSTICE,7866427
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,7788676
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,7782500
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,7767653
KILL,WB_694_BROADCAST_AND_MEDIA,7677170
MEDICAL,WB_694_BROADCAST_AND_MEDIA,7654886
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,7619153
SECURITY_SERVICES,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,7615846
MEDIA_MSM,USPEC_POLITICS_GENERAL1,7579144
SECURITY_SERVICES,WB_678_DIGITAL_GOVERNMENT,7402725
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,7291655
TAX_ECON_PRICE,WB_678_DIGITAL_GOVERNMENT,7280503
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,7236341
USPEC_POLICY1,USPEC_POLITICS_GENERAL1,7210021
EPU_POLICY_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,7195516
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2670_JOBS,7187268
TAX_FNCACT_PRESIDENT,WB_694_BROADCAST_AND_MEDIA,7156409
WB_2433_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,7091116
CRISISLEX_CRISISLEXREC,LEADER,7080557
GENERAL_GOVERNMENT,LEADER,7033580
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,6970543
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_1921_PRIVATE_SECTOR_DEVELOPMENT,6952795
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,6928024
MEDIA_SOCIAL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,6885738
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,6881160
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,6865804
