Source,Target,count,Type,Weight
EPU_CATS_MIGRATION_FEAR_FEAR,KILL,10588948,Undirected,0.00218611215081
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"16139182
",Undirected,0.00333197045394
WB_2433_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,"10935074
",Undirected,0.00225757064265
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"23355867
",Undirected,0.00482187131728
CRISISLEX_C07_SAFETY,CRISISLEX_C03_WELLBEING_HEALTH,"15091631
",Undirected,0.0031157011919
KILL,WB_2433_CONFLICT_AND_VIOLENCE,"12591542
",Undirected,0.00259955219004
USPEC_POLITICS_GENERAL1,TAX_FNCACT_MINISTER,"10370135
",Undirected,0.0021409377144
WB_840_JUSTICE,MANMADE_DISASTER_IMPLIED,"12054464
",Undirected,0.00248867122795
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"14711249
",Undirected,0.00303717047175
LEADER,USPEC_POLICY1,"24761518
",Undirected,0.00511207113041
LEADER,WB_1014_CRIMINAL_JUSTICE,10133471,Undirected,0.00209207789886
USPEC_POLICY1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"16145806
",Undirected,0.00333333799365
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"10868550
",Undirected,0.0022438366131
TRIAL,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"11627683
",Undirected,0.0024005613298
GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,"15055135
",Undirected,0.00310816651055
GENERAL_GOVERNMENT,KILL,"12984182
",Undirected,0.00268061360189
CRISISLEX_C03_WELLBEING_HEALTH,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"10245365
",Undirected,0.00211517866704
WB_1014_CRIMINAL_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,7959109,Undirected,0.00164317596937
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"16919207
",Undirected,0.00349300837106
ARMEDCONFLICT,LEADER,"12690274
",Undirected,0.00261993563369
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"8355819
",Undirected,0.00172507764188
SOC_GENERALCRIME,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"12087021
",Undirected,0.00249539269389
TAX_FNCACT_PRESIDENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"13370979
",Undirected,0.00276046871324
MEDICAL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"9031450
",Undirected,0.00186456318271
TRIAL,CRISISLEX_C07_SAFETY,"17062696
",Undirected,0.00352263199811
SOC_GENERALCRIME,KILL,8948010,Undirected,0.00184733680688
TAX_FNCACT_PRESIDENT,GENERAL_GOVERNMENT,"8282532
",Undirected,0.00170994737576
UNGP_FORESTS_RIVERS_OCEANS,CRISISLEX_C07_SAFETY,"17773925
",Undirected,0.00366946682617
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,"11574386
",Undirected,0.00238955804417
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,"11884494
",Undirected,0.00245358053884
EPU_ECONOMY_HISTORIC,EPU_CATS_MIGRATION_FEAR_FEAR,7007499,Undirected,0.00144671394275
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,"13998248
",Undirected,0.0028899698103
EPU_POLICY_GOVERNMENT,EDUCATION,"9647323
",Undirected,0.00199171154992
SOC_GENERALCRIME,EPU_CATS_MIGRATION_FEAR_FEAR,8741750,Undirected,0.00180475396558
GENERAL_HEALTH,CRISISLEX_C03_WELLBEING_HEALTH,"15237836
",Undirected,0.00314588554327
WB_678_DIGITAL_GOVERNMENT,EDUCATION,"10094900
",Undirected,0.00208411482908
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,GENERAL_HEALTH,"9506150
",Undirected,0.00196256606628
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2462_POLITICAL_VIOLENCE_AND_WAR,"13505974
",Undirected,0.00278833873487
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,"12481851
",Undirected,0.00257690623617
UNGP_FORESTS_RIVERS_OCEANS,MEDIA_MSM,14887390,Undirected,0.0030735351777
SECURITY_SERVICES,USPEC_POLICY1,11215084,Undirected,0.00231537933747
WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,WB_2490_NATIONAL_PROTECTION_AND_SECURITY,"11342492
",Undirected,0.00234168300587
GENERAL_GOVERNMENT,USPEC_POLICY1,"25891949
",Undirected,0.00534545115501
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,"14407777
",Undirected,0.00297451799422
CRISISLEX_C07_SAFETY,CRISISLEX_T03_DEAD,"15321426
",Undirected,0.00316314288693
MEDIA_MSM,EPU_CATS_MIGRATION_FEAR_FEAR,7535196,Undirected,0.00155565817627
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,"16698321
",Undirected,0.00344740595914
EDUCATION,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"12014092
",Undirected,0.00248033633767
MEDICAL,CRISISLEX_C03_WELLBEING_HEALTH,"15052912
",Undirected,0.00310770756719
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"20997202
",Undirected,0.00433491961856
EPU_POLICY_GOVERNMENT,LEADER,"10141088
",Undirected,0.00209365044565
MANMADE_DISASTER_IMPLIED,WB_2433_CONFLICT_AND_VIOLENCE,"12219004
",Undirected,0.00252264088134
CRISISLEX_CRISISLEXREC,GENERAL_HEALTH,"27585488
",Undirected,0.0056950860938
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"30119340
",Undirected,0.00621820554301
LEGISLATION,SECURITY_SERVICES,9812566,Undirected,0.00202582633924
WB_696_PUBLIC_SECTOR_MANAGEMENT,MANMADE_DISASTER_IMPLIED,"17645461
",Undirected,0.00364294514419
EPU_CATS_MIGRATION_FEAR_FEAR,WB_1014_CRIMINAL_JUSTICE,6577038,Undirected,0.00135784430031
WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,"16870340
",Undirected,0.00348291966891
EPU_CATS_MIGRATION_FEAR_FEAR,WB_2433_CONFLICT_AND_VIOLENCE,10131315,Undirected,0.0020916327878
CRISISLEX_C07_SAFETY,USPEC_POLICY1,"16744211
",Undirected,0.00345688005294
EPU_ECONOMY_HISTORIC,SECURITY_SERVICES,8944264,Undirected,0.00184656343675
SOC_GENERALCRIME,WB_2433_CONFLICT_AND_VIOLENCE,9310292,Undirected,0.00192213074129
UNGP_FORESTS_RIVERS_OCEANS,SOC_GENERALCRIME,5131843,Undirected,0.00105948053936
LEGISLATION,WB_678_DIGITAL_GOVERNMENT,"7963425
",Undirected,0.00164406701728
