a_name,b_name,count
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,37412468
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,30119340
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,26474027
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,24427274
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,22673781
CRISISLEX_CRISISLEXREC,WB_2433_CONFLICT_AND_VIOLENCE,21961821
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,20997202
GENERAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,20758521
ARMEDCONFLICT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,20472429
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,19795808
CRISISLEX_C07_SAFETY,WB_2433_CONFLICT_AND_VIOLENCE,19152092
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,19111933
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,17868367
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,17774902
KILL,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,16611483
MANMADE_DISASTER_IMPLIED,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,16335808
USPEC_POLICY1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,16145806
ARMEDCONFLICT,WB_2433_CONFLICT_AND_VIOLENCE,16101674
USPEC_POLITICS_GENERAL1,WB_2433_CONFLICT_AND_VIOLENCE,15886453
UNGP_FORESTS_RIVERS_OCEANS,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,15857346
LEADER,USPEC_POLITICS_GENERAL1,15802856
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_621_HEALTH_NUTRITION_AND_POPULATION,15607848
TERROR,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,15409829
MEDIA_MSM,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,15350643
WB_2433_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,15050355
SECURITY_SERVICES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,14966374
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,14734752
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,14711249
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,14407777
EPU_POLICY_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,14055914
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,13998248
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,13771510
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2462_POLITICAL_VIOLENCE_AND_WAR,13505974
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,13500365
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,13492936
TAX_FNCACT_PRESIDENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13370979
GENERAL_HEALTH,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13293707
TERROR,WB_2433_CONFLICT_AND_VIOLENCE,13286286
EPU_CATS_NATIONAL_SECURITY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,13164792
EPU_POLICY_GOVERNMENT,GENERAL_GOVERNMENT,13081284
CRISISLEX_CRISISLEXREC,KILL,13061184
WB_2433_CONFLICT_AND_VIOLENCE,WB_2462_POLITICAL_VIOLENCE_AND_WAR,13011745
WB_2433_CONFLICT_AND_VIOLENCE,WB_621_HEALTH_NUTRITION_AND_POPULATION,12913307
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,12826916
CRISISLEX_CRISISLEXREC,LEADER,12783857
WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,12776762
TAX_FNCACT_POLICE,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12696268
MEDICAL,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12669431
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,12604723
KILL,WB_2433_CONFLICT_AND_VIOLENCE,12591542
CRISISLEX_T03_DEAD,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12568275
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,12481851
LEADER,TAX_FNCACT_PRESIDENT,12448747
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,12308082
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2490_NATIONAL_PROTECTION_AND_SECURITY,12225206
MANMADE_DISASTER_IMPLIED,WB_2433_CONFLICT_AND_VIOLENCE,12219004
SOC_GENERALCRIME,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12087021
EPU_ECONOMY_HISTORIC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12067710
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12042661
EDUCATION,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12014092
CRISISLEX_C07_SAFETY,TAX_FNCACT_POLICE,11945413
EPU_CATS_MIGRATION_FEAR_FEAR,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,11888113
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,11884494
GENERAL_GOVERNMENT,LEADER,11883988
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,11853646
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,11722813
ARREST,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,11711690
TRIAL,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,11627683
SECURITY_SERVICES,TAX_FNCACT_POLICE,11626451
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,11574386
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,11495538
WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,WB_840_JUSTICE,11461586
LEGISLATION,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,11456091
CRISISLEX_CRISISLEXREC,WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,11427435
WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,WB_2490_NATIONAL_PROTECTION_AND_SECURITY,11342492
SECURITY_SERVICES,WB_2433_CONFLICT_AND_VIOLENCE,11286840
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,11252132
CRISISLEX_C07_SAFETY,WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,11181888
CRISISLEX_T03_DEAD,KILL,11171740
UNGP_CRIME_VIOLENCE,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,11169734
