a_name,b_name,count
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,43153996
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,35336807
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,35336790
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,17808594
CRISISLEX_CRISISLEXREC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,17808585
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,16919207
MEDIA_MSM,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,16919201
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,15284979
USPEC_POLITICS_GENERAL1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,15284965
MEDIA_MSM,WB_694_BROADCAST_AND_MEDIA,15138920
CRISISLEX_CRISISLEXREC,WB_694_BROADCAST_AND_MEDIA,14872229
WB_678_DIGITAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,14243176
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,14243166
CRISISLEX_C07_SAFETY,WB_678_DIGITAL_GOVERNMENT,13873314
CRISISLEX_C07_SAFETY,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,13873310
USPEC_POLICY1,WB_678_DIGITAL_GOVERNMENT,13418304
USPEC_POLICY1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,13418288
LEADER,WB_678_DIGITAL_GOVERNMENT,13215031
LEADER,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,13215022
UNGP_FORESTS_RIVERS_OCEANS,WB_678_DIGITAL_GOVERNMENT,13193815
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,13193798
USPEC_POLITICS_GENERAL1,WB_694_BROADCAST_AND_MEDIA,12730438
GENERAL_GOVERNMENT,WB_678_DIGITAL_GOVERNMENT,12468335
GENERAL_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,12468328
WB_694_BROADCAST_AND_MEDIA,WB_696_PUBLIC_SECTOR_MANAGEMENT,11675158
EPU_ECONOMY_HISTORIC,WB_678_DIGITAL_GOVERNMENT,11565913
EPU_ECONOMY_HISTORIC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,11565890
CRISISLEX_C07_SAFETY,WB_694_BROADCAST_AND_MEDIA,11387128
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,11306960
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,11306956
LEADER,WB_694_BROADCAST_AND_MEDIA,11219844
USPEC_POLICY1,WB_694_BROADCAST_AND_MEDIA,10700066
UNGP_FORESTS_RIVERS_OCEANS,WB_694_BROADCAST_AND_MEDIA,10697523
MANMADE_DISASTER_IMPLIED,WB_678_DIGITAL_GOVERNMENT,10593885
MANMADE_DISASTER_IMPLIED,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,10593879
GENERAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,10350269
EDUCATION,WB_678_DIGITAL_GOVERNMENT,10094900
EDUCATION,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,10094894
LEADER,USPEC_POLITICS_GENERAL1,10022919
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,9708303
GENERAL_HEALTH,WB_678_DIGITAL_GOVERNMENT,9506159
GENERAL_HEALTH,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,9506150
WB_678_DIGITAL_GOVERNMENT,WB_840_JUSTICE,9384527
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_840_JUSTICE,9384522
WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_678_DIGITAL_GOVERNMENT,9291971
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_621_HEALTH_NUTRITION_AND_POPULATION,9291967
MANMADE_DISASTER_IMPLIED,WB_694_BROADCAST_AND_MEDIA,9100292
EPU_ECONOMY_HISTORIC,WB_694_BROADCAST_AND_MEDIA,9090893
MEDICAL,WB_678_DIGITAL_GOVERNMENT,9031457
MEDICAL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,9031450
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,8820003
KILL,WB_678_DIGITAL_GOVERNMENT,8731958
KILL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,8731957
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,8700696
EPU_POLICY_GOVERNMENT,WB_678_DIGITAL_GOVERNMENT,8653241
EPU_POLICY_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,8653235
EDUCATION,WB_694_BROADCAST_AND_MEDIA,8566794
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,8355819
TAX_FNCACT_PRESIDENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,8355811
ARMEDCONFLICT,WB_678_DIGITAL_GOVERNMENT,8215648
ARMEDCONFLICT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,8215643
WB_2433_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,8146843
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2433_CONFLICT_AND_VIOLENCE,8146842
EPU_POLICY_GOVERNMENT,GENERAL_GOVERNMENT,8096808
GENERAL_HEALTH,WB_694_BROADCAST_AND_MEDIA,8013490
CRISISLEX_CRISISLEXREC,MEDIA_MSM,8006405
LEGISLATION,WB_678_DIGITAL_GOVERNMENT,7963425
LEGISLATION,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,7963416
GENERAL_HEALTH,MEDICAL,7903963
WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_694_BROADCAST_AND_MEDIA,7900990
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,7868900
WB_694_BROADCAST_AND_MEDIA,WB_840_JUSTICE,7840820
LEADER,TAX_FNCACT_PRESIDENT,7836387
KILL,WB_694_BROADCAST_AND_MEDIA,7654028
MEDICAL,WB_694_BROADCAST_AND_MEDIA,7624585
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,7596919
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,7463610
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,7463251
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,7407464
SECURITY_SERVICES,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,7385474
SECURITY_SERVICES,WB_678_DIGITAL_GOVERNMENT,7385474
MEDIA_MSM,USPEC_POLITICS_GENERAL1,7346226
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,7264547
TAX_ECON_PRICE,WB_678_DIGITAL_GOVERNMENT,7224872
TAX_ECON_PRICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,7224861
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,7212158
EPU_POLICY_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,7161190
TAX_FNCACT_PRESIDENT,WB_694_BROADCAST_AND_MEDIA,7126273
WB_2433_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,7067586
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,7022151
USPEC_POLICY1,USPEC_POLITICS_GENERAL1,6856795
WB_2670_JOBS,WB_678_DIGITAL_GOVERNMENT,6816734
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2670_JOBS,6816730
CRISISLEX_CRISISLEXREC,LEADER,6797321
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,6745804
GENERAL_GOVERNMENT,LEADER,6716945
MEDIA_SOCIAL,WB_678_DIGITAL_GOVERNMENT,6703684
MEDIA_SOCIAL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,6703680
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,6646641
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,6606919
