a_name,b_name,count
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,40886315
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,31732726
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,27867994
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,25691224
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,25255490
WB_1014_CRIMINAL_JUSTICE,WB_696_PUBLIC_SECTOR_MANAGEMENT,25244641
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,24900975
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,24009585
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_832_ANTI_CORRUPTION,23103746
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,22510764
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,22249170
LEADER,WB_696_PUBLIC_SECTOR_MANAGEMENT,22238258
USPEC_POLICY1,WB_696_PUBLIC_SECTOR_MANAGEMENT,21907251
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,21533588
WB_831_GOVERNANCE,WB_832_ANTI_CORRUPTION,21220565
UNGP_FORESTS_RIVERS_OCEANS,WB_696_PUBLIC_SECTOR_MANAGEMENT,20305094
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,20094806
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,18944641
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_831_GOVERNANCE,18463331
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_832_ANTI_CORRUPTION,18366980
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,17916130
WB_831_GOVERNANCE,WB_840_JUSTICE,17791877
EPU_ECONOMY_HISTORIC,WB_696_PUBLIC_SECTOR_MANAGEMENT,17694106
MANMADE_DISASTER_IMPLIED,WB_696_PUBLIC_SECTOR_MANAGEMENT,17645461
MEDIA_MSM,WB_696_PUBLIC_SECTOR_MANAGEMENT,17483036
WB_832_ANTI_CORRUPTION,WB_840_JUSTICE,17048567
SECURITY_SERVICES,WB_696_PUBLIC_SECTOR_MANAGEMENT,16939098
WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,16870340
GENERAL_HEALTH,WB_696_PUBLIC_SECTOR_MANAGEMENT,16820718
LEGISLATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,16814799
LEADER,USPEC_POLITICS_GENERAL1,16462127
CRISISLEX_C07_SAFETY,WB_1014_CRIMINAL_JUSTICE,16459601
EDUCATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,16293689
USPEC_POLITICS_GENERAL1,WB_840_JUSTICE,16289498
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_840_JUSTICE,16104950
MEDICAL,WB_696_PUBLIC_SECTOR_MANAGEMENT,15981258
WB_1014_CRIMINAL_JUSTICE,WB_831_GOVERNANCE,15917358
WB_2025_INVESTIGATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,15848923
CRISISLEX_CRISISLEXREC,WB_1014_CRIMINAL_JUSTICE,15846241
WB_1014_CRIMINAL_JUSTICE,WB_832_ANTI_CORRUPTION,15635635
