Source,Target,count,Type,Weight
USPEC_POLICY1,WB_694_BROADCAST_AND_MEDIA,"11092844
",Undirected,0.0019447285459
WB_694_BROADCAST_AND_MEDIA,MANMADE_DISASTER_IMPLIED,"9100292
",Undirected,0.00159540669899
EPU_CATS_MIGRATION_FEAR_FEAR,KILL,10588948,Undirected,0.00185638862736
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"16139182
",Undirected,0.00282942119648
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"7212158
",Undirected,0.00126439076761
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"23355867
",Undirected,0.00409460560963
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"14711249
",Undirected,0.0025790848475
LEADER,USPEC_POLICY1,"24761518
",Undirected,0.00434103561669
CRISISLEX_C07_SAFETY,WB_135_TRANSPORT,"12118114
",Undirected,0.00212447251744
LEADER,WB_1014_CRIMINAL_JUSTICE,10133471,Undirected,0.00177653722731
CRISISLEX_C07_SAFETY,WB_831_GOVERNANCE,"15043162
",Undirected,0.00263727377415
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"11120685
",Undirected,0.00194960945718
GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,"15055135
",Undirected,0.00263937280619
GENERAL_GOVERNMENT,KILL,"12984182
",Undirected,0.00227630618267
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,"17872772
",Undirected,0.00313334343318
WB_831_GOVERNANCE,GENERAL_GOVERNMENT,10635267,Undirected,0.00186450898689
WB_1014_CRIMINAL_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,7959109,Undirected,0.00139534157987
WB_1014_CRIMINAL_JUSTICE,WB_832_ANTI_CORRUPTION,"15635635
",Undirected,0.00274114246245
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"16919207
",Undirected,0.0029661703371
ARMEDCONFLICT,LEADER,"12690274
",Undirected,0.00222478005668
CRISISLEX_T02_INJURED,KILL,"16267887
",Undirected,0.00285198495808
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"8355819
",Undirected,0.0014648903143
CRISISLEX_C07_SAFETY,CRISISLEX_T02_INJURED,"14726685
",Undirected,0.0025817909912
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,"9708303
",Undirected,0.00170199941298
MEDICAL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"9031450
",Undirected,0.00158333774692
SOC_GENERALCRIME,KILL,8948010,Undirected,0.00156870956411
