Source,Target,count,Type,Weight
USPEC_POLICY1,WB_694_BROADCAST_AND_MEDIA,"11092844
",Undirected,0.00182739358174
WB_694_BROADCAST_AND_MEDIA,MANMADE_DISASTER_IMPLIED,"9100292
",Undirected,0.00149914802667
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"16139182
",Undirected,0.00265870840709
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"7212158
",Undirected,0.00118810390191
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"24640940
",Undirected,0.0040592561839
CRISISLEX_CRISISLEXREC,TAX_FNCACT_AUTHORITIES,"17336150
",Undirected,0.00285589243319
USPEC_POLITICS_GENERAL1,TAX_FNCACT_MINISTER,"10370135
",Undirected,0.00170833720737
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"14711249
",Undirected,0.00242347607178
LEADER,USPEC_POLICY1,"24761518
",Undirected,0.0040791197521
LEADER,WB_1014_CRIMINAL_JUSTICE,10133471,Undirected,0.00166935006624
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"11120685
",Undirected,0.00183198000383
GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,"15055135
",Undirected,0.00248012656369
WB_1014_CRIMINAL_JUSTICE,CRISISLEX_C07_SAFETY,"16459601
",Undirected,0.0027114930333
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,"13036109
",Undirected,0.00214751978099
WB_831_GOVERNANCE,GENERAL_GOVERNMENT,10635267,Undirected,0.00175201406023
WB_1014_CRIMINAL_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,7959109,Undirected,0.00131115381258
WB_1014_CRIMINAL_JUSTICE,WB_832_ANTI_CORRUPTION,"15635635
",Undirected,0.00257575595992
CRISISLEX_CRISISLEXREC,LEGISLATION,"16750152
",Undirected,0.00275935731702
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"16919207
",Undirected,0.00278720680467
ARMEDCONFLICT,LEADER,"12690274
",Undirected,0.00209054821813
CRISISLEX_T02_INJURED,KILL,"16267887
",Undirected,0.00267991078684
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"8355819
",Undirected,0.00137650633244
CRISISLEX_C07_SAFETY,CRISISLEX_T02_INJURED,"14516513
",Undirected,0.00239139599236
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,"9708303
",Undirected,0.00159930948202
MEDICAL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"9031450
",Undirected,0.00148780725338
TRIAL,CRISISLEX_C07_SAFETY,"17062696
",Undirected,0.00281084464522
CRISISLEX_CRISISLEXREC,TRIAL,"16583063
",Undirected,0.00273183170085
TAX_FNCACT_PRESIDENT,GENERAL_GOVERNMENT,"8282532
",Undirected,0.0013644333065
UNGP_FORESTS_RIVERS_OCEANS,CRISISLEX_C07_SAFETY,"17773925
",Undirected,0.00292800984737
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,"11574386
",Undirected,0.00190672100762
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,"13799103
",Undirected,0.00227321255541
EPU_ECONOMY_HISTORIC,EPU_CATS_MIGRATION_FEAR_FEAR,7007499,Undirected,0.00115438914463
EPU_ECONOMY_HISTORIC,WB_694_BROADCAST_AND_MEDIA,"9090893
",Undirected,0.00149759967061
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,"25192018
",Undirected,0.00415003871003
EPU_POLICY_GOVERNMENT,EDUCATION,"9647323
",Undirected,0.00158926386517
SOC_GENERALCRIME,EPU_CATS_MIGRATION_FEAR_FEAR,8741750,Undirected,0.00144008316021
WB_678_DIGITAL_GOVERNMENT,EDUCATION,"10094900
",Undirected,0.00166299602413
MEDIA_MSM,LEADER,"14345436
",Undirected,0.002363213408
WB_831_GOVERNANCE,EPU_POLICY_GOVERNMENT,7162831,Undirected,0.00117997795664
