Source,Target,count,Type,Weight
WB_694_BROADCAST_AND_MEDIA,MANMADE_DISASTER_IMPLIED,"9100292
",Undirected,0.00213519391884
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"16139182
",Undirected,0.00378672280642
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"12922381
",Undirected,0.00303196747183
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"7212158
",Undirected,0.00169218261385
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"23355867
",Undirected,0.0054799675865
GENERAL_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,"10504459
",Undirected,0.00246465245044
KILL,WB_2433_CONFLICT_AND_VIOLENCE,"12591542
",Undirected,0.00295434299331
USPEC_POLITICS_GENERAL1,TAX_FNCACT_MINISTER,"10370135
",Undirected,0.0024331361224
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"14711249
",Undirected,0.00345168807807
LEADER,USPEC_POLICY1,"24761518
",Undirected,0.00580977430778
CRISISLEX_C07_SAFETY,WB_135_TRANSPORT,"12118114
",Undirected,0.00284326297668
USPEC_POLICY1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"16431049
",Undirected,0.0038552033171
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"11120685
",Undirected,0.00260923704265
USPEC_POLICY1,WB_678_DIGITAL_GOVERNMENT,"13954194
",Undirected,0.00327406089509
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,"13036109
",Undirected,0.00305865137758
MEDIA_MSM,USPEC_POLITICS_GENERAL1,"8598147
",Undirected,0.00201737605647
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"16919207
",Undirected,0.00396973942133
KILL,USPEC_POLICY1,"9505516
",Undirected,0.00223027128785
ARMEDCONFLICT,LEADER,"12690274
",Undirected,0.00297750840008
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"8355819
",Undirected,0.00196051884003
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,"9708303
",Undirected,0.00227785103246
