Source,Target,count,Type,Weight
WB_694_BROADCAST_AND_MEDIA,MANMADE_DISASTER_IMPLIED,"9100292
",Undirected,0.0018746290384
EPU_CATS_MIGRATION_FEAR_FEAR,KILL,10588948,Undirected,0.00218128708473
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"16139182
",Undirected,0.00332461631266
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"12922381
",Undirected,0.0026619663048
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"7212158
",Undirected,0.00148567988986
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"12810509
",Undirected,0.00263892105528
GENERAL_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,"11988392
",Undirected,0.00246956776408
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"11985133
",Undirected,0.00246889642122
LEADER,USPEC_POLICY1,"19714056
",Undirected,0.00406102813428
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"13683956
",Undirected,0.002818848151
GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,"15055135
",Undirected,0.00310130633698
GENERAL_GOVERNMENT,KILL,"12984182
",Undirected,0.0026746970995
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,"13036109
",Undirected,0.00268539388396
TAX_FNCACT_MINISTER,EPU_POLICY_GOVERNMENT,"12224885
",Undirected,0.00251828451351
LEADER,LEGISLATION,"10998139
",Undirected,0.00226557903172
CRISISLEX_CRISISLEXREC,LEGISLATION,"16750152
",Undirected,0.00345047404377
MEDIA_MSM,USPEC_POLITICS_GENERAL1,"20593146
",Undirected,0.0042421176687
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"16919207
",Undirected,0.00348529879578
ARMEDCONFLICT,LEADER,"12690274
",Undirected,0.00261415305636
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"8355819
",Undirected,0.00172127014572
TAX_FNCACT_PRESIDENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"13603564
",Undirected,0.00280228767385
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,"9708303
",Undirected,0.00199987722563
MEDICAL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"9031450
",Undirected,0.00186044782176
TRIAL,CRISISLEX_C07_SAFETY,"17062696
",Undirected,0.00351485703919
EPU_POLICY_GOVERNMENT,LEGISLATION,"9274347
",Undirected,0.00191048377331
UNGP_FORESTS_RIVERS_OCEANS,CRISISLEX_C07_SAFETY,"17773925
",Undirected,0.00366136778152
EDUCATION,LEADER,"12079801
",Undirected,0.00248839770555
EPU_ECONOMY_HISTORIC,EPU_CATS_MIGRATION_FEAR_FEAR,7007499,Undirected,0.00144352083559
EPU_ECONOMY_HISTORIC,WB_694_BROADCAST_AND_MEDIA,"9090893
",Undirected,0.00187269287653
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,"10565956
",Undirected,0.00217655081134
EPU_POLICY_GOVERNMENT,EDUCATION,"9647323
",Undirected,0.00198731555411
WB_678_DIGITAL_GOVERNMENT,EDUCATION,"10094900
",Undirected,0.00207951488586
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,ARMEDCONFLICT,"9471768
",Undirected,0.00195115182433
EDUCATION,USPEC_POLITICS_GENERAL1,"17496283
",Undirected,0.00360417447877
EPU_ECONOMY,GENERAL_GOVERNMENT,"9553396
",Undirected,0.00196796691325
WB_694_BROADCAST_AND_MEDIA,KILL,"7654028
",Undirected,0.00157670359913
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,"38523247
",Undirected,0.00793565717226
EPU_POLICY_LAW,KILL,7003194,Undirected,0.00144263402031
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,EPU_CATS_MIGRATION_FEAR_FEAR,"11888113
",Undirected,0.00244891063293
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,MEDICAL,"12669431
",Undirected,0.00260985946962
UNGP_FORESTS_RIVERS_OCEANS,MEDIA_MSM,14887390,Undirected,0.00306675144049
SECURITY_SERVICES,USPEC_POLICY1,11215084,Undirected,0.00231026895999
WB_840_JUSTICE,LEGISLATION,12833612,Undirected,0.0026436801943
GENERAL_GOVERNMENT,USPEC_POLICY1,"16004545
",Undirected,0.00329688155098
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,"14578491
",Undirected,0.00300311930261
TAX_ECON_PRICE,USPEC_POLICY1,"16131326
",Undirected,0.00332299800352
MEDIA_MSM,EPU_CATS_MIGRATION_FEAR_FEAR,7535196,Undirected,0.00155222461341
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,"16698321
",Undirected,0.00343979703498
LEADER,WB_840_JUSTICE,"11728947
",Undirected,0.00241612298111
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,"15513520
",Undirected,0.00319573207978
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"17023359
",Undirected,0.00350675375169
EPU_POLICY_GOVERNMENT,LEADER,"16200277
",Undirected,0.00333720167378
