Source,Target,count,Type,Weight
ARMEDCONFLICT,WB_678_DIGITAL_GOVERNMENT,"8215648
",Undirected,0.00217913529266
WB_2433_CONFLICT_AND_VIOLENCE,WB_621_HEALTH_NUTRITION_AND_POPULATION,"12913307
",Undirected,0.00342515198176
USPEC_POLITICS_GENERAL1,WB_621_HEALTH_NUTRITION_AND_POPULATION,"13203589
",Undirected,0.00350214697363
ARMEDCONFLICT,EPU_ECONOMY_HISTORIC,10883531,Undirected,0.00288677004064
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,"13051547
",Undirected,0.00346181904233
TAX_FNCACT_PRESIDENT,MEDIA_MSM,"11328412
",Undirected,0.00300477118773
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,"6606919
",Undirected,0.00175243271969
CRISISLEX_C07_SAFETY,KILL,"10346663
",Undirected,0.00274437007337
GENERAL_HEALTH,WB_678_DIGITAL_GOVERNMENT,"9506159
",Undirected,0.00252143307193
USPEC_POLITICS_GENERAL1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"15284965
",Undirected,0.00405421540438
GENERAL_GOVERNMENT,GENERAL_HEALTH,"12775597
",Undirected,0.00338862549947
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"13193798
",Undirected,0.00349954998875
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,EPU_POLICY_GOVERNMENT,"14224207
",Undirected,0.00377285778112
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"15284979
",Undirected,0.00405421911776
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"7212158
",Undirected,0.00191296755095
ARMEDCONFLICT,USPEC_POLITICS_GENERAL1,"9446483
",Undirected,0.00250560448753
ARMEDCONFLICT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"12877835
",Undirected,0.00341574331587
LEGISLATION,USPEC_POLICY1,"15455017
",Undirected,0.00409932034495
WB_840_JUSTICE,ARMEDCONFLICT,6995803,Undirected,0.00185558110788
EPU_ECONOMY_HISTORIC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"11565890
",Undirected,0.00306776033856
EPU_POLICY_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"8653235
",Undirected,0.00229520176426
MEDIA_MSM,EDUCATION,11631157,Undirected,0.00308507189124
KILL,WB_694_BROADCAST_AND_MEDIA,"7654028
",Undirected,0.00203017005424
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,LEADER,"8652019
",Undirected,0.00229487922993
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,LEGISLATION,"11456091
",Undirected,0.00303863702705
WB_2670_JOBS,USPEC_POLICY1,"12543623
",Undirected,0.00332709624087
USPEC_POLITICS_GENERAL1,MANMADE_DISASTER_IMPLIED,"16884352
",Undirected,0.00447844008614
LEADER,WB_696_PUBLIC_SECTOR_MANAGEMENT,"10220940
",Undirected,0.0027110230475
MEDICAL,CRISISLEX_CRISISLEXREC,"25825046
",Undirected,0.00684988806398
SECURITY_SERVICES,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"7385474
",Undirected,0.00195893824156
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,"7407464
",Undirected,0.00196477091417
WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_678_DIGITAL_GOVERNMENT,"9291971
",Undirected,0.00246462140837
EPU_POLICY_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"15344536
",Undirected,0.00407001613836
SECURITY_SERVICES,MANMADE_DISASTER_IMPLIED,"14827567
",Undirected,0.00393289422258
TAX_ECON_PRICE,GENERAL_GOVERNMENT,"11114496
",Undirected,0.00294803167001
CRISISLEX_CRISISLEXREC,TAX_ECON_PRICE,"13507533
",Undirected,0.00358276570236
GENERAL_GOVERNMENT,WB_621_HEALTH_NUTRITION_AND_POPULATION,"11267360
",Undirected,0.00298857763028
EPU_POLICY_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,"9829288
",Undirected,0.00260714046932
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"11120685
",Undirected,0.00294967325304
EPU_POLICY_GOVERNMENT,USPEC_POLICY1,"18586153
",Undirected,0.00492982926691
SECURITY_SERVICES,USPEC_POLITICS_GENERAL1,"10670390
",Undirected,0.00283023608551
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,TAX_FNCACT_PRESIDENT,"13370979
",Undirected,0.00354654583987
USPEC_POLICY1,WB_678_DIGITAL_GOVERNMENT,"13418304
",Undirected,0.00355909841975
GENERAL_GOVERNMENT,KILL,"12984182
",Undirected,0.00344395101184
WB_678_DIGITAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"14243176
",Undirected,0.00377788915751
WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_694_BROADCAST_AND_MEDIA,"7900990
",Undirected,0.00209567476064
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,"13036109
",Undirected,0.00345772423561
WB_2433_CONFLICT_AND_VIOLENCE,KILL,"12591542
",Undirected,0.00333980637452
MEDIA_SOCIAL,WB_678_DIGITAL_GOVERNMENT,"6703684
",Undirected,0.00177809886636
WB_840_JUSTICE,CRISISLEX_C07_SAFETY,"11252132
",Undirected,0.00298453852439
WB_694_BROADCAST_AND_MEDIA,WB_840_JUSTICE,"7840820
",Undirected,0.00207971514668
WB_840_JUSTICE,GENERAL_GOVERNMENT,"14336758
",Undirected,0.00380271103875
ARMEDCONFLICT,SECURITY_SERVICES,11995382,Undirected,0.0031816796758
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,"35336790
",Undirected,0.00937280251274
ARMEDCONFLICT,WB_2433_CONFLICT_AND_VIOLENCE,"16101674
",Undirected,0.00427084097131
WB_678_DIGITAL_GOVERNMENT,WB_840_JUSTICE,"9384527
",Undirected,0.00248917115127
ARMEDCONFLICT,EPU_POLICY_GOVERNMENT,"10129336
",Undirected,0.00268672581503
USPEC_POLITICS_GENERAL1,GENERAL_HEALTH,"14684360
",Undirected,0.00389490970476
USPEC_POLITICS_GENERAL1,WB_2433_CONFLICT_AND_VIOLENCE,"15886453
",Undirected,0.00421375531272
LEGISLATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,"16814799
",Undirected,0.00445999170605
CRISISLEX_C07_SAFETY,USPEC_POLICY1,"16744211
",Undirected,0.00444126880044
EPU_ECONOMY_HISTORIC,TAX_FNCACT_PRESIDENT,"11584044
",Undirected,0.00307257554268
LEADER,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"13215022
",Undirected,0.00350517948596
SECURITY_SERVICES,WB_694_BROADCAST_AND_MEDIA,8757615,Undirected,0.00232288772912
GENERAL_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"12468328
",Undirected,0.00330712484094
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,"16698321
",Undirected,0.0044290968429
MEDIA_MSM,USPEC_POLITICS_GENERAL1,"7346226
",Undirected,0.0019485280217
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"16919207
",Undirected,0.00448768509769
WB_840_JUSTICE,WB_2433_CONFLICT_AND_VIOLENCE,"10935074
",Undirected,0.00290044141146
GENERAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,"10350269
",Undirected,0.00274532653619
ARMEDCONFLICT,LEADER,"12690274
",Undirected,0.0033659942523
MEDICAL,GENERAL_GOVERNMENT,"11962992
",Undirected,0.0031730884859
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,"12104930
",Undirected,0.00321073641156
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"8355819
",Undirected,0.00221631453562
