Source,Target,count,Type,Weight
USPEC_POLICY1,WB_694_BROADCAST_AND_MEDIA,"11092844
",Undirected,0.00211371857512
WB_694_BROADCAST_AND_MEDIA,MANMADE_DISASTER_IMPLIED,"9100292
",Undirected,0.00173404189578
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"16139182
",Undirected,0.00307528788655
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"12922381
",Undirected,0.00246233308198
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"7212158
",Undirected,0.00137426185127
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"23355867
",Undirected,0.00445041234834
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"14711249
",Undirected,0.00280319819466
LEADER,USPEC_POLICY1,"24761518
",Undirected,0.00471825625103
TRIAL,WB_840_JUSTICE,"11945411
",Undirected,0.00227617346085
LEADER,WB_1014_CRIMINAL_JUSTICE,10133471,Undirected,0.00193091202609
CRISISLEX_C07_SAFETY,WB_831_GOVERNANCE,"14370821
",Undirected,0.00273833034048
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"22249170
",Undirected,0.00423953351457
GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,"15055135
",Undirected,0.00286872496362
GENERAL_GOVERNMENT,KILL,"12984182
",Undirected,0.00247410913523
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,"13036109
",Undirected,0.00248400371812
WB_831_GOVERNANCE,GENERAL_GOVERNMENT,10635267,Undirected,0.00202652822029
WB_831_GOVERNANCE,WB_840_JUSTICE,"17791877
",Undirected,0.00339020551457
WB_1014_CRIMINAL_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,7959109,Undirected,0.00151659182575
WB_1014_CRIMINAL_JUSTICE,WB_832_ANTI_CORRUPTION,"15635635
",Undirected,0.00297933804291
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"16919207
",Undirected,0.0032239200436
ARMEDCONFLICT,LEADER,"12690274
",Undirected,0.00241810557122
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"8355819
",Undirected,0.0015921840991
WB_1014_CRIMINAL_JUSTICE,WB_2024_ANTI_CORRUPTION_AUTHORITIES,"15129943
",Undirected,0.00288297947393
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,"9708303
",Undirected,0.00184989713945
MEDICAL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"9031450
",Undirected,0.00172092419448
TRIAL,CRISISLEX_C07_SAFETY,"17062696
",Undirected,0.00325126157699
SOC_GENERALCRIME,KILL,8948010,Undirected,0.00170502487435
TAX_FNCACT_PRESIDENT,GENERAL_GOVERNMENT,"8282532
",Undirected,0.00157821941221
UNGP_FORESTS_RIVERS_OCEANS,CRISISLEX_C07_SAFETY,"17773925
",Undirected,0.00338678479795
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,"11574386
",Undirected,0.00220547541133
EPU_ECONOMY_HISTORIC,WB_694_BROADCAST_AND_MEDIA,"9090893
",Undirected,0.00173225093569
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,"9935262
",Undirected,0.00189314370941
EPU_POLICY_GOVERNMENT,EDUCATION,"9647323
",Undirected,0.00183827752606
WB_678_DIGITAL_GOVERNMENT,EDUCATION,"10094900
",Undirected,0.00192356240149
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,TRIAL,"11627683
",Undirected,0.0022156310449
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,ARMEDCONFLICT,"9471768
",Undirected,0.00180482588242
WB_831_GOVERNANCE,EPU_POLICY_GOVERNMENT,7162831,Undirected,0.00136486269302
WB_2025_INVESTIGATION,WB_832_ANTI_CORRUPTION,"14521478
",Undirected,0.0027670377215
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,GENERAL_HEALTH,"9506150
",Undirected,0.00181137730169
WB_694_BROADCAST_AND_MEDIA,KILL,"7654028
",Undirected,0.0014584592696
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,"24009585
",Undirected,0.00457497696671
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,"12497770
",Undirected,0.00238142433054
EPU_POLICY_LAW,KILL,7003194,Undirected,0.00133444419149
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,MEDICAL,"12669431
",Undirected,0.00241413398051
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_832_ANTI_CORRUPTION,7228912,Undirected,0.00137745429146
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_840_JUSTICE,"16104950
",Undirected,0.00306876504946
UNGP_FORESTS_RIVERS_OCEANS,MEDIA_MSM,14887390,Undirected,0.0028367614994
SECURITY_SERVICES,USPEC_POLICY1,11215084,Undirected,0.00213701115533
LEGISLATION,EPU_ECONOMY_HISTORIC,8470226,Undirected,0.0016139841173
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,"14578491
",Undirected,0.00277790143122
WB_831_GOVERNANCE,WB_2433_CONFLICT_AND_VIOLENCE,7777007,Undirected,0.00148189266474
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,"16698321
",Undirected,0.00318183067128
LEADER,WB_840_JUSTICE,"14553892
",Undirected,0.00277321414244
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,"15513520
",Undirected,0.00295606928119
EPU_POLICY_GOVERNMENT,LEADER,"10141088
",Undirected,0.00193236342975
WB_2433_CONFLICT_AND_VIOLENCE,USPEC_POLICY1,"11222522
",Undirected,0.00213842845091
CRISISLEX_CRISISLEXREC,GENERAL_HEALTH,"27585488
",Undirected,0.0052563579177
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"14749767
",Undirected,0.00281053772022
LEGISLATION,SECURITY_SERVICES,9812566,Undirected,0.00186976423934
EPU_POLICY_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,"7161190
",Undirected,0.00136455000385
MEDICAL,WB_694_BROADCAST_AND_MEDIA,"7624585
",Undirected,0.0014528489666
WB_621_HEALTH_NUTRITION_AND_POPULATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,"16870340
",Undirected,0.00321460853741
WB_694_BROADCAST_AND_MEDIA,WB_696_PUBLIC_SECTOR_MANAGEMENT,"12149123
",Undirected,0.00231499036284
UNGP_FORESTS_RIVERS_OCEANS,WB_694_BROADCAST_AND_MEDIA,"10697523
",Undirected,0.00203839097285
CRISISLEX_C07_SAFETY,USPEC_POLICY1,"16744211
",Undirected,0.00319057491626
EPU_ECONOMY_HISTORIC,SECURITY_SERVICES,8944264,Undirected,0.00170431108177
SOC_GENERALCRIME,WB_2433_CONFLICT_AND_VIOLENCE,9310292,Undirected,0.00177405696322
UNGP_FORESTS_RIVERS_OCEANS,SOC_GENERALCRIME,5131843,Undirected,0.00097786211306
LEGISLATION,WB_678_DIGITAL_GOVERNMENT,"7963425
",Undirected,0.00151741423066
EPU_POLICY_GOVERNMENT,KILL,11299480,Undirected,0.00215309263929
EPU_ECONOMY_HISTORIC,WB_1014_CRIMINAL_JUSTICE,7381193,Undirected,0.00140647112234
WB_2025_INVESTIGATION,WB_831_GOVERNANCE,"14595831
",Undirected,0.0027812055325
UNGP_FORESTS_RIVERS_OCEANS,GENERAL_GOVERNMENT,"10504459
",Undirected,0.00200160302532
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,KILL,"8731957
",Undirected,0.00166385642023
USPEC_POLICY1,MANMADE_DISASTER_IMPLIED,"13539306
",Undirected,0.00257988686998
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_1014_CRIMINAL_JUSTICE,"10656605
",Undirected,0.00203059413223
CRISISLEX_C07_SAFETY,TAX_FNCACT_PRESIDENT,"12345439
",Undirected,0.00235239797227
UNGP_FORESTS_RIVERS_OCEANS,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"15857346
",Undirected,0.00302158461728
WB_694_BROADCAST_AND_MEDIA,EDUCATION,"8566794
",Undirected,0.00163238495078
EPU_POLICY_GOVERNMENT,WB_832_ANTI_CORRUPTION,6023191,Undirected,0.00114770663846
WB_1014_CRIMINAL_JUSTICE,WB_696_PUBLIC_SECTOR_MANAGEMENT,"25244641
",Undirected,0.00481031434354
GENERAL_GOVERNMENT,LEADER,"11918627
",Undirected,0.00227106982482
CRISISLEX_C07_SAFETY,EPU_ECONOMY_HISTORIC,"13304306
",Undirected,0.00253510810404
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,SOC_GENERALCRIME,"12087021
",Undirected,0.00230315695466
WB_678_DIGITAL_GOVERNMENT,GENERAL_HEALTH,"9506159
",Undirected,0.00181137901663
WB_2433_CONFLICT_AND_VIOLENCE,WB_621_HEALTH_NUTRITION_AND_POPULATION,"12913307
",Undirected,0.00246060404997
USPEC_POLITICS_GENERAL1,WB_621_HEALTH_NUTRITION_AND_POPULATION,"13203589
",Undirected,0.00251591668715
EPU_ECONOMY_HISTORIC,WB_831_GOVERNANCE,8471674,Undirected,0.00161426003071
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,"13051547
",Undirected,0.00248694539722
