Source,Target,count,Type,Weight
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,4299086,Undirected,0.0323616009186
CRISISLEX_C07_SAFETY,MANMADE_DISASTER_IMPLIED,1895018,Undirected,0.0142648498424
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,1865857,Undirected,0.0140453388476
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,1437309,Undirected,0.0108194207454
CRISISLEX_C07_SAFETY,GENERAL_GOVERNMENT,1342599,Undirected,0.0101064861302
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,1303610,Undirected,0.00981299433728
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,2413950,Undirected,0.0181711383623
CRISISLEX_C07_SAFETY,ARMEDCONFLICT,1379910,Undirected,0.010387346688
CRISISLEX_C07_SAFETY,TAX_FNCACT_POLICE,2201515,Undirected,0.0165720224825
CRISISLEX_C07_SAFETY,WB_2433_CONFLICT_AND_VIOLENCE,1389510,Undirected,0.010459611204
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,3600237,Undirected,0.0271009775116
CRISISLEX_CRISISLEXREC,KILL,3378527,Undirected,0.0254320435708
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,3338202,Undirected,0.025128494966
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,3232585,Undirected,0.0243334573222
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,3140970,Undirected,0.0236438204858
CRISISLEX_CRISISLEXREC,LEADER,2988965,Undirected,0.0224995946789
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,2869417,Undirected,0.0215996906838
CRISISLEX_CRISISLEXREC,UNGP_FORESTS_RIVERS_OCEANS,2815434,Undirected,0.02119333075
CRISISLEX_CRISISLEXREC,CRISISLEX_T03_DEAD,2812587,Undirected,0.0211718998045
CRISISLEX_CRISISLEXREC,GENERAL_HEALTH,2758548,Undirected,0.0207651183276
CRISISLEX_CRISISLEXREC,SECURITY_SERVICES,2751276,Undirected,0.0207103779568
CRISISLEX_CRISISLEXREC,CRISISLEX_T02_INJURED,2622629,Undirected,0.0197419807502
CRISISLEX_CRISISLEXREC,MEDICAL,2582504,Undirected,0.0194399376562
CRISISLEX_CRISISLEXREC,ARMEDCONFLICT,2519201,Undirected,0.0189634209215
CRISISLEX_CRISISLEXREC,WB_621_HEALTH_NUTRITION_AND_POPULATION,2493779,Undirected,0.0187720554502
CRISISLEX_CRISISLEXREC,MEDIA_MSM,2488409,Undirected,0.0187316324866
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,2464094,Undirected,0.0185486000173
CRISISLEX_CRISISLEXREC,TAX_FNCACT_POLICE,2432882,Undirected,0.0183136500098
CRISISLEX_CRISISLEXREC,CRISISLEX_C03_WELLBEING_HEALTH,2405476,Undirected,0.0181073498719
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,2405138,Undirected,0.0181048055587
CRISISLEX_CRISISLEXREC,WB_2433_CONFLICT_AND_VIOLENCE,2368611,Undirected,0.0178298466031
CRISISLEX_CRISISLEXREC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,2035388,Undirected,0.0153214925615
CRISISLEX_CRISISLEXREC,EDUCATION,2029871,Undirected,0.0152799630475
CRISISLEX_CRISISLEXREC,EPU_ECONOMY_HISTORIC,2016323,Undirected,0.0151779797494
CRISISLEX_CRISISLEXREC,AFFECT,1982618,Undirected,0.0149242635504
CRISISLEX_CRISISLEXREC,EPU_POLICY_GOVERNMENT,1971873,Undirected,0.0148433799854
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,1948839,Undirected,0.0146699903125
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,1744679,Undirected,0.0131331649399
CRISISLEX_CRISISLEXREC,TAX_FNCACT_AUTHORITIES,1733615,Undirected,0.0130498800853
CRISISLEX_CRISISLEXREC,LEGISLATION,1675015,Undirected,0.0126087654359
CRISISLEX_CRISISLEXREC,ARREST,1645713,Undirected,0.012388193056
CRISISLEX_CRISISLEXREC,WB_694_BROADCAST_AND_MEDIA,1633997,Undirected,0.0123000002364
CRISISLEX_CRISISLEXREC,WB_135_TRANSPORT,1548378,Undirected,0.0116554986123
CRISISLEX_CRISISLEXREC,CRISISLEX_T11_UPDATESSYMPATHY,1468536,Undirected,0.0110544836662
CRISISLEX_CRISISLEXREC,WB_832_ANTI_CORRUPTION,1440873,Undirected,0.010846248947
CRISISLEX_CRISISLEXREC,CRISISLEX_T01_CAUTION_ADVICE,1381969,Undirected,0.0104028459212
CRISISLEX_CRISISLEXREC,TAX_FNCACT_MAN,1317887,Undirected,0.00992046522209
MANMADE_DISASTER_IMPLIED,WB_696_PUBLIC_SECTOR_MANAGEMENT,1344168,Undirected,0.0101182968621
MANMADE_DISASTER_IMPLIED,CRISISLEX_T03_DEAD,1527366,Undirected,0.011497329653
KILL,CRISISLEX_T03_DEAD,2394511,Undirected,0.018024810245
WB_696_PUBLIC_SECTOR_MANAGEMENT,USPEC_POLITICS_GENERAL1,1351011,Undirected,0.0101698079123
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,2133614,Undirected,0.0160608940557
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,1380128,Undirected,0.0103889876947
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,LEADER,1319497,Undirected,0.00993258458362
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,ARMEDCONFLICT,1418025,Undirected,0.010674259399
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,2093233,Undirected,0.0157569239079
USPEC_POLITICS_GENERAL1,LEADER,2011614,Undirected,0.0151425324988
USPEC_POLITICS_GENERAL1,TAX_FNCACT_PRESIDENT,1543791,Undirected,0.0116209697233
LEADER,TAX_FNCACT_PRESIDENT,1541437,Undirected,0.0116032498617
GENERAL_HEALTH,MEDICAL,2143616,Undirected,0.0161361846482
GENERAL_HEALTH,CRISISLEX_C03_WELLBEING_HEALTH,1523783,Undirected,0.0114703584279
SECURITY_SERVICES,TAX_FNCACT_POLICE,2133513,Undirected,0.0160601337728
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,1412566,Undirected,0.0106331664831
