Source,Target,count,Type,Weight
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,171897,Undirected,0.0314544563911
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,96695,Undirected,0.0176936692364
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,82977,Undirected,0.0151834902759
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,66140,Undirected,0.012102583208
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,84672,Undirected,0.0154936487056
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,104487,Undirected,0.0191194830912
CRISISLEX_C07_SAFETY,WB_1014_CRIMINAL_JUSTICE,77410,Undirected,0.0141648165427
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,147794,Undirected,0.0270439852229
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,146041,Undirected,0.0267232137025
CRISISLEX_CRISISLEXREC,KILL,139521,Undirected,0.0255301559081
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,131750,Undirected,0.0241081847241
CRISISLEX_CRISISLEXREC,MEDIA_MSM,126455,Undirected,0.0231392827271
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,126258,Undirected,0.0231032348152
CRISISLEX_CRISISLEXREC,ARMEDCONFLICT,122270,Undirected,0.0223734933299
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,117586,Undirected,0.021516394755
CRISISLEX_CRISISLEXREC,SECURITY_SERVICES,115584,Undirected,0.0211500601378
CRISISLEX_CRISISLEXREC,LEADER,111902,Undirected,0.0204763118558
CRISISLEX_CRISISLEXREC,LEGISLATION,109489,Undirected,0.0200347706813
CRISISLEX_CRISISLEXREC,CRISISLEX_T03_DEAD,108475,Undirected,0.0198492245765
CRISISLEX_CRISISLEXREC,WB_1014_CRIMINAL_JUSTICE,101594,Undirected,0.0185901094411
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,97528,Undirected,0.0178460951786
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,96442,Undirected,0.0176473742024
CRISISLEX_CRISISLEXREC,CRISISLEX_T02_INJURED,95002,Undirected,0.0173838767754
CRISISLEX_CRISISLEXREC,TAX_ETHNICITY_RUSSIAN,94840,Undirected,0.0173542333149
CRISISLEX_CRISISLEXREC,TAX_WORLDLANGUAGES_RUSSIAN,94838,Undirected,0.0173538673462
CRISISLEX_CRISISLEXREC,WB_2433_CONFLICT_AND_VIOLENCE,93789,Undirected,0.0171619167901
CRISISLEX_CRISISLEXREC,TAX_WORLDLANGUAGES_RUSSIA,93525,Undirected,0.0171136089285
CRISISLEX_CRISISLEXREC,EPU_ECONOMY_HISTORIC,86507,Undirected,0.0158294249407
CRISISLEX_CRISISLEXREC,CRISISLEX_C03_WELLBEING_HEALTH,85013,Undirected,0.0155560463602
CRISISLEX_CRISISLEXREC,EPU_POLICY_LAW,84719,Undirected,0.0155022489688
CRISISLEX_CRISISLEXREC,GENERAL_HEALTH,81094,Undirected,0.0148389307933
CRISISLEX_CRISISLEXREC,TERROR,78548,Undirected,0.0143730527037
CRISISLEX_CRISISLEXREC,WB_135_TRANSPORT,78038,Undirected,0.0142797306983
CRISISLEX_CRISISLEXREC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,74935,Undirected,0.0137119303401
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,71495,Undirected,0.0130824642645
CRISISLEX_CRISISLEXREC,ARREST,69370,Undirected,0.0126936225754
CRISISLEX_CRISISLEXREC,WB_832_ANTI_CORRUPTION,67550,Undirected,0.0123605911052
CRISISLEX_CRISISLEXREC,EPU_POLICY_AUTHORITIES,64275,Undirected,0.0117613174432
CRISISLEX_CRISISLEXREC,SOC_GENERALCRIME,62703,Undirected,0.0114736660854
CRISISLEX_CRISISLEXREC,CRISISLEX_T01_CAUTION_ADVICE,61955,Undirected,0.0113367938109
MANMADE_DISASTER_IMPLIED,KILL,85543,Undirected,0.015653028052
MANMADE_DISASTER_IMPLIED,CRISISLEX_T03_DEAD,67940,Undirected,0.0124319549917
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,72519,Undirected,0.0132698402126
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,117586,Undirected,0.021516394755
WB_696_PUBLIC_SECTOR_MANAGEMENT,LEGISLATION,74363,Undirected,0.0136072633066
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_1014_CRIMINAL_JUSTICE,101594,Undirected,0.0185901094411
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,69926,Undirected,0.0127953618597
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_2024_ANTI_CORRUPTION_AUTHORITIES,60588,Undirected,0.0110866542396
KILL,CRISISLEX_T03_DEAD,104766,Undirected,0.0191705357177
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,ARMEDCONFLICT,70122,Undirected,0.0128312267873
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,93789,Undirected,0.0171619167901
USPEC_POLITICS_GENERAL1,LEADER,87065,Undirected,0.0159315301936
WB_840_JUSTICE,LEGISLATION,63973,Undirected,0.0117060561773
WB_840_JUSTICE,WB_1014_CRIMINAL_JUSTICE,101594,Undirected,0.0185901094411
SECURITY_SERVICES,WB_1014_CRIMINAL_JUSTICE,69056,Undirected,0.0126361654976
LEGISLATION,EPU_POLICY_LAW,84684,Undirected,0.0154958445175
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,94806,Undirected,0.0173480118479
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,63284,Undirected,0.0115799799779
WB_831_GOVERNANCE,WB_2024_ANTI_CORRUPTION_AUTHORITIES,60588,Undirected,0.0110866542396
