Source,Target,count,Type,Weight
EPU_POLICY_GOVERNMENT,GENERAL_GOVERNMENT,3992550,Undirected,0.0429913637596
EPU_POLICY_GOVERNMENT,USPEC_POLITICS_GENERAL1,2132719,Undirected,0.0229648967016
EPU_POLICY_GOVERNMENT,LEADER,2074698,Undirected,0.0223401325993
EPU_POLICY_GOVERNMENT,CRISISLEX_CRISISLEXREC,1857999,Undirected,0.0200067402723
EPU_POLICY_GOVERNMENT,USPEC_POLICY1,1830173,Undirected,0.0197071127941
EPU_POLICY_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,1534453,Undirected,0.0165228305457
EPU_POLICY_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1422420,Undirected,0.0153164708367
EPU_POLICY_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,1563167,Undirected,0.0168320199156
EPU_POLICY_GOVERNMENT,EPU_ECONOMY_HISTORIC,1487749,Undirected,0.016019926724
EPU_POLICY_GOVERNMENT,TAX_FNCACT_MINISTER,1222488,Undirected,0.0131636238243
EPU_POLICY_GOVERNMENT,ARMEDCONFLICT,1012933,Undirected,0.0109071573473
EPU_POLICY_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,982928,Undirected,0.0105840666235
EPU_POLICY_GOVERNMENT,EDUCATION,964732,Undirected,0.0103881339852
EPU_POLICY_GOVERNMENT,LEGISLATION,927434,Undirected,0.00998651299472
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,3261171,Undirected,0.0351159506439
GENERAL_GOVERNMENT,LEADER,3052320,Undirected,0.0328670647658
GENERAL_GOVERNMENT,CRISISLEX_CRISISLEXREC,2711768,Undirected,0.0292000361974
GENERAL_GOVERNMENT,USPEC_POLICY1,2579727,Undirected,0.0277782324223
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,2213130,Undirected,0.0238307539987
GENERAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,2103882,Undirected,0.0226543828805
GENERAL_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,2019392,Undirected,0.021744603335
GENERAL_GOVERNMENT,CRISISLEX_C07_SAFETY,1995689,Undirected,0.0214893718927
GENERAL_GOVERNMENT,EPU_ECONOMY_HISTORIC,1864037,Undirected,0.0200717568292
GENERAL_GOVERNMENT,TAX_FNCACT_PRESIDENT,1829804,Undirected,0.0197031394404
GENERAL_GOVERNMENT,TAX_FNCACT_MINISTER,1688391,Undirected,0.0181804189427
GENERAL_GOVERNMENT,MEDIA_MSM,1643438,Undirected,0.0176963697072
GENERAL_GOVERNMENT,ARMEDCONFLICT,1510684,Undirected,0.0162668884222
GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,1505513,Undirected,0.0162112076312
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,1457849,Undirected,0.0156979666293
GENERAL_GOVERNMENT,WB_840_JUSTICE,1433675,Undirected,0.0154376635078
GENERAL_GOVERNMENT,EDUCATION,1399094,Undirected,0.0150652988912
GENERAL_GOVERNMENT,LEGISLATION,1355955,Undirected,0.0146007826193
GENERAL_GOVERNMENT,WB_678_DIGITAL_GOVERNMENT,1293856,Undirected,0.0139321070365
GENERAL_GOVERNMENT,MEDICAL,1196299,Undirected,0.0128816233921
GENERAL_GOVERNMENT,WB_621_HEALTH_NUTRITION_AND_POPULATION,1126736,Undirected,0.0121325762325
GENERAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,1076426,Undirected,0.0115908433774
GENERAL_GOVERNMENT,WB_2670_JOBS,1028239,Undirected,0.0110719707658
GENERAL_GOVERNMENT,EPU_CATS_MIGRATION_FEAR_FEAR,980885,Undirected,0.0105620678116
GENERAL_GOVERNMENT,WB_470_EDUCATION,964121,Undirected,0.0103815548006
GENERAL_GOVERNMENT,EPU_POLICY_POLICY,932046,Undirected,0.0100361745317
USPEC_POLITICS_GENERAL1,LEADER,2309244,Undirected,0.0248656995689
USPEC_POLITICS_GENERAL1,CRISISLEX_CRISISLEXREC,1557735,Undirected,0.0167735287037
USPEC_POLITICS_GENERAL1,USPEC_POLICY1,1585964,Undirected,0.0170774956441
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1303994,Undirected,0.0140412719676
USPEC_POLITICS_GENERAL1,CRISISLEX_C07_SAFETY,1160323,Undirected,0.0124942375604
USPEC_POLITICS_GENERAL1,TAX_FNCACT_PRESIDENT,1716793,Undirected,0.018486248729
USPEC_POLITICS_GENERAL1,MEDIA_MSM,1007040,Undirected,0.0108437021354
LEADER,CRISISLEX_CRISISLEXREC,1484134,Undirected,0.0159810007795
LEADER,USPEC_POLICY1,1431089,Undirected,0.0154098177284
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1230807,Undirected,0.0132532019524
LEADER,CRISISLEX_C07_SAFETY,1097383,Undirected,0.0118165061769
LEADER,TAX_FNCACT_PRESIDENT,1712265,Undirected,0.0184374916953
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,1190078,Undirected,0.0128146363102
