Source,Target,count,Type,Weight
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,107894,Undirected,0.0311085943496
GENERAL_GOVERNMENT,EPU_POLICY_GOVERNMENT,107359,Undirected,0.030954340193
GENERAL_GOVERNMENT,LEADER,102644,Undirected,0.0295948853358
GENERAL_GOVERNMENT,CRISISLEX_CRISISLEXREC,97528,Undirected,0.0281198119426
GENERAL_GOVERNMENT,USPEC_POLICY1,88044,Undirected,0.0253853326498
GENERAL_GOVERNMENT,MEDIA_MSM,76804,Undirected,0.0221445537326
GENERAL_GOVERNMENT,CRISISLEX_C07_SAFETY,76271,Undirected,0.021990876227
GENERAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,74841,Undirected,0.0215785707242
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,71931,Undirected,0.0207395434423
GENERAL_GOVERNMENT,EPU_ECONOMY_HISTORIC,68811,Undirected,0.0198399677998
GENERAL_GOVERNMENT,TAX_FNCACT_PRESIDENT,67284,Undirected,0.0193996947209
GENERAL_GOVERNMENT,TAX_WORLDLANGUAGES_RUSSIAN,62801,Undirected,0.0181071313859
GENERAL_GOVERNMENT,TAX_ETHNICITY_RUSSIAN,62800,Undirected,0.0181068430604
GENERAL_GOVERNMENT,ARMEDCONFLICT,61548,Undirected,0.0177458595013
GENERAL_GOVERNMENT,LEGISLATION,59201,Undirected,0.0170691594907
GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,57606,Undirected,0.0166092802761
GENERAL_GOVERNMENT,TAX_FNCACT_MINISTER,57538,Undirected,0.0165896741403
GENERAL_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,53994,Undirected,0.0155678484746
GENERAL_GOVERNMENT,KILL,53703,Undirected,0.0154839457464
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,52183,Undirected,0.0150456909462
GENERAL_GOVERNMENT,TAX_WORLDLANGUAGES_RUSSIA,50572,Undirected,0.0145811985231
GENERAL_GOVERNMENT,WB_840_JUSTICE,50093,Undirected,0.0144430905959
GENERAL_GOVERNMENT,WB_678_DIGITAL_GOVERNMENT,44206,Undirected,0.0127457182218
GENERAL_GOVERNMENT,EPU_ECONOMY,43794,Undirected,0.0126269281049
GENERAL_GOVERNMENT,TAX_ETHNICITY_UKRAINIAN,41349,Undirected,0.0119219721927
GENERAL_GOVERNMENT,TERROR,40146,Undirected,0.0115751165844
GENERAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,39387,Undirected,0.0113562775099
USPEC_POLITICS_GENERAL1,EPU_POLICY_GOVERNMENT,54217,Undirected,0.015632145067
USPEC_POLITICS_GENERAL1,LEADER,79571,Undirected,0.0229423504643
USPEC_POLITICS_GENERAL1,CRISISLEX_CRISISLEXREC,56720,Undirected,0.0163538238596
USPEC_POLITICS_GENERAL1,USPEC_POLICY1,54275,Undirected,0.0156488679475
USPEC_POLITICS_GENERAL1,CRISISLEX_C07_SAFETY,45081,Undirected,0.0129980030574
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,43875,Undirected,0.0126502824725
USPEC_POLITICS_GENERAL1,TAX_FNCACT_PRESIDENT,67145,Undirected,0.0193596174728
USPEC_POLITICS_GENERAL1,TAX_ETHNICITY_RUSSIAN,38535,Undirected,0.0111106241613
USPEC_POLITICS_GENERAL1,LEGISLATION,38335,Undirected,0.011052959056
EPU_POLICY_GOVERNMENT,LEADER,58451,Undirected,0.0168529153459
EPU_POLICY_GOVERNMENT,CRISISLEX_CRISISLEXREC,51630,Undirected,0.0148862469301
EPU_POLICY_GOVERNMENT,USPEC_POLICY1,52458,Undirected,0.0151249804659
EPU_POLICY_GOVERNMENT,CRISISLEX_C07_SAFETY,39239,Undirected,0.0113136053319
EPU_POLICY_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,38898,Undirected,0.0112152863274
EPU_POLICY_GOVERNMENT,TAX_FNCACT_PRESIDENT,36112,Undirected,0.0104120114108
LEADER,CRISISLEX_CRISISLEXREC,53165,Undirected,0.0153288266131
LEADER,USPEC_POLICY1,50630,Undirected,0.0145979214036
LEADER,CRISISLEX_C07_SAFETY,41140,Undirected,0.0118617121577
LEADER,WB_696_PUBLIC_SECTOR_MANAGEMENT,40230,Undirected,0.0115993359286
LEADER,TAX_FNCACT_PRESIDENT,67279,Undirected,0.0193982530933
LEADER,TAX_ETHNICITY_RUSSIAN,36603,Undirected,0.0105535792443
CRISISLEX_CRISISLEXREC,MEDIA_MSM,45457,Undirected,0.0131064134553
CRISISLEX_CRISISLEXREC,CRISISLEX_C07_SAFETY,50010,Undirected,0.0144191595772
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,45485,Undirected,0.0131144865701
CRISISLEX_CRISISLEXREC,TAX_WORLDLANGUAGES_RUSSIAN,36248,Undirected,0.0104512236824
CRISISLEX_CRISISLEXREC,ARMEDCONFLICT,43025,Undirected,0.012405205775
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,43526,Undirected,0.0125496568638
CRISISLEX_CRISISLEXREC,WB_2433_CONFLICT_AND_VIOLENCE,35353,Undirected,0.0101931723362
USPEC_POLICY1,WB_696_PUBLIC_SECTOR_MANAGEMENT,36283,Undirected,0.0104613150758
MEDIA_MSM,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,35616,Undirected,0.0102690019497
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,39577,Undirected,0.0114110593599
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,ARMEDCONFLICT,39365,Undirected,0.0113499343483
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,52183,Undirected,0.0150456909462
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,50093,Undirected,0.0144430905959
TAX_WORLDLANGUAGES_RUSSIAN,TAX_ETHNICITY_RUSSIAN,62773,Undirected,0.0180990582712
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,39387,Undirected,0.0113562775099
