Source,Target,count,Type,Weight
LEADER,USPEC_POLITICS_GENERAL1,4920628,Undirected,0.0438238219707
LEADER,TAX_FNCACT_PRESIDENT,3662605,Undirected,0.0326196878669
LEADER,GENERAL_GOVERNMENT,2419079,Undirected,0.0215446661339
LEADER,CRISISLEX_CRISISLEXREC,2127634,Undirected,0.0189490149702
LEADER,USPEC_POLICY1,1971405,Undirected,0.0175576169855
LEADER,WB_696_PUBLIC_SECTOR_MANAGEMENT,1774570,Undirected,0.015804576114
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1702335,Undirected,0.0151612407958
LEADER,UNGP_FORESTS_RIVERS_OCEANS,1631360,Undirected,0.0145291272192
LEADER,CRISISLEX_C07_SAFETY,1568680,Undirected,0.0139708901077
LEADER,EPU_POLICY_GOVERNMENT,1620027,Undirected,0.0144281938882
LEADER,MEDIA_MSM,1434543,Undirected,0.0127762466582
LEADER,ARMEDCONFLICT,1269027,Undirected,0.0113021373134
LEADER,MANMADE_DISASTER_IMPLIED,1193466,Undirected,0.01062918016
LEADER,WB_840_JUSTICE,1172894,Undirected,0.0104459629638
LEADER,WB_678_DIGITAL_GOVERNMENT,1108218,Undirected,0.00986994918876
LEADER,ELECTION,1046690,Undirected,0.00932197195532
USPEC_POLITICS_GENERAL1,TAX_FNCACT_PRESIDENT,3852324,Undirected,0.0343093526171
USPEC_POLITICS_GENERAL1,GENERAL_GOVERNMENT,3326398,Undirected,0.0296253798816
USPEC_POLITICS_GENERAL1,CRISISLEX_CRISISLEXREC,3028803,Undirected,0.0269749559317
USPEC_POLITICS_GENERAL1,USPEC_POLICY1,2904372,Undirected,0.0258667555167
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,2561794,Undirected,0.0228157064874
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,2343213,Undirected,0.0208689926065
USPEC_POLITICS_GENERAL1,UNGP_FORESTS_RIVERS_OCEANS,2337436,Undirected,0.0208175418121
USPEC_POLITICS_GENERAL1,CRISISLEX_C07_SAFETY,2258092,Undirected,0.0201108927156
USPEC_POLITICS_GENERAL1,EPU_POLICY_GOVERNMENT,2172163,Undirected,0.0193455966603
USPEC_POLITICS_GENERAL1,EPU_ECONOMY_HISTORIC,2075688,Undirected,0.0184863764094
USPEC_POLITICS_GENERAL1,MEDIA_MSM,2059314,Undirected,0.0183405472061
USPEC_POLITICS_GENERAL1,EDUCATION,1749628,Undirected,0.0155824390681
