Source,Target,count,Type,Weight
LEADER,USPEC_POLITICS_GENERAL1,185535,Undirected,0.041009478365
LEADER,TAX_FNCACT_PRESIDENT,162206,Undirected,0.03585298433
LEADER,CRISISLEX_CRISISLEXREC,87065,Undirected,0.0192442947899
LEADER,USPEC_POLICY1,74500,Undirected,0.0164670069701
LEADER,GENERAL_GOVERNMENT,79571,Undirected,0.0175878686123
LEADER,MEDIA_MSM,77757,Undirected,0.0171869135701
LEADER,CRISISLEX_C07_SAFETY,70059,Undirected,0.0154853965277
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,72234,Undirected,0.0159661447178
LEADER,TAX_WORLDLANGUAGES_RUSSIAN,67072,Undirected,0.0148251690134
LEADER,LEGISLATION,52040,Undirected,0.0115025911775
LEADER,ARMEDCONFLICT,59389,Undirected,0.0131269674758
LEADER,TAX_WORLDLANGUAGES_RUSSIA,49405,Undirected,0.0109201675081
LEADER,KILL,48091,Undirected,0.0106297292912
LEADER,UNGP_FORESTS_RIVERS_OCEANS,48041,Undirected,0.0106186776087
USPEC_POLITICS_GENERAL1,TAX_FNCACT_PRESIDENT,162209,Undirected,0.035853647431
USPEC_POLITICS_GENERAL1,CRISISLEX_CRISISLEXREC,126258,Undirected,0.0279072666581
USPEC_POLITICS_GENERAL1,USPEC_POLICY1,117052,Undirected,0.0258724308706
USPEC_POLITICS_GENERAL1,GENERAL_GOVERNMENT,107894,Undirected,0.0238482046984
USPEC_POLITICS_GENERAL1,MEDIA_MSM,106419,Undirected,0.0235221800637
USPEC_POLITICS_GENERAL1,CRISISLEX_C07_SAFETY,104918,Undirected,0.0231904085542
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,100082,Undirected,0.0221214898199
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,98230,Undirected,0.0217121354989
USPEC_POLITICS_GENERAL1,TAX_WORLDLANGUAGES_RUSSIAN,96163,Undirected,0.0212552589431
USPEC_POLITICS_GENERAL1,TAX_ETHNICITY_RUSSIAN,96160,Undirected,0.0212545958422
USPEC_POLITICS_GENERAL1,LEGISLATION,91165,Undirected,0.0201505327574
USPEC_POLITICS_GENERAL1,EPU_ECONOMY_HISTORIC,81846,Undirected,0.0180907201674
USPEC_POLITICS_GENERAL1,ARMEDCONFLICT,80220,Undirected,0.0177313194515
USPEC_POLITICS_GENERAL1,MANMADE_DISASTER_IMPLIED,73233,Undirected,0.0161869573348
USPEC_POLITICS_GENERAL1,TAX_WORLDLANGUAGES_RUSSIA,72959,Undirected,0.0161263941145
USPEC_POLITICS_GENERAL1,WB_840_JUSTICE,72333,Undirected,0.0159880270492
USPEC_POLITICS_GENERAL1,KILL,70852,Undirected,0.0156606762127
USPEC_POLITICS_GENERAL1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,69398,Undirected,0.0153392932847
USPEC_POLITICS_GENERAL1,WB_2433_CONFLICT_AND_VIOLENCE,68225,Undirected,0.0150800208125
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,66800,Undirected,0.0147650478604
USPEC_POLITICS_GENERAL1,TAX_FNCACT_MINISTER,55892,Undirected,0.0123540127996
USPEC_POLITICS_GENERAL1,TAX_WORLDLANGUAGES_UKRAINIAN,54156,Undirected,0.0119702983822
USPEC_POLITICS_GENERAL1,WB_694_BROADCAST_AND_MEDIA,52132,Undirected,0.0115229262733
USPEC_POLITICS_GENERAL1,SECURITY_SERVICES,51344,Undirected,0.0113487517567
USPEC_POLITICS_GENERAL1,TRIAL,49817,Undirected,0.0110112333722
USPEC_POLITICS_GENERAL1,EPU_ECONOMY,48244,Undirected,0.0106635474398
TAX_FNCACT_PRESIDENT,CRISISLEX_CRISISLEXREC,75610,Undirected,0.0167123543222
TAX_FNCACT_PRESIDENT,GENERAL_GOVERNMENT,67145,Undirected,0.0148413044699
TAX_FNCACT_PRESIDENT,MEDIA_MSM,67947,Undirected,0.0150185734577
TAX_FNCACT_PRESIDENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,63841,Undirected,0.0141110092883
TAX_FNCACT_PRESIDENT,TAX_WORLDLANGUAGES_RUSSIAN,60495,Undirected,0.0133714306934
TAX_FNCACT_PRESIDENT,EPU_ECONOMY_HISTORIC,50267,Undirected,0.011110698515
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,56720,Undirected,0.0125370286623
CRISISLEX_CRISISLEXREC,CRISISLEX_C07_SAFETY,66140,Undirected,0.014619165651
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,60689,Undirected,0.0134143112216
CRISISLEX_CRISISLEXREC,TAX_ETHNICITY_RUSSIAN,48607,Undirected,0.010743782655
