Source,Target,count,Type,Weight
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,4337458,Undirected,0.0557443764207
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,3551687,Undirected,0.0456457623467
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,CRISISLEX_CRISISLEXREC,1869045,Undirected,0.0240206932326
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,MEDIA_MSM,1760817,Undirected,0.022629762791
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,USPEC_POLITICS_GENERAL1,1606968,Undirected,0.0206525179236
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,1498177,Undirected,0.0192543518883
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,CRISISLEX_C07_SAFETY,1450536,Undirected,0.0186420767177
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,USPEC_POLICY1,1426820,Undirected,0.0183372821511
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,UNGP_FORESTS_RIVERS_OCEANS,1414643,Undirected,0.0181807851264
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,LEADER,1390090,Undirected,0.0178652335582
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,GENERAL_GOVERNMENT,1321459,Undirected,0.0169831979746
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,EPU_ECONOMY_HISTORIC,1265204,Undirected,0.0162602169347
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1182365,Undirected,0.0151955822112
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,MANMADE_DISASTER_IMPLIED,1121734,Undirected,0.0144163614587
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,GENERAL_HEALTH,999537,Undirected,0.0128459034703
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_621_HEALTH_NUTRITION_AND_POPULATION,971976,Undirected,0.0124916935255
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,EPU_POLICY_GOVERNMENT,917279,Undirected,0.0117887356739
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,TAX_FNCACT_PRESIDENT,882215,Undirected,0.0113380982695
