Source,Target,count,Type,Weight
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,160062,Undirected,0.049073227832
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,131746,Undirected,0.0403918573675
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,MEDIA_MSM,83619,Undirected,0.0256366547843
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,CRISISLEX_CRISISLEXREC,74935,Undirected,0.0229742370306
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,USPEC_POLITICS_GENERAL1,69398,Undirected,0.0212766544532
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,CRISISLEX_C07_SAFETY,61708,Undirected,0.018918986037
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,TAX_WORLDLANGUAGES_RUSSIAN,58919,Undirected,0.0180639096765
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,TAX_ETHNICITY_RUSSIAN,58917,Undirected,0.0180632964987
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,LEGISLATION,57910,Undirected,0.0177545615059
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,USPEC_POLICY1,57511,Undirected,0.0176322325464
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,LEADER,54079,Undirected,0.016580019542
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,53747,Undirected,0.0164782320369
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,51049,Undirected,0.0156510552636
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,MANMADE_DISASTER_IMPLIED,47840,Undirected,0.0146672115773
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,ARMEDCONFLICT,44966,Undirected,0.0137860751627
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,EPU_ECONOMY_HISTORIC,42660,Undirected,0.0130790812267
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_840_JUSTICE,40412,Undirected,0.0123898694453
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,TAX_FNCACT_PRESIDENT,37334,Undirected,0.0114461889011
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2433_CONFLICT_AND_VIOLENCE,35955,Undirected,0.0110234028483
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_1014_CRIMINAL_JUSTICE,32075,Undirected,0.00983383802971
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,131746,Undirected,0.0403918573675
WB_678_DIGITAL_GOVERNMENT,MEDIA_MSM,80722,Undirected,0.0247484668257
WB_678_DIGITAL_GOVERNMENT,CRISISLEX_CRISISLEXREC,71495,Undirected,0.0219195713152
WB_678_DIGITAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,66800,Undirected,0.0204801365669
WB_678_DIGITAL_GOVERNMENT,CRISISLEX_C07_SAFETY,59062,Undirected,0.018107751885
WB_678_DIGITAL_GOVERNMENT,TAX_WORLDLANGUAGES_RUSSIAN,56091,Undirected,0.0171968763499
WB_678_DIGITAL_GOVERNMENT,TAX_ETHNICITY_RUSSIAN,56089,Undirected,0.0171962631722
