Source,Target,count,Type,Weight
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,4315399,Undirected,0.0557570937526
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,3533679,Undirected,0.0456568839393
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,CRISISLEX_CRISISLEXREC,1780858,Undirected,0.0230095679371
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,MEDIA_MSM,1691920,Undirected,0.0218604449002
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,USPEC_POLITICS_GENERAL1,1528496,Undirected,0.0197489258288
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,1424316,Undirected,0.0184028685981
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,CRISISLEX_C07_SAFETY,1387331,Undirected,0.0179250040687
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,USPEC_POLICY1,1341828,Undirected,0.0173370827578
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,LEADER,1321502,Undirected,0.0170744607644
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,UNGP_FORESTS_RIVERS_OCEANS,1319379,Undirected,0.0170470305523
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,GENERAL_GOVERNMENT,1246832,Undirected,0.0161096873586
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,EPU_ECONOMY_HISTORIC,1156589,Undirected,0.014943703075
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1130695,Undirected,0.0146091397622
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,EDUCATION,1009489,Undirected,0.0130430981736
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_840_JUSTICE,938452,Undirected,0.0121252649283
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,MEDICAL,903145,Undirected,0.0116690809905
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,EPU_POLICY_GOVERNMENT,865323,Undirected,0.0111804020062
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,ARMEDCONFLICT,821564,Undirected,0.0106150140397
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,LEGISLATION,796341,Undirected,0.0102891203794
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,TAX_ECON_PRICE,722486,Undirected,0.00933487717751
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,MEDIA_SOCIAL,670368,Undirected,0.0086614867883
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,3533680,Undirected,0.0456568968598
WB_678_DIGITAL_GOVERNMENT,CRISISLEX_CRISISLEXREC,1780859,Undirected,0.0230095808576
WB_678_DIGITAL_GOVERNMENT,MEDIA_MSM,1691920,Undirected,0.0218604449002
WB_678_DIGITAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,1528497,Undirected,0.0197489387493
WB_678_DIGITAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,1424317,Undirected,0.0184028815186
WB_678_DIGITAL_GOVERNMENT,CRISISLEX_C07_SAFETY,1387331,Undirected,0.0179250040687
WB_678_DIGITAL_GOVERNMENT,USPEC_POLICY1,1341830,Undirected,0.0173371085988
WB_678_DIGITAL_GOVERNMENT,LEADER,1321503,Undirected,0.0170744736849
WB_678_DIGITAL_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,1319381,Undirected,0.0170470563933
WB_678_DIGITAL_GOVERNMENT,GENERAL_GOVERNMENT,1246833,Undirected,0.0161097002791
WB_678_DIGITAL_GOVERNMENT,EPU_ECONOMY_HISTORIC,1156591,Undirected,0.014943728916
WB_678_DIGITAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1130696,Undirected,0.0146091526827
WB_678_DIGITAL_GOVERNMENT,EDUCATION,1009490,Undirected,0.0130431110941
WB_678_DIGITAL_GOVERNMENT,WB_840_JUSTICE,938452,Undirected,0.0121252649283
WB_678_DIGITAL_GOVERNMENT,MEDICAL,903145,Undirected,0.0116690809905
WB_678_DIGITAL_GOVERNMENT,EPU_POLICY_GOVERNMENT,865324,Undirected,0.0111804149267
WB_678_DIGITAL_GOVERNMENT,ARMEDCONFLICT,821564,Undirected,0.0106150140397
WB_678_DIGITAL_GOVERNMENT,LEGISLATION,796342,Undirected,0.0102891332999
WB_678_DIGITAL_GOVERNMENT,TAX_ECON_PRICE,722487,Undirected,0.00933489009801
WB_678_DIGITAL_GOVERNMENT,MEDIA_SOCIAL,670368,Undirected,0.0086614867883
WB_694_BROADCAST_AND_MEDIA,CRISISLEX_CRISISLEXREC,1487222,Undirected,0.0192156452937
WB_694_BROADCAST_AND_MEDIA,MEDIA_MSM,1513892,Undirected,0.0195602349111
WB_694_BROADCAST_AND_MEDIA,USPEC_POLITICS_GENERAL1,1273043,Undirected,0.0164483464686
WB_694_BROADCAST_AND_MEDIA,WB_696_PUBLIC_SECTOR_MANAGEMENT,1167515,Undirected,0.0150848724098
WB_694_BROADCAST_AND_MEDIA,CRISISLEX_C07_SAFETY,1138712,Undirected,0.0147127233753
WB_694_BROADCAST_AND_MEDIA,USPEC_POLICY1,1070006,Undirected,0.0138250078053
WB_694_BROADCAST_AND_MEDIA,LEADER,1121984,Undirected,0.0144965893251
WB_694_BROADCAST_AND_MEDIA,UNGP_FORESTS_RIVERS_OCEANS,1069752,Undirected,0.0138217259994
WB_694_BROADCAST_AND_MEDIA,EPU_ECONOMY_HISTORIC,909089,Undirected,0.0117458804163
WB_694_BROADCAST_AND_MEDIA,MANMADE_DISASTER_IMPLIED,910029,Undirected,0.0117580256821
WB_694_BROADCAST_AND_MEDIA,GENERAL_HEALTH,801349,Undirected,0.0103538262213
WB_694_BROADCAST_AND_MEDIA,WB_621_HEALTH_NUTRITION_AND_POPULATION,790099,Undirected,0.0102084706459
WB_694_BROADCAST_AND_MEDIA,KILL,765402,Undirected,0.00988937316629
WB_694_BROADCAST_AND_MEDIA,TAX_FNCACT_PRESIDENT,712627,Undirected,0.00920749401148
WB_694_BROADCAST_AND_MEDIA,WB_2433_CONFLICT_AND_VIOLENCE,706758,Undirected,0.00913166362286
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,746325,Undirected,0.0096428888719
CRISISLEX_CRISISLEXREC,CRISISLEX_C07_SAFETY,870069,Undirected,0.0112417226783
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,664664,Undirected,0.00858778828145
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,726454,Undirected,0.00938614570402
USPEC_POLITICS_GENERAL1,LEADER,1002291,Undirected,0.0129500964463
USPEC_POLITICS_GENERAL1,TAX_FNCACT_PRESIDENT,786890,Undirected,0.0101670087755
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,882000,Undirected,0.0113958771112
LEADER,TAX_FNCACT_PRESIDENT,783638,Undirected,0.0101249913239
