Source,Target,count,Type,Weight
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,160062,Undirected,0.0499058080955
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,131746,Undirected,0.0410771488132
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,MEDIA_MSM,80722,Undirected,0.0251683512706
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,CRISISLEX_CRISISLEXREC,71495,Undirected,0.0222914604952
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,USPEC_POLITICS_GENERAL1,66800,Undirected,0.0208276041832
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,CRISISLEX_C07_SAFETY,59062,Undirected,0.0184149694352
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,LEGISLATION,56264,Undirected,0.0175425796671
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,TAX_WORLDLANGUAGES_RUSSIAN,56091,Undirected,0.0174886399138
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,TAX_ETHNICITY_RUSSIAN,56089,Undirected,0.0174880163328
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,USPEC_POLICY1,54973,Undirected,0.0171400581552
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,LEADER,51835,Undirected,0.0161616596233
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,51481,Undirected,0.0160512857928
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,48834,Undirected,0.0152259763875
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,GENERAL_GOVERNMENT,44206,Undirected,0.0137830100378
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,TAX_WORLDLANGUAGES_RUSSIA,42262,Undirected,0.0131768893412
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,EPU_ECONOMY_HISTORIC,39539,Undirected,0.0123278838593
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,TAX_FNCACT_PRESIDENT,35708,Undirected,0.0111334145236
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,EPU_POLICY_LAW,34874,Undirected,0.0108733812618
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,SECURITY_SERVICES,33678,Undirected,0.0105004798456
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,131746,Undirected,0.0410771488132
WB_678_DIGITAL_GOVERNMENT,MEDIA_MSM,80722,Undirected,0.0251683512706
WB_678_DIGITAL_GOVERNMENT,CRISISLEX_CRISISLEXREC,71495,Undirected,0.0222914604952
WB_678_DIGITAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,66800,Undirected,0.0208276041832
WB_678_DIGITAL_GOVERNMENT,CRISISLEX_C07_SAFETY,59062,Undirected,0.0184149694352
WB_678_DIGITAL_GOVERNMENT,LEGISLATION,56264,Undirected,0.0175425796671
WB_678_DIGITAL_GOVERNMENT,TAX_WORLDLANGUAGES_RUSSIAN,56091,Undirected,0.0174886399138
WB_678_DIGITAL_GOVERNMENT,TAX_ETHNICITY_RUSSIAN,56089,Undirected,0.0174880163328
WB_678_DIGITAL_GOVERNMENT,USPEC_POLICY1,54973,Undirected,0.0171400581552
WB_678_DIGITAL_GOVERNMENT,LEADER,51835,Undirected,0.0161616596233
WB_678_DIGITAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,51481,Undirected,0.0160512857928
WB_678_DIGITAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,48834,Undirected,0.0152259763875
WB_678_DIGITAL_GOVERNMENT,GENERAL_GOVERNMENT,44206,Undirected,0.0137830100378
WB_678_DIGITAL_GOVERNMENT,TAX_WORLDLANGUAGES_RUSSIA,42262,Undirected,0.0131768893412
WB_678_DIGITAL_GOVERNMENT,EPU_ECONOMY_HISTORIC,39539,Undirected,0.0123278838593
WB_678_DIGITAL_GOVERNMENT,TAX_FNCACT_PRESIDENT,35708,Undirected,0.0111334145236
WB_678_DIGITAL_GOVERNMENT,EPU_POLICY_LAW,34874,Undirected,0.0108733812618
WB_678_DIGITAL_GOVERNMENT,SECURITY_SERVICES,33678,Undirected,0.0105004798456
WB_694_BROADCAST_AND_MEDIA,MEDIA_MSM,72783,Undirected,0.0226930466357
WB_694_BROADCAST_AND_MEDIA,CRISISLEX_CRISISLEXREC,63284,Undirected,0.0197313488493
WB_694_BROADCAST_AND_MEDIA,USPEC_POLITICS_GENERAL1,52132,Undirected,0.0162542613964
WB_694_BROADCAST_AND_MEDIA,CRISISLEX_C07_SAFETY,51507,Undirected,0.0160593923453
WB_694_BROADCAST_AND_MEDIA,TAX_WORLDLANGUAGES_RUSSIAN,42138,Undirected,0.0131382273215
WB_694_BROADCAST_AND_MEDIA,USPEC_POLICY1,40300,Undirected,0.0125651564159
WB_694_BROADCAST_AND_MEDIA,LEADER,46752,Undirected,0.0145768286044
WB_694_BROADCAST_AND_MEDIA,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,43592,Undirected,0.013591570682
WB_694_BROADCAST_AND_MEDIA,GENERAL_GOVERNMENT,39387,Undirected,0.0122804917061
WB_694_BROADCAST_AND_MEDIA,TAX_WORLDLANGUAGES_RUSSIA,37728,Undirected,0.0117632312968
WB_694_BROADCAST_AND_MEDIA,EPU_ECONOMY_HISTORIC,34341,Undirected,0.010707196935
WB_694_BROADCAST_AND_MEDIA,TAX_FNCACT_PRESIDENT,32329,Undirected,0.0100798744856
MEDIA_MSM,USPEC_POLITICS_GENERAL1,37608,Undirected,0.011725816439
MEDIA_MSM,TAX_WORLDLANGUAGES_RUSSIAN,31012,Undirected,0.00966924642111
MEDIA_MSM,LEADER,33254,Undirected,0.0103682806813
MEDIA_MSM,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,30885,Undirected,0.00962964902993
CRISISLEX_CRISISLEXREC,CRISISLEX_C07_SAFETY,39232,Undirected,0.0122321641814
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,31919,Undirected,0.00995204038809
CRISISLEX_CRISISLEXREC,KILL,31394,Undirected,0.00978835038515
USPEC_POLITICS_GENERAL1,TAX_WORLDLANGUAGES_RUSSIAN,33776,Undirected,0.0105310353128
USPEC_POLITICS_GENERAL1,USPEC_POLICY1,36295,Undirected,0.0113164355364
USPEC_POLITICS_GENERAL1,TAX_FNCACT_PRESIDENT,35703,Undirected,0.0111318555712
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,31475,Undirected,0.00981360541418
TAX_WORLDLANGUAGES_RUSSIAN,TAX_ETHNICITY_RUSSIAN,56087,Undirected,0.0174873927519
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_1014_CRIMINAL_JUSTICE,30989,Undirected,0.00966207524003
