Source,Target,count,Type,Weight
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"362952
",Undirected,0.000482239168827
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"814321
",Undirected,0.00108195431406
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"964428
",Undirected,0.00128139521786
WB_1014_CRIMINAL_JUSTICE,EPU_POLICY_LAW,"548343
",Undirected,0.000728560450286
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"597130
",Undirected,0.000793381700285
LEADER,USPEC_POLICY1,"956751
",Undirected,0.00127119510848
CRISISLEX_C07_SAFETY,WB_135_TRANSPORT,"648944
",Undirected,0.000862224798804
LEADER,WB_1014_CRIMINAL_JUSTICE,"10133471
",Undirected,0.0134639198362
CRISISLEX_C07_SAFETY,WB_831_GOVERNANCE,"746330
",Undirected,0.00099161751105
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"362836
",Undirected,0.00048208504447
TAX_WORLDLANGUAGES_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"560910
",Undirected,0.000745257698502
GENERAL_GOVERNMENT,KILL,"537034
",Undirected,0.000713534654147
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,"579413
",Undirected,0.000769841862085
WB_831_GOVERNANCE,WB_840_JUSTICE,"628977
",Undirected,0.000835695479544
WB_1014_CRIMINAL_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"309898
",Undirected,0.000411748534079
WB_1014_CRIMINAL_JUSTICE,WB_832_ANTI_CORRUPTION,"610833
",Undirected,0.000811588304272
LEADER,MANMADE_DISASTER_IMPLIED,"502161
",Undirected,0.000667200355026
CRISISLEX_CRISISLEXREC,LEGISLATION,"671009
",Undirected,0.00089154164307
MEDIA_MSM,TERROR,"8885802
",Undirected,0.0118061941272
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"807224
",Undirected,0.00107252482647
ARMEDCONFLICT,LEADER,"593890
",Undirected,0.000789076847558
ARMEDCONFLICT,WB_832_ANTI_CORRUPTION,"5948186
",Undirected,0.00790310639608
WB_135_TRANSPORT,CRISISLEX_CRISISLEXREC,"780389
",Undirected,0.00103687028236
