a_name,b_name,count
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,1718975
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,1492709
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,1364875
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1251795
CRISISLEX_C07_SAFETY,TAX_FNCACT_POLICE,1213994
SECURITY_SERVICES,TAX_FNCACT_POLICE,1212536
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,1140985
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,1140985
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,1049187
CRISISLEX_CRISISLEXREC,SECURITY_SERVICES,1044874
CRISISLEX_C07_SAFETY,MANMADE_DISASTER_IMPLIED,1036058
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,1010626
WB_1014_CRIMINAL_JUSTICE,WB_696_PUBLIC_SECTOR_MANAGEMENT,1010626
CRISISLEX_C07_SAFETY,WB_1014_CRIMINAL_JUSTICE,1010626
CRISISLEX_C07_SAFETY,MEDIA_MSM,995883
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,973062
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,966957
CRISISLEX_C07_SAFETY,KILL,940995
CRISISLEX_C07_SAFETY,LEGISLATION,919398
CRISISLEX_C07_SAFETY,LEADER,889722
CRISISLEX_C07_SAFETY,WB_2433_CONFLICT_AND_VIOLENCE,855247
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,855245
ARREST,CRISISLEX_C07_SAFETY,850115
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,846723
CRISISLEX_C07_SAFETY,TRIAL,842860
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,829779
CRISISLEX_CRISISLEXREC,TAX_FNCACT_POLICE,826521
SECURITY_SERVICES,WB_696_PUBLIC_SECTOR_MANAGEMENT,824046
