a_name,b_name,count
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,1718975
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,1477945
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,1460413
CRISISLEX_CRISISLEXREC,KILL,1395218
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1317508
CRISISLEX_CRISISLEXREC,MEDIA_MSM,1264559
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,1262585
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,1222706
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,1175862
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,1175862
CRISISLEX_CRISISLEXREC,SECURITY_SERVICES,1155847
CRISISLEX_CRISISLEXREC,LEADER,1119028
CRISISLEX_CRISISLEXREC,LEGISLATION,1094894
CRISISLEX_CRISISLEXREC,CRISISLEX_T03_DEAD,1084751
CRISISLEX_T03_DEAD,KILL,1047667
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,1044874
WB_1014_CRIMINAL_JUSTICE,WB_696_PUBLIC_SECTOR_MANAGEMENT,1015943
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,1015943
CRISISLEX_CRISISLEXREC,WB_1014_CRIMINAL_JUSTICE,1015943
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,975284
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,966957
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,964428
CRISISLEX_CRISISLEXREC,CRISISLEX_T02_INJURED,950022
CRISISLEX_CRISISLEXREC,TAX_ETHNICITY_RUSSIAN,948405
CRISISLEX_CRISISLEXREC,TAX_WORLDLANGUAGES_RUSSIAN,948384
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,948064
CRISISLEX_CRISISLEXREC,WB_2433_CONFLICT_AND_VIOLENCE,937894
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,937892
CRISISLEX_CRISISLEXREC,TAX_WORLDLANGUAGES_RUSSIA,935258
LEADER,USPEC_POLITICS_GENERAL1,870655
CRISISLEX_CRISISLEXREC,EPU_ECONOMY_HISTORIC,865075
KILL,MANMADE_DISASTER_IMPLIED,855430
CRISISLEX_C03_WELLBEING_HEALTH,CRISISLEX_CRISISLEXREC,850136
CRISISLEX_CRISISLEXREC,EPU_POLICY_LAW,847191
EPU_POLICY_LAW,LEGISLATION,846843
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,846723
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,829779
CRISISLEX_CRISISLEXREC,TAX_FNCACT_POLICE,827074
CRISISLEX_C07_SAFETY,TAX_FNCACT_POLICE,826521
SECURITY_SERVICES,TAX_FNCACT_POLICE,826318
CRISISLEX_CRISISLEXREC,GENERAL_HEALTH,810942
CRISISLEX_CRISISLEXREC,UNGP_FORESTS_RIVERS_OCEANS,807755
CRISISLEX_C07_SAFETY,MANMADE_DISASTER_IMPLIED,807735
CRISISLEX_CRISISLEXREC,TERROR,785484
CRISISLEX_CRISISLEXREC,MEDICAL,780759
CRISISLEX_CRISISLEXREC,WB_135_TRANSPORT,780389
CRISISLEX_C07_SAFETY,WB_1014_CRIMINAL_JUSTICE,774107
CRISISLEX_C07_SAFETY,KILL,768479
SECURITY_SERVICES,WB_696_PUBLIC_SECTOR_MANAGEMENT,767724
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,757168
LEADER,TAX_FNCACT_PRESIDENT,757064
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,756107
CRISISLEX_CRISISLEXREC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,749354
LEGISLATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,743631
CRISISLEX_CRISISLEXREC,TAX_FNCACT_AUTHORITIES,738846
GENERAL_HEALTH,MEDICAL,733897
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,725197
SECURITY_SERVICES,WB_840_JUSTICE,718224
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,714957
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,714957
ARMEDCONFLICT,TERROR,707613
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,702650
ARMEDCONFLICT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,701229
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,699264
CRISISLEX_CRISISLEXREC,WB_831_GOVERNANCE,699264
ARREST,CRISISLEX_CRISISLEXREC,693701
SECURITY_SERVICES,WB_1014_CRIMINAL_JUSTICE,690567
CRISISLEX_CRISISLEXREC,TRIAL,689686
CRISISLEX_T03_DEAD,MANMADE_DISASTER_IMPLIED,679402
CRISISLEX_C07_SAFETY,MEDIA_MSM,676074
WB_831_GOVERNANCE,WB_832_ANTI_CORRUPTION,675507
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_832_ANTI_CORRUPTION,675507
CRISISLEX_CRISISLEXREC,WB_832_ANTI_CORRUPTION,675507
CRISISLEX_T02_INJURED,KILL,672136
CRISISLEX_C07_SAFETY,LEGISLATION,671009
AFFECT,CRISISLEX_CRISISLEXREC,670932
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,661409
CRISISLEX_CRISISLEXREC,EPU_POLICY_AUTHORITIES,642751
EPU_POLICY_AUTHORITIES,TAX_FNCACT_AUTHORITIES,642590
KILL,WB_696_PUBLIC_SECTOR_MANAGEMENT,641015
LEGISLATION,WB_840_JUSTICE,639736
MANMADE_DISASTER_IMPLIED,WB_696_PUBLIC_SECTOR_MANAGEMENT,636325
CRISISLEX_T02_INJURED,CRISISLEX_T03_DEAD,635691
CRISISLEX_CRISISLEXREC,WB_694_BROADCAST_AND_MEDIA,632844
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,632844
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,632844
CRISISLEX_CRISISLEXREC,SOC_GENERALCRIME,627037
CRISISLEX_CRISISLEXREC,WB_621_HEALTH_NUTRITION_AND_POPULATION,625598
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,622036
CRISISLEX_CRISISLEXREC,CRISISLEX_T01_CAUTION_ADVICE,619554
LEGISLATION,SECURITY_SERVICES,616908
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,612065
ARMEDCONFLICT,KILL,611625
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,609718
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,606896
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_832_ANTI_CORRUPTION,605885
CRISISLEX_CRISISLEXREC,WB_2024_ANTI_CORRUPTION_AUTHORITIES,605885
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_831_GOVERNANCE,605885
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,605885
MANMADE_DISASTER_IMPLIED,MEDIA_MSM,605516
