a_name,b_name,count
CRISISLEX_CRISISLEXREC,CYBER_ATTACK,56915
CRISISLEX_C07_SAFETY,CYBER_ATTACK,55496
CYBER_ATTACK,MEDIA_MSM,45444
CYBER_ATTACK,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,42815
CYBER_ATTACK,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,41535
CYBER_ATTACK,USPEC_POLITICS_GENERAL1,40421
CYBER_ATTACK,WB_678_DIGITAL_GOVERNMENT,39971
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,39971
CYBER_ATTACK,WB_696_PUBLIC_SECTOR_MANAGEMENT,39467
CYBER_ATTACK,TAX_WORLDLANGUAGES_RUSSIAN,37177
CYBER_ATTACK,TAX_ETHNICITY_RUSSIAN,37174
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,37164
ARMEDCONFLICT,CYBER_ATTACK,36642
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,35771
CYBER_ATTACK,TAX_FNCACT_HACKERS,35390
CYBER_ATTACK,LEADER,32458
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,31372
CYBER_ATTACK,WB_2433_CONFLICT_AND_VIOLENCE,31372
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,30910
CYBER_ATTACK,WB_840_JUSTICE,30910
CYBER_ATTACK,KILL,30148
CYBER_ATTACK,TAX_FNCACT_HACKER,29725
CYBER_ATTACK,LEGISLATION,29549
CYBER_ATTACK,GENERAL_GOVERNMENT,28814
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,28452
LEADER,USPEC_POLITICS_GENERAL1,27965
CYBER_ATTACK,TAX_WORLDLANGUAGES_RUSSIA,27939
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,27923
CYBER_ATTACK,TERROR,27801
CYBER_ATTACK,USPEC_POLICY1,27466
CRISISLEX_CRISISLEXREC,MEDIA_MSM,27161
CYBER_ATTACK,WB_1014_CRIMINAL_JUSTICE,26313
WB_1014_CRIMINAL_JUSTICE,WB_696_PUBLIC_SECTOR_MANAGEMENT,26313
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,26313
CYBER_ATTACK,UNGP_FORESTS_RIVERS_OCEANS,26311
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,26030
ARMEDCONFLICT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,25918
CYBER_ATTACK,SECURITY_SERVICES,25912
CYBER_ATTACK,MANMADE_DISASTER_IMPLIED,25881
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,25740
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,25637
CYBER_ATTACK,EPU_ECONOMY_HISTORIC,25633
ARMEDCONFLICT,TERROR,25409
CRISISLEX_C07_SAFETY,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,25117
CRISISLEX_CRISISLEXREC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,25001
CRISISLEX_C07_SAFETY,MEDIA_MSM,24679
CYBER_ATTACK,TAX_FNCACT_PRESIDENT,24516
LEADER,TAX_FNCACT_PRESIDENT,24514
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,24506
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,24492
CRISISLEX_C07_SAFETY,WB_678_DIGITAL_GOVERNMENT,24316
CRISISLEX_CRISISLEXREC,TAX_WORLDLANGUAGES_RUSSIAN,24212
CRISISLEX_CRISISLEXREC,TAX_ETHNICITY_RUSSIAN,24208
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,24112
CYBER_ATTACK,EPU_CATS_NATIONAL_SECURITY,23691
CYBER_ATTACK,EPU_POLICY_LAW,23588
EPU_POLICY_LAW,LEGISLATION,23583
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,23463
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,23215
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,23095
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,23003
CYBER_ATTACK,WB_831_GOVERNANCE,23003
CYBER_ATTACK,TAX_FNCACT_REPRESENTATIVES,22738
ARMEDCONFLICT,WB_2433_CONFLICT_AND_VIOLENCE,22344
CYBER_ATTACK,WB_832_ANTI_CORRUPTION,22281
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_832_ANTI_CORRUPTION,22281
WB_831_GOVERNANCE,WB_832_ANTI_CORRUPTION,22281
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,22145
CRISISLEX_CRISISLEXREC,TAX_FNCACT_HACKERS,22139
MEDIA_MSM,USPEC_POLITICS_GENERAL1,21812
CYBER_ATTACK,WB_694_BROADCAST_AND_MEDIA,21800
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,21800
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,21800
TERROR,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,21318
CRISISLEX_C07_SAFETY,TAX_WORLDLANGUAGES_RUSSIAN,21280
CRISISLEX_C07_SAFETY,TAX_ETHNICITY_RUSSIAN,21275
MEDIA_MSM,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,21266
CRISISLEX_CRISISLEXREC,LEADER,21129
TAX_WORLDLANGUAGES_RUSSIAN,USPEC_POLITICS_GENERAL1,21067
TAX_ETHNICITY_RUSSIAN,USPEC_POLITICS_GENERAL1,21064
USPEC_POLITICS_GENERAL1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,20968
CRISISLEX_C07_SAFETY,WB_1014_CRIMINAL_JUSTICE,20843
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,20668
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,20420
CRISISLEX_CRISISLEXREC,WB_1014_CRIMINAL_JUSTICE,20256
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,20234
CRISISLEX_CRISISLEXREC,SECURITY_SERVICES,20139
EPU_CATS_NATIONAL_SECURITY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,19840
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,19829
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,19788
KILL,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,19506
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,19464
CRISISLEX_C07_SAFETY,TAX_FNCACT_HACKERS,19326
ARMEDCONFLICT,EPU_CATS_NATIONAL_SECURITY,19313
TERROR,WB_2433_CONFLICT_AND_VIOLENCE,19262
MEDIA_MSM,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,19258
TAX_WORLDLANGUAGES_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,19236
TAX_ETHNICITY_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,19230
MEDIA_MSM,TAX_WORLDLANGUAGES_RUSSIAN,19082
MEDIA_MSM,TAX_ETHNICITY_RUSSIAN,19078
UNGP_FORESTS_RIVERS_OCEANS,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,21705927
LEGISLATION,UNGP_FORESTS_RIVERS_OCEANS,9889617
UNGP_FORESTS_RIVERS_OCEANS,WB_840_JUSTICE,16081985
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,2028519
CRISISLEX_C07_SAFETY,UNGP_FORESTS_RIVERS_OCEANS,15968207
ARMEDCONFLICT,UNGP_FORESTS_RIVERS_OCEANS,9911609
EPU_ECONOMY_HISTORIC,UNGP_FORESTS_RIVERS_OCEANS,20640874
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,2028360
CRISISLEX_CRISISLEXREC,UNGP_FORESTS_RIVERS_OCEANS,24889187
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,8350591
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLITICS_GENERAL1,30035281
CYBER_ATTACK,UNGP_FORESTS_RIVERS_OCEANS,195863
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLITICS_GENERAL1,16300901
UNGP_FORESTS_RIVERS_OCEANS,WB_831_GOVERNANCE,10405128
MEDIA_MSM,UNGP_FORESTS_RIVERS_OCEANS,14887390
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLITICS_GENERAL1,2611108
UNGP_FORESTS_RIVERS_OCEANS,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,6648883
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLITICS_GENERAL1,21819586
GENERAL_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,18583062
UNGP_FORESTS_RIVERS_OCEANS,WB_2433_CONFLICT_AND_VIOLENCE,15186159
UNGP_FORESTS_RIVERS_OCEANS,WB_678_DIGITAL_GOVERNMENT,18160872
UNGP_FORESTS_RIVERS_OCEANS,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,6477968
UNGP_FORESTS_RIVERS_OCEANS,WB_1014_CRIMINAL_JUSTICE,9261680
CYBER_ATTACK,TAX_FNCACT_HACKERS,156720
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,19297214
EPU_POLICY_LAW,LEGISLATION,8204787
UNGP_FORESTS_RIVERS_OCEANS,WB_696_PUBLIC_SECTOR_MANAGEMENT,26681715
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLICY1,28067354
UNGP_FORESTS_RIVERS_OCEANS,WB_832_ANTI_CORRUPTION,9100895
UNGP_FORESTS_RIVERS_OCEANS,WB_694_BROADCAST_AND_MEDIA,14782061
KILL,UNGP_FORESTS_RIVERS_OCEANS,11216580
MANMADE_DISASTER_IMPLIED,UNGP_FORESTS_RIVERS_OCEANS,15655663
TAX_FNCACT_REPRESENTATIVES,UNGP_FORESTS_RIVERS_OCEANS,2549297
LEGISLATION,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,10453642
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,21478233
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,3158477
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,24889504
ARMEDCONFLICT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,18975743
EPU_ECONOMY_HISTORIC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,11015710
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,3158227
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,28548379
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,15096026
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,21147797
CYBER_ATTACK,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,202640
LEADER,USPEC_POLITICS_GENERAL1,13563393
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_831_GOVERNANCE,11080603
MEDIA_MSM,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,14076939
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,3969135
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,14629378
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,19636102
GENERAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,19266891
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,37412469
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,15264454
EPU_CATS_NATIONAL_SECURITY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,12033807
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,12306762
CRISISLEX_C07_SAFETY,TAX_FNCACT_HACKERS,144528
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,15264445
EPU_POLICY_LAW,LEGISLATION,7952303
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,28935763
USPEC_POLICY1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,14810496
