Source,Target,count,Type,Weight
ARMEDCONFLICT,WB_678_DIGITAL_GOVERNMENT,"431009
",Undirected,0.000817134468941
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,"714957
",Undirected,0.00135546127462
CRISISLEX_CRISISLEXREC,TAX_ETHNICITY_RUSSIAN,"362474
",Undirected,0.000687201426177
TAX_WORLDLANGUAGES_RUSSIAN,TAX_FNCACT_PRESIDENT,"604954
",Undirected,0.00114691054137
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,"395467
",Undirected,0.000749751668825
TAX_FNCACT_PRESIDENT,MEDIA_MSM,"679471
",Undirected,0.00128818464289
WB_678_DIGITAL_GOVERNMENT,LEGISLATION,"562642
",Undirected,0.00106669274162
UNGP_FORESTS_RIVERS_OCEANS,WB_840_JUSTICE,"16081985
",Undirected,0.0304892572371
CRISISLEX_C07_SAFETY,KILL,"768479
",Undirected,0.00145693171038
WB_2433_CONFLICT_AND_VIOLENCE,KILL,"558907
",Undirected,0.00105961168939
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,USPEC_POLICY1,"575115
",Undirected,0.00109033985394
TAX_WORLDLANGUAGES_UKRAINIAN,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"488948
",Undirected,0.000926978936217
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"422722
",Undirected,0.000801423443547
TAX_WORLDLANGUAGES_UKRAINIAN,USPEC_POLITICS_GENERAL1,"541561
",Undirected,0.00102672603155
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"351386
",Undirected,0.000666180085574
TAX_WORLDLANGUAGES_RUSSIAN,USPEC_POLICY1,"786887
",Undirected,0.00149183077583
TAX_WORLDLANGUAGES_RUSSIAN,ARMEDCONFLICT,"3919882
",Undirected,0.00743156336963
WB_694_BROADCAST_AND_MEDIA,MANMADE_DISASTER_IMPLIED,"401556
",Undirected,0.000761295585034
ARMEDCONFLICT,EPU_ECONOMY_HISTORIC,"10883531
",Undirected,0.0206336951755
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"814321
",Undirected,0.00154384191022
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"387237
",Undirected,0.000734148707682
ARMEDCONFLICT,USPEC_POLITICS_GENERAL1,"366334
",Undirected,0.000694519461415
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"443502
",Undirected,0.000840819498536
LEGISLATION,USPEC_POLICY1,"801747
",Undirected,0.00152000331564
WB_840_JUSTICE,ARMEDCONFLICT,"569686
",Undirected,0.001080047208
GENERAL_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,"539943
",Undirected,0.00102365852352
WB_840_JUSTICE,CRISISLEX_CRISISLEXREC,"622036
",Undirected,0.00117929569109
TAX_WORLDLANGUAGES_RUSSIAN,WB_696_PUBLIC_SECTOR_MANAGEMENT,"643516
",Undirected,0.00122001885092
MEDIA_MSM,TERROR,"8885802
",Undirected,0.0168462725799
CRISISLEX_CRISISLEXREC,TERROR,"785484
",Undirected,0.00148917087857
EPU_POLICY_LAW,LEGISLATION,"437554
",Undirected,0.000829542899158
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,LEGISLATION,"829324
",Undirected,0.00157228555858
USPEC_POLICY1,WB_696_PUBLIC_SECTOR_MANAGEMENT,"362836
",Undirected,0.000687887728963
USPEC_POLITICS_GENERAL1,MANMADE_DISASTER_IMPLIED,"732332
",Undirected,0.00138840191251
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"807224
",Undirected,0.00153038696305
TAX_WORLDLANGUAGES_RUSSIA,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"422626
",Undirected,0.000801241440598
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"597130
",Undirected,0.00113207730103
GENERAL_GOVERNMENT,TAX_FNCACT_PRESIDENT,"672841
",Undirected,0.00127561506423
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,"1078947
",Undirected,0.00204553683069
LEADER,USPEC_POLICY1,"506300
",Undirected,0.000959875969237
EPU_POLICY_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"388983
",Undirected,0.000737458886316
SECURITY_SERVICES,MANMADE_DISASTER_IMPLIED,"636572
",Undirected,0.00120685397094
CRISISLEX_C07_SAFETY,TAX_FNCACT_PRESIDENT,"607942
",Undirected,0.00115257538315
CRISISLEX_C07_SAFETY,WB_135_TRANSPORT,"648944
",Undirected,0.00123030960099
USPEC_POLITICS_GENERAL1,WB_135_TRANSPORT,"494256
",Undirected,0.000937042182602
SECURITY_SERVICES,TERROR,"8063258
",Undirected,0.0152868409796
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"719316
",Undirected,0.00136372534602
SECURITY_SERVICES,USPEC_POLITICS_GENERAL1,"513443
",Undirected,0.000973418126156
TAX_ECON_PRICE,USPEC_POLICY1,"621311
",Undirected,0.00117792118966
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,TAX_FNCACT_PRESIDENT,"639187
",Undirected,0.00121181165544
GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,"576069
",Undirected,0.00109214850824
GENERAL_GOVERNMENT,KILL,"537034
",Undirected,0.00101814345499
EPU_POLICY_GOVERNMENT,MEDIA_MSM,"405894
",Undirected,0.00076951984329
WB_678_DIGITAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"514813
",Undirected,0.000976015459907
USPEC_POLICY1,WB_694_BROADCAST_AND_MEDIA,"403006
",Undirected,0.000764044587909
LEGISLATION,TERROR,"5074032
",Undirected,0.00961967486459
CRISISLEX_C07_SAFETY,TERROR,"633877
",Undirected,0.00120174461733
WB_135_TRANSPORT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"319038
",Undirected,0.000604852675239
WB_840_JUSTICE,CRISISLEX_C07_SAFETY,"631301
",Undirected,0.00119686087153
ARMEDCONFLICT,WB_2433_CONFLICT_AND_VIOLENCE,"818862
",Undirected,0.00155245102888
ARMEDCONFLICT,SECURITY_SERVICES,"576533
",Undirected,0.00109302818916
GENERAL_GOVERNMENT,TAX_ETHNICITY_UKRAINIAN,"413494
",Undirected,0.00078392841008
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,"393876
",Undirected,0.00074673534912
ARMEDCONFLICT,TAX_FNCACT_PRESIDENT,"530601
",Undirected,0.00100594736155
LEADER,TAX_ETHNICITY_RUSSIAN,"366034
",Undirected,0.0006939507022
SECURITY_SERVICES,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"336781
",Undirected,0.000638490991103
GENERAL_GOVERNMENT,SECURITY_SERVICES,"373369
",Undirected,0.000707856865017
EPU_POLICY_LAW,USPEC_POLICY1,"489285
",Undirected,0.000927617842402
WB_2433_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,"652600
",Undirected,0.00123724087996
LEGISLATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,"368083
",Undirected,0.000697835327641
EPU_ECONOMY_HISTORIC,TAX_FNCACT_PRESIDENT,"502677
",Undirected,0.000953007253779
LEADER,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"518355
",Undirected,0.000982730610377
SECURITY_SERVICES,WB_694_BROADCAST_AND_MEDIA,"8757615
",Undirected,0.0166032474547
GENERAL_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"462502
",Undirected,0.000876840915513
CRISISLEX_CRISISLEXREC,LEGISLATION,"352231
",Undirected,0.000667782090698
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,"371163
",Undirected,0.000703674588919
MEDIA_MSM,USPEC_POLITICS_GENERAL1,"469296
",Undirected,0.000889721415878
TAX_WORLDLANGUAGES_RUSSIAN,WB_2433_CONFLICT_AND_VIOLENCE,"527243
",Undirected,0.000999581050066
WB_840_JUSTICE,TAX_ETHNICITY_RUSSIAN,"1450243
",Undirected,0.00274946356953
TAX_WORLDLANGUAGES_RUSSIAN,LEGISLATION,"1856092
",Undirected,0.00351889809894
GENERAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,"393876
",Undirected,0.00074673534912
ARMEDCONFLICT,LEADER,"593890
",Undirected,0.0011259347015
EPU_ECONOMY_HISTORIC,TERROR,"5805821
",Undirected,0.0110070473229
WB_2433_CONFLICT_AND_VIOLENCE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"343834
",Undirected,0.000651862520258
WB_696_PUBLIC_SECTOR_MANAGEMENT,KILL,"780464
",Undirected,0.00147965364103
WB_2433_CONFLICT_AND_VIOLENCE,MANMADE_DISASTER_IMPLIED,"556659
",Undirected,0.001055349787
CRISISLEX_C07_SAFETY,MANMADE_DISASTER_IMPLIED,"807735
",Undirected,0.00153135574958
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,"435922
",Undirected,0.000826448849026
CRISISLEX_C07_SAFETY,EPU_POLICY_LAW,"719444
",Undirected,0.00136396801661
CRISISLEX_C07_SAFETY,EPU_POLICY_GOVERNMENT,"392397
",Undirected,0.000743931366187
KILL,MANMADE_DISASTER_IMPLIED,"855430
",Undirected,0.00162177898551
WB_678_DIGITAL_GOVERNMENT,KILL,"402757
",Undirected,0.00076357251776
USPEC_POLITICS_GENERAL1,WB_694_BROADCAST_AND_MEDIA,"521325
",Undirected,0.00098836132661
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,"500930
",Undirected,0.000949695179281
GENERAL_GOVERNMENT,TAX_WORLDLANGUAGES_UKRAINIAN,"413497
",Undirected,0.000783934097673
TAX_WORLDLANGUAGES_RUSSIA,WB_694_BROADCAST_AND_MEDIA,"377280
",Undirected,0.000715271589322
TAX_FNCACT_MINISTER,USPEC_POLITICS_GENERAL1,"558929
",Undirected,0.0010596533984
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,TAX_ETHNICITY_RUSSIAN,"747949
",Undirected,0.0014180096214
TAX_ETHNICITY_RUSSIAN,MEDIA_MSM,"310115
",Undirected,0.000587935880308
TAX_ETHNICITY_RUSSIAN,WB_694_BROADCAST_AND_MEDIA,"421368
",Undirected,0.000798856443621
GENERAL_GOVERNMENT,TAX_ECON_PRICE,"395124
",Undirected,0.000749101387456
TAX_WORLDLANGUAGES_RUSSIAN,WB_694_BROADCAST_AND_MEDIA,"421381
",Undirected,0.000798881089854
UNGP_FORESTS_RIVERS_OCEANS,CRISISLEX_C07_SAFETY,"624840
",Undirected,0.00118461169389
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,"488347
",Undirected,0.000925839521922
ARMEDCONFLICT,USPEC_POLICY1,"522867
",Undirected,0.000991284748977
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,TAX_ETHNICITY_UKRAINIAN,"488931
",Undirected,0.000926946706528
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,"435269
",Undirected,0.0008252108498
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLICY1,"627705
",Undirected,0.0011900433444
MEDIA_MSM,WB_694_BROADCAST_AND_MEDIA,"727832
",Undirected,0.00137987052428
EPU_ECONOMY_HISTORIC,WB_694_BROADCAST_AND_MEDIA,"343414
",Undirected,0.000651066257356
USPEC_POLITICS_GENERAL1,TAX_ETHNICITY_UKRAINIAN,"541559
",Undirected,0.00102672223983
CRISISLEX_CRISISLEXREC,EPU_POLICY_GOVERNMENT,"516302
",Undirected,0.000978838401479
CRISISLEX_C07_SAFETY,TAX_WORLDLANGUAGES_RUSSIA,"747756
",Undirected,0.00141764371964
LEADER,TAX_FNCACT_PRESIDENT,"672794
",Undirected,0.00127552595862
USPEC_POLITICS_GENERAL1,EPU_POLICY_LAW,"578371
",Undirected,0.00109651278729
TAX_ETHNICITY_RUSSIAN,TAX_FNCACT_PRESIDENT,"604974
",Undirected,0.00114694845865
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"426095
",Undirected,0.000807818192992
CRISISLEX_C07_SAFETY,WB_694_BROADCAST_AND_MEDIA,"515076
",Undirected,0.000976514072152
WB_840_JUSTICE,MANMADE_DISASTER_IMPLIED,"618836
",Undirected,0.00117322892613
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,MANMADE_DISASTER_IMPLIED,"743997
",Undirected,0.00141051716667
USPEC_POLITICS_GENERAL1,WB_2433_CONFLICT_AND_VIOLENCE,"682254
",Undirected,0.00129346083254
WB_678_DIGITAL_GOVERNMENT,EPU_POLICY_LAW,"348740
",Undirected,0.000661163629294
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,"395711
",Undirected,0.000750214259654
EPU_POLICY_LAW,KILL,"7009835
",Undirected,0.0132896941829
TAX_ETHNICITY_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"560893
",Undirected,0.0010633768754
EPU_ECONOMY,GENERAL_GOVERNMENT,"437942
",Undirected,0.00083027849441
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,"438756
",Undirected,0.000831821727748
TAX_WORLDLANGUAGES_RUSSIAN,WB_678_DIGITAL_GOVERNMENT,"560910
",Undirected,0.00106340910509
EPU_ECONOMY_HISTORIC,MANMADE_DISASTER_IMPLIED,"16330266
",Undirected,0.0309599642596
CRISISLEX_C07_SAFETY,WB_678_DIGITAL_GOVERNMENT,"590623
",Undirected,0.00111974091365
UNGP_FORESTS_RIVERS_OCEANS,EPU_ECONOMY_HISTORIC,"399136
",Undirected,0.00075670759403
GENERAL_GOVERNMENT,WB_840_JUSTICE,"500930
",Undirected,0.000949695179281
CRISISLEX_CRISISLEXREC,TAX_WORLDLANGUAGES_RUSSIAN,"362483
",Undirected,0.000687218488953
ARMEDCONFLICT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"431009
",Undirected,0.000817134468941
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,TAX_WORLDLANGUAGES_RUSSIA,"637470
",Undirected,0.00120855645686
CRISISLEX_C07_SAFETY,LEGISLATION,"631794
",Undirected,0.00119779553251
WB_694_BROADCAST_AND_MEDIA,KILL,"360352
",Undirected,0.000683178402659
EPU_ECONOMY,LEADER,"361885
",Undirected,0.00068608476225
CRISISLEX_CRISISLEXREC,KILL,"405692
",Undirected,0.000769136878751
TAX_ETHNICITY_UKRAINIAN,TAX_WORLDLANGUAGES_UKRAINIAN,"413401
",Undirected,0.000783752094724
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLITICS_GENERAL1,"668588
",Undirected,0.00126755195441
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,"671459
",Undirected,0.00127299498011
MEDIA_MSM,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"356162
",Undirected,0.000675234732284
WB_840_JUSTICE,WB_694_BROADCAST_AND_MEDIA,"347228
",Undirected,0.000658297082849
ARMEDCONFLICT,TERROR,"352920
",Undirected,0.000669088341029
WB_2433_CONFLICT_AND_VIOLENCE,USPEC_POLICY1,"496875
",Undirected,0.000942007450552
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"357089
",Undirected,0.00067699219826
TAX_WORLDLANGUAGES_RUSSIAN,MEDIA_MSM,"310125
",Undirected,0.000587954838949
LEADER,WB_694_BROADCAST_AND_MEDIA,"467522
",Undirected,0.000886358153051
UNGP_FORESTS_RIVERS_OCEANS,MEDIA_MSM,"14887390
",Undirected,0.0282244675206
ARMEDCONFLICT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"393657
",Undirected,0.000746320154892
SECURITY_SERVICES,WB_2433_CONFLICT_AND_VIOLENCE,"541672
",Undirected,0.00102693647246
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,"937729
",Undirected,0.00177780670108
WB_840_JUSTICE,LEGISLATION,"770281
",Undirected,0.0014603480574
CRISISLEX_CRISISLEXREC,WB_135_TRANSPORT,"780389
",Undirected,0.00147951145123
SECURITY_SERVICES,KILL,"572183
",Undirected,0.00108478118054
CRISISLEX_C07_SAFETY,WB_2433_CONFLICT_AND_VIOLENCE,"855245
",Undirected,0.00162142825066
GENERAL_GOVERNMENT,USPEC_POLICY1,"880446
",Undirected,0.00166920592062
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,"521832
",Undirected,0.000989322529684
WB_2433_CONFLICT_AND_VIOLENCE,TERROR,"547477
",Undirected,0.00103794196328
EPU_ECONOMY,USPEC_POLICY1,"771031
",Undirected,0.00146176995544
WB_678_DIGITAL_GOVERNMENT,USPEC_POLICY1,"549735
",Undirected,0.00104222282431
TAX_ETHNICITY_RUSSIAN,WB_696_PUBLIC_SECTOR_MANAGEMENT,"643502
",Undirected,0.00121999230882
TAX_FNCACT_MINISTER,USPEC_POLICY1,"523769
",Undirected,0.000992994818351
WB_840_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"388954
",Undirected,0.000737403906258
LEADER,KILL,"480918
",Undirected,0.000911755147884
ARMEDCONFLICT,TAX_ETHNICITY_RUSSIAN,"3919321
",Undirected,0.0074304997899
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,SECURITY_SERVICES,"736379
",Undirected,0.00139607447433
TAX_WORLDLANGUAGES_RUSSIA,LEGISLATION,"1863426
",Undirected,0.00353280236589
TAX_FNCACT_PRESIDENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"357089
",Undirected,0.00067699219826
GENERAL_GOVERNMENT,TAX_FNCACT_MINISTER,"575384
",Undirected,0.00109084984137
MEDIA_MSM,WB_2433_CONFLICT_AND_VIOLENCE,"623068
",Undirected,0.00118125222279
USPEC_POLICY1,USPEC_POLITICS_GENERAL1,"542750
",Undirected,0.00102898021391
LEGISLATION,USPEC_POLITICS_GENERAL1,"383356
",Undirected,0.000726790859299
MEDIA_MSM,USPEC_POLICY1,"352287
",Undirected,0.000667888259085
MEDIA_MSM,KILL,"10945825
",Undirected,0.0207517961307
EPU_ECONOMY_HISTORIC,TAX_ETHNICITY_RUSSIAN,"358640
",Undirected,0.000679932683403
EPU_POLICY_GOVERNMENT,TAX_FNCACT_MINISTER,"375747
",Undirected,0.000712365229731
CRISISLEX_CRISISLEXREC,TAX_WORLDLANGUAGES_RUSSIA,"935258
",Undirected,0.00177312202101
