a_name,b_name,count
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,1078947
EPU_POLICY_GOVERNMENT,GENERAL_GOVERNMENT,1073594
GENERAL_GOVERNMENT,LEADER,1026445
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,975284
GENERAL_GOVERNMENT,USPEC_POLICY1,880446
LEADER,USPEC_POLITICS_GENERAL1,795718
GENERAL_GOVERNMENT,MEDIA_MSM,768046
CRISISLEX_C07_SAFETY,GENERAL_GOVERNMENT,762715
GENERAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,748414
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,719316
EPU_ECONOMY_HISTORIC,GENERAL_GOVERNMENT,688114
GENERAL_GOVERNMENT,TAX_FNCACT_PRESIDENT,672841
LEADER,TAX_FNCACT_PRESIDENT,672794
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,671459
GENERAL_GOVERNMENT,TAX_WORLDLANGUAGES_RUSSIAN,628019
GENERAL_GOVERNMENT,TAX_ETHNICITY_RUSSIAN,628000
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,627735
ARMEDCONFLICT,GENERAL_GOVERNMENT,615484
GENERAL_GOVERNMENT,LEGISLATION,592013
EPU_POLICY_GOVERNMENT,LEADER,584515
GENERAL_GOVERNMENT,MANMADE_DISASTER_IMPLIED,576069
GENERAL_GOVERNMENT,TAX_FNCACT_MINISTER,575384
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,567200
USPEC_POLICY1,USPEC_POLITICS_GENERAL1,542750
EPU_POLICY_GOVERNMENT,USPEC_POLITICS_GENERAL1,542172
GENERAL_GOVERNMENT,UNGP_FORESTS_RIVERS_OCEANS,539943
GENERAL_GOVERNMENT,KILL,537034
CRISISLEX_CRISISLEXREC,LEADER,531657
EPU_POLICY_GOVERNMENT,USPEC_POLICY1,524582
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,521832
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,521832
CRISISLEX_CRISISLEXREC,EPU_POLICY_GOVERNMENT,516302
LEADER,USPEC_POLICY1,506300
GENERAL_GOVERNMENT,TAX_WORLDLANGUAGES_RUSSIA,505729
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,500930
GENERAL_GOVERNMENT,WB_840_JUSTICE,500930
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,500101
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,483035
EPU_ECONOMY_HISTORIC,EPU_POLICY_GOVERNMENT,472367
MEDIA_MSM,USPEC_POLITICS_GENERAL1,469296
GENERAL_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,462502
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,461900
EPU_ECONOMY_HISTORIC,USPEC_POLICY1,457605
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,454856
CRISISLEX_CRISISLEXREC,MEDIA_MSM,454570
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,450816
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,443502
LEADER,MEDIA_MSM,442868
GENERAL_GOVERNMENT,WB_678_DIGITAL_GOVERNMENT,442067
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,442067
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,438756
EPU_POLICY_LAW,GENERAL_GOVERNMENT,438021
EPU_ECONOMY,GENERAL_GOVERNMENT,437942
EPU_ECONOMY,EPU_ECONOMY_HISTORIC,437942
EPU_POLICY_LAW,LEGISLATION,437554
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,435269
LEADER,TAX_FNCACT_MINISTER,434903
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,430250
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,426095
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,422722
GENERAL_GOVERNMENT,TAX_WORLDLANGUAGES_UKRAINIAN,413497
GENERAL_GOVERNMENT,TAX_ETHNICITY_UKRAINIAN,413494
TAX_ETHNICITY_UKRAINIAN,TAX_WORLDLANGUAGES_UKRAINIAN,413401
CRISISLEX_C07_SAFETY,LEADER,411407
EPU_POLICY_GOVERNMENT,MEDIA_MSM,405894
CRISISLEX_CRISISLEXREC,KILL,405692
GENERAL_GOVERNMENT,WB_135_TRANSPORT,403733
LEADER,WB_696_PUBLIC_SECTOR_MANAGEMENT,402307
GENERAL_GOVERNMENT,TERROR,401465
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,395771
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,395711
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,395467
GENERAL_GOVERNMENT,TAX_ECON_PRICE,395124
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,393876
GENERAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,393876
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,393876
ARMEDCONFLICT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,393657
CRISISLEX_C07_SAFETY,EPU_POLICY_GOVERNMENT,392397
EPU_POLICY_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,388983
EPU_ECONOMY_HISTORIC,LEADER,388596
TAX_WORLDLANGUAGES_RUSSIAN,USPEC_POLITICS_GENERAL1,385372
TAX_ETHNICITY_RUSSIAN,USPEC_POLITICS_GENERAL1,385359
LEGISLATION,USPEC_POLITICS_GENERAL1,383356
EPU_POLICY_GOVERNMENT,TAX_FNCACT_MINISTER,375747
EPU_POLICY_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,374891
GENERAL_GOVERNMENT,SECURITY_SERVICES,373369
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,371163
ARMEDCONFLICT,USPEC_POLITICS_GENERAL1,366334
LEADER,TAX_WORLDLANGUAGES_RUSSIAN,366046
LEADER,TAX_ETHNICITY_RUSSIAN,366034
USPEC_POLICY1,WB_696_PUBLIC_SECTOR_MANAGEMENT,362836
CRISISLEX_CRISISLEXREC,TAX_WORLDLANGUAGES_RUSSIAN,362483
CRISISLEX_CRISISLEXREC,TAX_ETHNICITY_RUSSIAN,362474
EPU_POLICY_GOVERNMENT,TAX_FNCACT_PRESIDENT,361120
MEDIA_MSM,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,356162
CRISISLEX_CRISISLEXREC,WB_2433_CONFLICT_AND_VIOLENCE,353533
ARMEDCONFLICT,TERROR,352920
MEDIA_MSM,USPEC_POLICY1,352287
CRISISLEX_CRISISLEXREC,LEGISLATION,352231
CRISISLEX_C07_SAFETY,MEDIA_MSM,351772
