a_name,b_name,count
USPEC_POLICY1,USPEC_POLITICS_GENERAL1,1170522
EPU_ECONOMY_HISTORIC,USPEC_POLICY1,1077647
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,964428
LEADER,USPEC_POLICY1,956751
GENERAL_GOVERNMENT,USPEC_POLICY1,880446
LEGISLATION,USPEC_POLICY1,801747
USPEC_POLICY1,WB_696_PUBLIC_SECTOR_MANAGEMENT,791517
TAX_WORLDLANGUAGES_RUSSIAN,USPEC_POLICY1,786887
TAX_ETHNICITY_RUSSIAN,USPEC_POLICY1,786878
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,786654
EPU_POLICY_POLICY,USPEC_POLICY1,782504
CRISISLEX_C07_SAFETY,USPEC_POLICY1,777766
EPU_ECONOMY,EPU_ECONOMY_HISTORIC,771031
EPU_ECONOMY,USPEC_POLICY1,771031
MEDIA_MSM,USPEC_POLICY1,768703
LEADER,USPEC_POLITICS_GENERAL1,745001
USPEC_POLICY1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,716474
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLICY1,627705
TAX_FNCACT_PRESIDENT,USPEC_POLICY1,625613
LEADER,TAX_FNCACT_PRESIDENT,625541
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,624796
TAX_ECON_PRICE,USPEC_POLICY1,621311
MANMADE_DISASTER_IMPLIED,USPEC_POLICY1,578191
TAX_WORLDLANGUAGES_RUSSIA,USPEC_POLICY1,576598
USPEC_POLICY1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,575115
LEGISLATION,USPEC_POLITICS_GENERAL1,550052
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,549735
USPEC_POLICY1,WB_678_DIGITAL_GOVERNMENT,549735
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,545551
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,542750
EPU_POLICY_GOVERNMENT,USPEC_POLICY1,525123
EPU_POLICY_GOVERNMENT,GENERAL_GOVERNMENT,524582
TAX_FNCACT_MINISTER,USPEC_POLICY1,523769
ARMEDCONFLICT,USPEC_POLICY1,522867
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,514361
USPEC_POLICY1,WB_840_JUSTICE,514222
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,514222
GENERAL_GOVERNMENT,LEADER,506300
KILL,USPEC_POLICY1,504916
USPEC_POLICY1,WB_2433_CONFLICT_AND_VIOLENCE,496875
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,496875
EPU_POLICY_LAW,USPEC_POLICY1,489285
EPU_POLICY_LAW,LEGISLATION,488832
TAX_WORLDLANGUAGES_RUSSIAN,USPEC_POLITICS_GENERAL1,487245
TAX_ETHNICITY_RUSSIAN,USPEC_POLITICS_GENERAL1,487226
EPU_ECONOMY_HISTORIC,LEADER,478196
CRISISLEX_CRISISLEXREC,LEADER,474382
CRISISLEX_CRISISLEXREC,EPU_ECONOMY_HISTORIC,470060
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,466229
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,461732
MEDIA_MSM,USPEC_POLITICS_GENERAL1,458507
EPU_ECONOMY_HISTORIC,GENERAL_GOVERNMENT,457605
EPU_POLICY_BUDGET,USPEC_POLICY1,457604
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,450856
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,446307
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,443502
