a_name,b_name,count
LEADER,USPEC_POLITICS_GENERAL1,1855351
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,1622098
LEADER,TAX_FNCACT_PRESIDENT,1622063
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,1262585
USPEC_POLICY1,USPEC_POLITICS_GENERAL1,1170522
GENERAL_GOVERNMENT,USPEC_POLITICS_GENERAL1,1078947
MEDIA_MSM,USPEC_POLITICS_GENERAL1,1064199
CRISISLEX_C07_SAFETY,USPEC_POLITICS_GENERAL1,1049187
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1000821
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,982300
TAX_WORLDLANGUAGES_RUSSIAN,USPEC_POLITICS_GENERAL1,961639
TAX_ETHNICITY_RUSSIAN,USPEC_POLITICS_GENERAL1,961605
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,961372
LEGISLATION,USPEC_POLITICS_GENERAL1,911651
CRISISLEX_CRISISLEXREC,LEADER,870655
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,818464
ARMEDCONFLICT,USPEC_POLITICS_GENERAL1,802207
GENERAL_GOVERNMENT,LEADER,795718
LEADER,MEDIA_MSM,777572
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,756107
LEADER,USPEC_POLICY1,745001
MANMADE_DISASTER_IMPLIED,USPEC_POLITICS_GENERAL1,732332
TAX_WORLDLANGUAGES_RUSSIA,USPEC_POLITICS_GENERAL1,729592
USPEC_POLITICS_GENERAL1,WB_840_JUSTICE,723332
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,723332
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,722347
KILL,USPEC_POLITICS_GENERAL1,708526
CRISISLEX_C07_SAFETY,LEADER,700593
USPEC_POLITICS_GENERAL1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,693985
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,682254
USPEC_POLITICS_GENERAL1,WB_2433_CONFLICT_AND_VIOLENCE,682254
MEDIA_MSM,TAX_FNCACT_PRESIDENT,679471
GENERAL_GOVERNMENT,TAX_FNCACT_PRESIDENT,671459
LEADER,TAX_WORLDLANGUAGES_RUSSIAN,670721
LEADER,TAX_ETHNICITY_RUSSIAN,670698
UNGP_FORESTS_RIVERS_OCEANS,USPEC_POLITICS_GENERAL1,668588
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,668007
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,668007
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,661409
LEADER,WB_696_PUBLIC_SECTOR_MANAGEMENT,654330
TAX_FNCACT_PRESIDENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,638418
TAX_FNCACT_PRESIDENT,USPEC_POLICY1,624796
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,612065
CRISISLEX_C07_SAFETY,TAX_FNCACT_PRESIDENT,607942
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,606896
TAX_ETHNICITY_RUSSIAN,TAX_FNCACT_PRESIDENT,604974
TAX_FNCACT_PRESIDENT,TAX_WORLDLANGUAGES_RUSSIAN,604954
ARMEDCONFLICT,LEADER,593890
CRISISLEX_CRISISLEXREC,MEDIA_MSM,585727
EPU_ECONOMY_HISTORIC,LEADER,580661
EPU_POLICY_LAW,USPEC_POLITICS_GENERAL1,578371
EPU_POLICY_LAW,LEGISLATION,578009
CRISISLEX_CRISISLEXREC,GENERAL_GOVERNMENT,567200
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,562609
TAX_FNCACT_PRESIDENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,559270
TAX_FNCACT_MINISTER,USPEC_POLITICS_GENERAL1,558929
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,553849
LEGISLATION,USPEC_POLICY1,550052
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,547251
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,545551
GENERAL_GOVERNMENT,USPEC_POLICY1,542750
EPU_POLICY_GOVERNMENT,USPEC_POLITICS_GENERAL1,542407
EPU_POLICY_GOVERNMENT,GENERAL_GOVERNMENT,542172
TAX_WORLDLANGUAGES_UKRAINIAN,USPEC_POLITICS_GENERAL1,541561
