Source,Target,count,Type,Weight
ARMEDCONFLICT,WB_678_DIGITAL_GOVERNMENT,"431009
",Undirected,0.000883004961708
TAX_WORLDLANGUAGES_RUSSIAN,TAX_FNCACT_PRESIDENT,"604954
",Undirected,0.00123936480121
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,"514361
",Undirected,0.00105376758979
TAX_FNCACT_PRESIDENT,MEDIA_MSM,"679471
",Undirected,0.00139202722991
ARMEDCONFLICT,WB_2433_CONFLICT_AND_VIOLENCE,"818862
",Undirected,0.00167759654428
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,"324882
",Undirected,0.000665583358978
KILL,CRISISLEX_C07_SAFETY,"768479
",Undirected,0.00157437726351
WB_2433_CONFLICT_AND_VIOLENCE,CRISISLEX_C07_SAFETY,"855245
",Undirected,0.00175213412823
USPEC_POLITICS_GENERAL1,TAX_WORLDLANGUAGES_RUSSIA,"729592
",Undirected,0.00149470975321
TAX_WORLDLANGUAGES_RUSSIAN,WB_2433_CONFLICT_AND_VIOLENCE,"527243
",Undirected,0.00108015884825
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"379600
",Undirected,0.000777683722299
TAX_WORLDLANGUAGES_RUSSIAN,USPEC_POLICY1,"786887
",Undirected,0.00161208959744
TAX_WORLDLANGUAGES_RUSSIAN,ARMEDCONFLICT,"3919882
",Undirected,0.00803063336337
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"668007
",Undirected,0.0013685410176
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"814321
",Undirected,0.00166829343105
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"387237
",Undirected,0.000793329587913
ARMEDCONFLICT,USPEC_POLITICS_GENERAL1,"366334
",Undirected,0.000750505765871
WB_1014_CRIMINAL_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"320753
",Undirected,0.000657124307109
LEGISLATION,USPEC_POLICY1,"801747
",Undirected,0.00164253316992
WB_840_JUSTICE,ARMEDCONFLICT,"569686
",Undirected,0.00116711150954
EPU_ECONOMY_HISTORIC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"426603
",Undirected,0.000873978421981
CRISISLEX_CRISISLEXREC,EPU_POLICY_LAW,"609718
",Undirected,0.0012491247729
TAX_ETHNICITY_RUSSIAN,CRISISLEX_C07_SAFETY,"698411
",Undirected,0.00143082946832
CRISISLEX_C07_SAFETY,WB_694_BROADCAST_AND_MEDIA,"515076
",Undirected,0.00105523240502
EPU_POLICY_LAW,LEGISLATION,"360468
",Undirected,0.000738488134904
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,LEGISLATION,"829324
",Undirected,0.00169902996658
TAX_WORLDLANGUAGES_RUSSIA,CRISISLEX_C07_SAFETY,"747756
",Undirected,0.00153192220614
WB_1014_CRIMINAL_JUSTICE,WB_694_BROADCAST_AND_MEDIA,"6272287
",Undirected,0.0128499881493
USPEC_POLITICS_GENERAL1,MANMADE_DISASTER_IMPLIED,"732332
",Undirected,0.00150032317102
USPEC_POLITICS_GENERAL1,WB_135_TRANSPORT,"494256
",Undirected,0.00101257862447
WB_1014_CRIMINAL_JUSTICE,EPU_POLICY_LAW,"548343
",Undirected,0.00112338626274
SECURITY_SERVICES,TAX_WORLDLANGUAGES_RUSSIA,"1872534
",Undirected,0.00383624660498
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"597130
",Undirected,0.00122333583008
SECURITY_SERVICES,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"346598
",Undirected,0.000710072768128
EPU_ECONOMY_HISTORIC,WB_696_PUBLIC_SECTOR_MANAGEMENT,"386250
",Undirected,0.000791307528288
WB_678_DIGITAL_GOVERNMENT,WB_1014_CRIMINAL_JUSTICE,"309898
",Undirected,0.000634885748612
SECURITY_SERVICES,MANMADE_DISASTER_IMPLIED,"636572
",Undirected,0.00130414036478
TAX_WORLDLANGUAGES_RUSSIAN,LEADER,"358777
",Undirected,0.000735023795667
LEADER,WB_1014_CRIMINAL_JUSTICE,"10133471
",Undirected,0.0207603673527
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"362836
",Undirected,0.000743339439052
GENERAL_GOVERNMENT,EPU_POLICY_LAW,"438021
",Undirected,0.000897370394429
SECURITY_SERVICES,USPEC_POLITICS_GENERAL1,"513443
",Undirected,0.00105188688996
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,TAX_FNCACT_PRESIDENT,"639187
",Undirected,0.00130949769601
USPEC_POLICY1,WB_678_DIGITAL_GOVERNMENT,"549735
",Undirected,0.00112623804288
GENERAL_GOVERNMENT,CRISISLEX_C07_SAFETY,"762715
",Undirected,0.00156256859919
WB_135_TRANSPORT,GENERAL_GOVERNMENT,"403733
",Undirected,0.000827124821536
WB_678_DIGITAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"514813
",Undirected,0.00105469359886
WB_840_JUSTICE,CRISISLEX_C07_SAFETY,"631301
",Undirected,0.00129334170593
WB_694_BROADCAST_AND_MEDIA,WB_840_JUSTICE,"347228
",Undirected,0.000711363444485
WB_840_JUSTICE,GENERAL_GOVERNMENT,"500930
",Undirected,0.00102625159908
ARMEDCONFLICT,SECURITY_SERVICES,"576533
",Undirected,0.00118113890798
TAX_WORLDLANGUAGES_RUSSIAN,GENERAL_GOVERNMENT,"628019
",Undirected,0.00128661789672
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,"1317460
",Undirected,0.00269907059215
ARMEDCONFLICT,TAX_FNCACT_PRESIDENT,"530601
",Undirected,0.0010870383581
WB_678_DIGITAL_GOVERNMENT,WB_840_JUSTICE,"388954
",Undirected,0.000796847193159
EPU_POLICY_LAW,USPEC_POLICY1,"489285
",Undirected,0.00100239457341
WB_2433_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,"652600
",Undirected,0.00133697681025
USPEC_POLITICS_GENERAL1,WB_2433_CONFLICT_AND_VIOLENCE,"682254
",Undirected,0.0013977287415
MEDIA_MSM,TAX_WORLDLANGUAGES_RUSSIAN,"321449
",Undirected,0.000658550197179
LEGISLATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,"368083
",Undirected,0.000754088929281
EPU_ECONOMY_HISTORIC,TAX_FNCACT_PRESIDENT,"502677
",Undirected,0.00102983066511
LEADER,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"540798
",Undirected,0.00110792887685
KILL,MEDIA_MSM,"10945825
",Undirected,0.0224246310054
GENERAL_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"462502
",Undirected,0.000947524438701
TAX_WORLDLANGUAGES_RUSSIAN,CRISISLEX_CRISISLEXREC,"376725
",Undirected,0.000771793730988
MEDIA_MSM,USPEC_POLITICS_GENERAL1,"386871
",Undirected,0.000792579766411
TAX_WORLDLANGUAGES_RUSSIAN,CRISISLEX_C07_SAFETY,"698434
",Undirected,0.00143087658825
