a_name,b_name,count
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,1600627
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,1317460
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,1317460
MEDIA_MSM,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,836197
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,807224
CRISISLEX_CRISISLEXREC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,749354
MEDIA_MSM,WB_694_BROADCAST_AND_MEDIA,727832
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,714957
USPEC_POLITICS_GENERAL1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,693985
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,668007
CRISISLEX_CRISISLEXREC,WB_694_BROADCAST_AND_MEDIA,632844
CRISISLEX_C07_SAFETY,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,617085
CRISISLEX_C07_SAFETY,WB_678_DIGITAL_GOVERNMENT,590623
TAX_WORLDLANGUAGES_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,589197
TAX_ETHNICITY_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,589172
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,589153
LEGISLATION,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,579102
USPEC_POLICY1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,575115
LEGISLATION,WB_678_DIGITAL_GOVERNMENT,562642
TAX_WORLDLANGUAGES_RUSSIAN,WB_678_DIGITAL_GOVERNMENT,560910
TAX_ETHNICITY_RUSSIAN,WB_678_DIGITAL_GOVERNMENT,560893
USPEC_POLICY1,WB_678_DIGITAL_GOVERNMENT,549735
LEADER,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,540798
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,537478
USPEC_POLITICS_GENERAL1,WB_694_BROADCAST_AND_MEDIA,521325
LEADER,WB_678_DIGITAL_GOVERNMENT,518355
CRISISLEX_C07_SAFETY,WB_694_BROADCAST_AND_MEDIA,515076
WB_678_DIGITAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,514813
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,510491
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,488347
MANMADE_DISASTER_IMPLIED,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,478404
LEADER,WB_694_BROADCAST_AND_MEDIA,467522
GENERAL_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,462502
WB_694_BROADCAST_AND_MEDIA,WB_696_PUBLIC_SECTOR_MANAGEMENT,452887
ARMEDCONFLICT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,449662
MANMADE_DISASTER_IMPLIED,WB_678_DIGITAL_GOVERNMENT,448655
