Source,Target,count,Type,Weight
USPEC_POLICY1,TAX_ETHNICITY_UKRAINIAN,"422653
",Undirected,0.000582938807659
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"362952
",Undirected,0.000500596958066
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"814321
",Undirected,0.00112314194574
WB_2433_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,"514789
",Undirected,0.000710016221004
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"964428
",Undirected,0.00133017512804
KILL,WB_2433_CONFLICT_AND_VIOLENCE,"558907
",Undirected,0.000770865414825
CRISISLEX_CRISISLEXREC,EPU_CATS_NATIONAL_SECURITY,"14537370
",Undirected,0.0200504838113
EPU_POLICY_LAW,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"585275
",Undirected,0.000807233145518
WB_1014_CRIMINAL_JUSTICE,EPU_POLICY_LAW,"548343
",Undirected,0.000756295151361
CRISISLEX_CRISISLEXREC,ARREST,"693701
",Undirected,0.000956778335447
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"597130
",Undirected,0.000823584004413
LEADER,USPEC_POLICY1,"956751
",Undirected,0.00131958672284
LEADER,WB_1014_CRIMINAL_JUSTICE,"10133471
",Undirected,0.0139764617835
USPEC_POLICY1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"716474
",Undirected,0.000988187707833
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"362836
",Undirected,0.000500436966532
TRIAL,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"541743
",Undirected,0.000747192184789
TAX_WORLDLANGUAGES_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"560910
",Undirected,0.000773628027256
GENERAL_GOVERNMENT,KILL,"537034
",Undirected,0.000740697356063
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,"579413
",Undirected,0.000799148056117
GENERAL_GOVERNMENT,TAX_ETHNICITY_UKRAINIAN,"413494
",Undirected,0.000570306372684
WB_1014_CRIMINAL_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"309898
",Undirected,0.000427422899201
EPU_CATS_NATIONAL_SECURITY,USPEC_POLICY1,"8206803
",Undirected,0.0113191292988
TAX_ETHNICITY_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"560893
",Undirected,0.000773604580221
CRISISLEX_CRISISLEXREC,LEGISLATION,"531159
",Undirected,0.000732594336577
MEDIA_MSM,TERROR,"8885802
",Undirected,0.0122556300866
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"807224
",Undirected,0.0011133534982
ARMEDCONFLICT,LEADER,"593890
",Undirected,0.000819115275369
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"357089
",Undirected,0.000492510489428
SOC_GENERALCRIME,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"481779
",Undirected,0.00066448759577
TAX_FNCACT_PRESIDENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"639187
",Undirected,0.000881590590037
CRISISLEX_CRISISLEXREC,TAX_WORLDLANGUAGES_RUSSIA,"935258
",Undirected,0.00128994277427
TAX_WORLDLANGUAGES_RUSSIA,WB_696_PUBLIC_SECTOR_MANAGEMENT,"667734
",Undirected,0.000920963678936
TRIAL,CRISISLEX_C07_SAFETY,"842860
",Undirected,0.00116250400074
TAX_ETHNICITY_RUSSIAN,MEDIA_MSM,"310115
",Undirected,0.000427722193708
TAX_FNCACT_PRESIDENT,GENERAL_GOVERNMENT,"672841
",Undirected,0.00092800744413
UNGP_FORESTS_RIVERS_OCEANS,CRISISLEX_C07_SAFETY,"624840
",Undirected,0.000861802671642
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,"488347
",Undirected,0.000673546426747
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,"640102
",Undirected,0.000882852592221
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,"701229
",Undirected,0.000967161234289
CRISISLEX_C07_SAFETY,TAX_WORLDLANGUAGES_RUSSIA,"747756
",Undirected,0.00103133301091
TAX_WORLDLANGUAGES_RUSSIAN,LEADER,"358777
",Undirected,0.00049483864209
TERROR,WB_1014_CRIMINAL_JUSTICE,"4680535
",Undirected,0.00645556873394
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,"660188
",Undirected,0.000910555953822
WB_831_GOVERNANCE,EPU_CATS_NATIONAL_SECURITY,"3321673
",Undirected,0.00458137549728
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,"638418
",Undirected,0.000880529956508
EPU_POLICY_LAW,KILL,"7009835
",Undirected,0.00966822631517
TAX_WORLDLANGUAGES_RUSSIAN,MEDIA_MSM,"310125
",Undirected,0.000427735986081
UNGP_FORESTS_RIVERS_OCEANS,MEDIA_MSM,"14887390
",Undirected,0.0205332444718
SECURITY_SERVICES,USPEC_POLICY1,"11215084
",Undirected,0.0154682628415
WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,WB_2490_NATIONAL_PROTECTION_AND_SECURITY,"616895
",Undirected,0.000850844630822
LEGISLATION,EPU_ECONOMY_HISTORIC,"9685075
",Undirected,0.0133580172685
USPEC_POLITICS_GENERAL1,GENERAL_GOVERNMENT,"542750
",Undirected,0.00074858107681
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,"521832
",Undirected,0.000719730189726
CRISISLEX_C07_SAFETY,CRISISLEX_T03_DEAD,"657510
",Undirected,0.000906862356173
ARMEDCONFLICT,TAX_ETHNICITY_RUSSIAN,"3919321
",Undirected,0.00540567394665
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,"371163
",Undirected,0.000511921876024
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,"514813
",Undirected,0.0007100493227
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"877840
",Undirected,0.00121074972357
TAX_WORLDLANGUAGES_UKRAINIAN,USPEC_POLICY1,"422637
",Undirected,0.000582916739861
MANMADE_DISASTER_IMPLIED,WB_2433_CONFLICT_AND_VIOLENCE,"556659
",Undirected,0.000767764889241
CRISISLEX_CRISISLEXREC,GENERAL_HEALTH,"810942
",Undirected,0.0011184815027
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"1317508
",Undirected,0.0018171562549
LEGISLATION,SECURITY_SERVICES,"583037
",Undirected,0.000804146412307
WB_696_PUBLIC_SECTOR_MANAGEMENT,MANMADE_DISASTER_IMPLIED,"793458
",Undirected,0.00109436691671
TAX_WORLDLANGUAGES_RUSSIAN,CRISISLEX_C07_SAFETY,"698434
",Undirected,0.000963306265869
