a_name,b_name,count
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,1643736
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1317508
CRISISLEX_C07_SAFETY,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1251795
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,1121180
ARMEDCONFLICT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1045849
USPEC_POLITICS_GENERAL1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,1000821
CRISISLEX_CRISISLEXREC,WB_2433_CONFLICT_AND_VIOLENCE,937892
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,937729
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,937729
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,922580
MEDIA_MSM,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,891472
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,877840
CRISISLEX_C07_SAFETY,WB_2433_CONFLICT_AND_VIOLENCE,855245
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,829779
LEGISLATION,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,829324
ARMEDCONFLICT,WB_2433_CONFLICT_AND_VIOLENCE,818862
KILL,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,749797
GENERAL_GOVERNMENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,748414
TAX_ETHNICITY_RUSSIAN,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,747949
TAX_WORLDLANGUAGES_RUSSIAN,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,747874
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,747668
MANMADE_DISASTER_IMPLIED,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,743997
SECURITY_SERVICES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,736379
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,725197
LEADER,USPEC_POLITICS_GENERAL1,722347
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,719965
USPEC_POLICY1,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,716474
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,701229
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,696929
USPEC_POLITICS_GENERAL1,WB_2433_CONFLICT_AND_VIOLENCE,682254
TERROR,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,679863
WB_1014_CRIMINAL_JUSTICE,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,660188
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,660188
WB_1014_CRIMINAL_JUSTICE,WB_696_PUBLIC_SECTOR_MANAGEMENT,660188
WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,656880
WB_2433_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,652600
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,640102
TAX_FNCACT_PRESIDENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,639187
LEADER,TAX_FNCACT_PRESIDENT,639135
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,638418
TAX_WORLDLANGUAGES_RUSSIA,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,637470
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,631301
LEGISLATION,WB_2433_CONFLICT_AND_VIOLENCE,624192
MEDIA_MSM,WB_2433_CONFLICT_AND_VIOLENCE,623068
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,622036
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2490_NATIONAL_PROTECTION_AND_SECURITY,616895
WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,WB_2490_NATIONAL_PROTECTION_AND_SECURITY,616895
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,612065
