a_name,b_name,count
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_678_DIGITAL_GOVERNMENT,1600627
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_694_BROADCAST_AND_MEDIA,1317460
WB_678_DIGITAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,1317460
MEDIA_MSM,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,807224
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,807224
MEDIA_MSM,WB_694_BROADCAST_AND_MEDIA,727832
CRISISLEX_CRISISLEXREC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,714957
CRISISLEX_CRISISLEXREC,WB_678_DIGITAL_GOVERNMENT,714957
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,668007
USPEC_POLITICS_GENERAL1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,668007
CRISISLEX_CRISISLEXREC,WB_694_BROADCAST_AND_MEDIA,632844
CRISISLEX_C07_SAFETY,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,590623
CRISISLEX_C07_SAFETY,WB_678_DIGITAL_GOVERNMENT,590623
LEGISLATION,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,562642
LEGISLATION,WB_678_DIGITAL_GOVERNMENT,562642
TAX_WORLDLANGUAGES_RUSSIAN,WB_678_DIGITAL_GOVERNMENT,560910
TAX_WORLDLANGUAGES_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,560910
TAX_ETHNICITY_RUSSIAN,WB_678_DIGITAL_GOVERNMENT,560893
TAX_ETHNICITY_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,560893
TAX_ETHNICITY_RUSSIAN,TAX_WORLDLANGUAGES_RUSSIAN,560878
USPEC_POLICY1,WB_678_DIGITAL_GOVERNMENT,549735
USPEC_POLICY1,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,549735
USPEC_POLITICS_GENERAL1,WB_694_BROADCAST_AND_MEDIA,521325
LEADER,WB_678_DIGITAL_GOVERNMENT,518355
LEADER,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,518355
CRISISLEX_C07_SAFETY,WB_694_BROADCAST_AND_MEDIA,515076
WB_678_DIGITAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,514813
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,514813
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,488347
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,488347
LEADER,WB_694_BROADCAST_AND_MEDIA,467522
WB_694_BROADCAST_AND_MEDIA,WB_696_PUBLIC_SECTOR_MANAGEMENT,452887
MANMADE_DISASTER_IMPLIED,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,448655
MANMADE_DISASTER_IMPLIED,WB_678_DIGITAL_GOVERNMENT,448655
GENERAL_GOVERNMENT,WB_678_DIGITAL_GOVERNMENT,442067
GENERAL_GOVERNMENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,442067
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,435922
CRISISLEX_CRISISLEXREC,MEDIA_MSM,433859
ARMEDCONFLICT,WB_678_DIGITAL_GOVERNMENT,431009
ARMEDCONFLICT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,431009
TAX_WORLDLANGUAGES_RUSSIA,WB_678_DIGITAL_GOVERNMENT,422626
TAX_WORLDLANGUAGES_RUSSIA,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,422626
TAX_WORLDLANGUAGES_RUSSIAN,WB_694_BROADCAST_AND_MEDIA,421381
TAX_ETHNICITY_RUSSIAN,WB_694_BROADCAST_AND_MEDIA,421368
LEADER,USPEC_POLITICS_GENERAL1,415089
LEGISLATION,WB_694_BROADCAST_AND_MEDIA,412924
USPEC_POLICY1,WB_694_BROADCAST_AND_MEDIA,403006
KILL,WB_678_DIGITAL_GOVERNMENT,402757
KILL,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,402757
MANMADE_DISASTER_IMPLIED,WB_694_BROADCAST_AND_MEDIA,401556
EPU_ECONOMY_HISTORIC,WB_678_DIGITAL_GOVERNMENT,395390
EPU_ECONOMY_HISTORIC,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,395390
GENERAL_GOVERNMENT,WB_694_BROADCAST_AND_MEDIA,393876
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,392324
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,388954
WB_678_DIGITAL_GOVERNMENT,WB_840_JUSTICE,388954
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_840_JUSTICE,388954
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,387237
TAX_WORLDLANGUAGES_RUSSIA,WB_694_BROADCAST_AND_MEDIA,377280
MEDIA_MSM,USPEC_POLITICS_GENERAL1,376082
USPEC_POLICY1,USPEC_POLITICS_GENERAL1,362952
KILL,WB_694_BROADCAST_AND_MEDIA,360352
TAX_FNCACT_PRESIDENT,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,357089
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,357089
LEADER,TAX_FNCACT_PRESIDENT,357082
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,357034
UNGP_FORESTS_RIVERS_OCEANS,WB_678_DIGITAL_GOVERNMENT,351386
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,351386
CRISISLEX_C07_SAFETY,MEDIA_MSM,350602
EPU_POLICY_LAW,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,348740
EPU_POLICY_LAW,WB_678_DIGITAL_GOVERNMENT,348740
EPU_POLICY_LAW,LEGISLATION,348705
WB_694_BROADCAST_AND_MEDIA,WB_840_JUSTICE,347228
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_2433_CONFLICT_AND_VIOLENCE,343834
WB_2433_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,343834
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_2433_CONFLICT_AND_VIOLENCE,343832
EPU_ECONOMY_HISTORIC,WB_694_BROADCAST_AND_MEDIA,343414
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,340272
CRISISLEX_CRISISLEXREC,MANMADE_DISASTER_IMPLIED,339699
CRISISLEX_CRISISLEXREC,USPEC_POLITICS_GENERAL1,338353
TAX_WORLDLANGUAGES_RUSSIAN,USPEC_POLITICS_GENERAL1,337761
TAX_ETHNICITY_RUSSIAN,USPEC_POLITICS_GENERAL1,337755
SECURITY_SERVICES,WB_678_DIGITAL_GOVERNMENT,336781
SECURITY_SERVICES,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,336781
LEADER,MEDIA_MSM,332540
TAX_FNCACT_PRESIDENT,WB_694_BROADCAST_AND_MEDIA,323292
LEGISLATION,USPEC_POLITICS_GENERAL1,322467
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,319194
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,314752
CRISISLEX_CRISISLEXREC,KILL,313940
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,313155
MEDIA_MSM,WB_696_PUBLIC_SECTOR_MANAGEMENT,312006
EPU_POLICY_LAW,WB_694_BROADCAST_AND_MEDIA,310443
MEDIA_MSM,TAX_WORLDLANGUAGES_RUSSIAN,310125
MEDIA_MSM,TAX_ETHNICITY_RUSSIAN,310115
WB_1014_CRIMINAL_JUSTICE,WB_678_DIGITAL_GOVERNMENT,309898
WB_1014_CRIMINAL_JUSTICE,WB_696_PUBLIC_SECTOR_MANAGEMENT,309898
WB_1014_CRIMINAL_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,309898
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,309898
MEDIA_MSM,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,308857
