Source,Target,count,Type,Weight
WB_1014_CRIMINAL_JUSTICE,WB_831_GOVERNANCE,"829433
",Undirected,0.00132603793576
ARMEDCONFLICT,EPU_ECONOMY_HISTORIC,"10883531
",Undirected,0.0173998080388
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,"514361
",Undirected,0.000822323441045
TAX_FNCACT_PRESIDENT,MEDIA_MSM,"679471
",Undirected,0.00108628945587
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,"1364875
",Undirected,0.00218206416621
CRISISLEX_C07_SAFETY,KILL,"768479
",Undirected,0.00122858905642
ARREST,WB_696_PUBLIC_SECTOR_MANAGEMENT,"598856
",Undirected,0.000957407981185
MEDIA_MSM,WB_2433_CONFLICT_AND_VIOLENCE,"623068
",Undirected,0.000996116388616
TAX_WORLDLANGUAGES_RUSSIAN,GENERAL_GOVERNMENT,"628019
",Undirected,0.00100403169199
TAX_WORLDLANGUAGES_RUSSIAN,WB_2433_CONFLICT_AND_VIOLENCE,"527243
",Undirected,0.000842918257852
WB_840_JUSTICE,TAX_ETHNICITY_RUSSIAN,"1450243
",Undirected,0.00231854439608
TAX_WORLDLANGUAGES_RUSSIAN,USPEC_POLICY1,"786887
",Undirected,0.00125801844532
TAX_WORLDLANGUAGES_RUSSIAN,ARMEDCONFLICT,"3919882
",Undirected,0.00626682593496
EPU_ECONOMY_HISTORIC,WB_831_GOVERNANCE,"8471674
",Undirected,0.0135439042134
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"814321
",Undirected,0.00130187795505
ARMEDCONFLICT,USPEC_POLITICS_GENERAL1,"366334
",Undirected,0.00058566850024
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,SECURITY_SERVICES,"736379
",Undirected,0.00117726988087
LEGISLATION,USPEC_POLICY1,"801747
",Undirected,0.00128177554653
