a_name,b_name,count
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_840_JUSTICE,1802185
CRISISLEX_CRISISLEXREC,WB_696_PUBLIC_SECTOR_MANAGEMENT,1460413
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,1398708
WB_1014_CRIMINAL_JUSTICE,WB_696_PUBLIC_SECTOR_MANAGEMENT,1398708
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,1364875
CRISISLEX_CRISISLEXREC,WB_840_JUSTICE,1175862
CRISISLEX_C07_SAFETY,WB_840_JUSTICE,1140985
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_831_GOVERNANCE,1123850
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_696_PUBLIC_SECTOR_MANAGEMENT,1121180
WB_696_PUBLIC_SECTOR_MANAGEMENT,WB_832_ANTI_CORRUPTION,1077403
WB_831_GOVERNANCE,WB_832_ANTI_CORRUPTION,1077403
CRISISLEX_CRISISLEXREC,WB_1014_CRIMINAL_JUSTICE,1015943
CRISISLEX_C07_SAFETY,WB_1014_CRIMINAL_JUSTICE,1010626
LEGISLATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,1010264
USPEC_POLITICS_GENERAL1,WB_696_PUBLIC_SECTOR_MANAGEMENT,982300
CRISISLEX_C07_SAFETY,CRISISLEX_CRISISLEXREC,966957
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_840_JUSTICE,937729
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_832_ANTI_CORRUPTION,936076
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_831_GOVERNANCE,936076
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,936076
SECURITY_SERVICES,WB_696_PUBLIC_SECTOR_MANAGEMENT,930292
MEDIA_MSM,WB_696_PUBLIC_SECTOR_MANAGEMENT,865786
WB_831_GOVERNANCE,WB_840_JUSTICE,854326
SECURITY_SERVICES,WB_840_JUSTICE,850358
WB_832_ANTI_CORRUPTION,WB_840_JUSTICE,843916
WB_1014_CRIMINAL_JUSTICE,WB_831_GOVERNANCE,829433
CRISISLEX_C07_SAFETY,SECURITY_SERVICES,824046
WB_1014_CRIMINAL_JUSTICE,WB_832_ANTI_CORRUPTION,823145
LEADER,WB_696_PUBLIC_SECTOR_MANAGEMENT,822162
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,814321
EPU_POLICY_LAW,LEGISLATION,814100
SECURITY_SERVICES,WB_1014_CRIMINAL_JUSTICE,809377
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_840_JUSTICE,804815
WB_1014_CRIMINAL_JUSTICE,WB_2024_ANTI_CORRUPTION_AUTHORITIES,795495
MANMADE_DISASTER_IMPLIED,WB_696_PUBLIC_SECTOR_MANAGEMENT,793458
USPEC_POLICY1,WB_696_PUBLIC_SECTOR_MANAGEMENT,791517
KILL,WB_696_PUBLIC_SECTOR_MANAGEMENT,780464
WB_2025_INVESTIGATION,WB_696_PUBLIC_SECTOR_MANAGEMENT,770439
WB_2025_INVESTIGATION,WB_840_JUSTICE,770439
WB_1014_CRIMINAL_JUSTICE,WB_2025_INVESTIGATION,770439
WB_2025_INVESTIGATION,WB_832_ANTI_CORRUPTION,770439
WB_2024_ANTI_CORRUPTION_AUTHORITIES,WB_2025_INVESTIGATION,770439
WB_2025_INVESTIGATION,WB_831_GOVERNANCE,770439
LEGISLATION,WB_840_JUSTICE,770281
CRISISLEX_CRISISLEXREC,SECURITY_SERVICES,767724
CRISISLEX_C07_SAFETY,WB_831_GOVERNANCE,746330
CRISISLEX_CRISISLEXREC,LEGISLATION,743631
