Source,Target,count,Type,Weight
USPEC_POLICY1,WB_694_BROADCAST_AND_MEDIA,"403006
",Undirected,0.000491698270479
WB_694_BROADCAST_AND_MEDIA,MANMADE_DISASTER_IMPLIED,"401556
",Undirected,0.00048992915912
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"362952
",Undirected,0.000442829314369
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"609718
",Undirected,0.000743902785764
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"387237
",Undirected,0.000472458879434
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"964428
",Undirected,0.00117667622716
CRISISLEX_C07_SAFETY,CRISISLEX_C03_WELLBEING_HEALTH,"567557
",Undirected,0.000692463127839
CRISISLEX_CRISISLEXREC,TAX_FNCACT_AUTHORITIES,"738846
",Undirected,0.000901448862672
WB_1014_CRIMINAL_JUSTICE,EPU_POLICY_LAW,"548343
",Undirected,0.000669020572222
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"597130
",Undirected,0.000728544459018
LEADER,USPEC_POLICY1,"956751
",Undirected,0.00116730969757
CRISISLEX_C07_SAFETY,WB_135_TRANSPORT,"648944
",Undirected,0.000791761518284
LEADER,WB_1014_CRIMINAL_JUSTICE,"10133471
",Undirected,0.012363612861
CRISISLEX_C07_SAFETY,WB_831_GOVERNANCE,"746330
",Undirected,0.000910579917436
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"362836
",Undirected,0.000442687785461
TAX_WORLDLANGUAGES_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"560910
",Undirected,0.000684353277356
GENERAL_GOVERNMENT,KILL,"537034
",Undirected,0.000655222723702
CRISISLEX_C07_SAFETY,GENERAL_HEALTH,"579413
",Undirected,0.000706928358369
WB_1014_CRIMINAL_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"309898
",Undirected,0.000378099359873
WB_1014_CRIMINAL_JUSTICE,WB_832_ANTI_CORRUPTION,"823145
",Undirected,0.00100430011676
LEADER,MANMADE_DISASTER_IMPLIED,"502161
",Undirected,0.000612674985489
CRISISLEX_CRISISLEXREC,LEGISLATION,"1094894
",Undirected,0.00133585476682
MEDIA_MSM,TERROR,"8885802
",Undirected,0.0108413608612
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"807224
",Undirected,0.000984875274038
ARMEDCONFLICT,LEADER,"593890
",Undirected,0.000724591410189
ARMEDCONFLICT,WB_832_ANTI_CORRUPTION,"5948186
",Undirected,0.00725724373504
CRISISLEX_T02_INJURED,KILL,"672136
",Undirected,0.000820057539407
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"357089
",Undirected,0.000435676004097
CRISISLEX_CRISISLEXREC,TAX_WORLDLANGUAGES_RUSSIA,"935258
",Undirected,0.00114108658693
TAX_WORLDLANGUAGES_RUSSIA,WB_696_PUBLIC_SECTOR_MANAGEMENT,"667734
",Undirected,0.000814686761338
TRIAL,CRISISLEX_C07_SAFETY,"842860
",Undirected,0.00102835393085
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,TAX_WORLDLANGUAGES_RUSSIAN,"747874
",Undirected,0.000912463716014
CRISISLEX_CRISISLEXREC,TRIAL,"689686
",Undirected,0.000841469887231
TAX_ETHNICITY_RUSSIAN,MEDIA_MSM,"310115
",Undirected,0.000378364116538
TAX_ETHNICITY_RUSSIAN,WB_694_BROADCAST_AND_MEDIA,"421368
",Undirected,0.000514101320663
TAX_FNCACT_PRESIDENT,GENERAL_GOVERNMENT,"672841
",Undirected,0.000820917693551
TAX_WORLDLANGUAGES_RUSSIAN,WB_694_BROADCAST_AND_MEDIA,"421381
",Undirected,0.000514117181661
UNGP_FORESTS_RIVERS_OCEANS,CRISISLEX_C07_SAFETY,"624840
",Undirected,0.00076235278712
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,"488347
",Undirected,0.000595820844587
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,"702650
",Undirected,0.000857286962854
EPU_ECONOMY_HISTORIC,WB_694_BROADCAST_AND_MEDIA,"343414
",Undirected,0.00041899145387
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,"1222706
",Undirected,0.00149179522266
CRISISLEX_C07_SAFETY,TAX_WORLDLANGUAGES_RUSSIA,"747756
",Undirected,0.000912319746952
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,TRIAL,"541743
",Undirected,0.000660968065349
TAX_WORLDLANGUAGES_RUSSIAN,LEADER,"358777
",Undirected,0.000437735493733
TERROR,WB_1014_CRIMINAL_JUSTICE,"4680535
",Undirected,0.00571061216065
WB_694_BROADCAST_AND_MEDIA,KILL,"360352
",Undirected,0.000439657114692
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,"1015943
",Undirected,0.00123952848346
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,"756107
",Undirected,0.000922508608301
EPU_POLICY_LAW,KILL,"7009835
",Undirected,0.00855253704868
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_832_ANTI_CORRUPTION,"7228912
",Undirected,0.00881982781359
TAX_WORLDLANGUAGES_RUSSIAN,MEDIA_MSM,"310125
",Undirected,0.000378376317306
UNGP_FORESTS_RIVERS_OCEANS,MEDIA_MSM,"14887390
",Undirected,0.0181637591374
SECURITY_SERVICES,USPEC_POLICY1,"11215084
",Undirected,0.0136832637878
CRISISLEX_CRISISLEXREC,WB_135_TRANSPORT,"780389
",Undirected,0.000952134513135
LEGISLATION,EPU_ECONOMY_HISTORIC,"9685075
",Undirected,0.0118165353046
