Source,Target,count,Type,Weight
ARMEDCONFLICT,WB_678_DIGITAL_GOVERNMENT,"431009
",Undirected,0.0010108128402
CRISISLEX_CRISISLEXREC,TAX_ETHNICITY_RUSSIAN,"376718
",Undirected,0.000883488260189
TAX_WORLDLANGUAGES_RUSSIAN,TAX_FNCACT_PRESIDENT,"604954
",Undirected,0.00141875290523
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,"514361
",Undirected,0.00120629198764
TAX_FNCACT_PRESIDENT,MEDIA_MSM,"679471
",Undirected,0.00159351199475
UNGP_FORESTS_RIVERS_OCEANS,WB_840_JUSTICE,"16081985
",Undirected,0.0377158642487
CRISISLEX_C07_SAFETY,KILL,"768479
",Undirected,0.00180225573161
WB_2433_CONFLICT_AND_VIOLENCE,KILL,"558907
",Undirected,0.00131076235549
TAX_WORLDLANGUAGES_UKRAINIAN,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"488948
",Undirected,0.00114669279897
TAX_WORLDLANGUAGES_RUSSIAN,GENERAL_GOVERNMENT,"628019
",Undirected,0.00147284550692
TAX_WORLDLANGUAGES_UKRAINIAN,USPEC_POLITICS_GENERAL1,"541561
",Undirected,0.00127008209238
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"351386
",Undirected,0.000824079034701
TAX_WORLDLANGUAGES_RUSSIAN,USPEC_POLICY1,"786887
",Undirected,0.00184542662308
TAX_WORLDLANGUAGES_RUSSIAN,ARMEDCONFLICT,"3919882
",Undirected,0.00919300306416
WB_694_BROADCAST_AND_MEDIA,MANMADE_DISASTER_IMPLIED,"401556
",Undirected,0.000941738944803
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"362952
",Undirected,0.000851203900562
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"814321
",Undirected,0.00190976551034
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"387237
",Undirected,0.000908157676062
ARMEDCONFLICT,USPEC_POLITICS_GENERAL1,"366334
",Undirected,0.000859135449615
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"964428
",Undirected,0.0022618001152
LEGISLATION,USPEC_POLICY1,"801747
",Undirected,0.00188027665825
WB_840_JUSTICE,ARMEDCONFLICT,"569686
",Undirected,0.00133604152972
WB_840_JUSTICE,CRISISLEX_CRISISLEXREC,"622036
",Undirected,0.0014588140291
TAX_WORLDLANGUAGES_RUSSIAN,WB_696_PUBLIC_SECTOR_MANAGEMENT,"643516
",Undirected,0.00150918945005
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"597130
",Undirected,0.00140040386922
LEGISLATION,GENERAL_GOVERNMENT,"592013
",Undirected,0.00138840335577
EPU_POLICY_LAW,LEGISLATION,"488832
",Undirected,0.00114642075294
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,LEGISLATION,"829324
",Undirected,0.0019449509126
USPEC_POLICY1,WB_696_PUBLIC_SECTOR_MANAGEMENT,"791517
",Undirected,0.00185628501224
USPEC_POLITICS_GENERAL1,MANMADE_DISASTER_IMPLIED,"732332
",Undirected,0.00171748290382
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"807224
",Undirected,0.0018931214525
USPEC_POLITICS_GENERAL1,TAX_FNCACT_MINISTER,"558929
",Undirected,0.00131081395043
WB_840_JUSTICE,MANMADE_DISASTER_IMPLIED,"618836
",Undirected,0.0014513093109
MEDICAL,CRISISLEX_CRISISLEXREC,"780759
",Undirected,0.00183105508772
