Source,Target,count,Type,Weight
USPEC_POLICY1,TAX_ETHNICITY_UKRAINIAN,"422653
",Undirected,0.000704777827316
WB_694_BROADCAST_AND_MEDIA,MANMADE_DISASTER_IMPLIED,"401556
",Undirected,0.000669598382659
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"668007
",Undirected,0.00111390791522
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"814321
",Undirected,0.00135788787757
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"387237
",Undirected,0.000645721316343
CRISISLEX_CRISISLEXREC,USPEC_POLICY1,"545551
",Undirected,0.000909711390834
TAX_ETHNICITY_RUSSIAN,CRISISLEX_C07_SAFETY,"698411
",Undirected,0.00116460686936
KILL,WB_2433_CONFLICT_AND_VIOLENCE,"558907
",Undirected,0.00093198264565
WB_1014_CRIMINAL_JUSTICE,EPU_POLICY_LAW,"548343
",Undirected,0.000914367076926
LEADER,WB_2433_CONFLICT_AND_VIOLENCE,"494603
",Undirected,0.00082475512471
LEADER,USPEC_POLICY1,"745001
",Undirected,0.00124229612975
LEADER,WB_1014_CRIMINAL_JUSTICE,"10133471
",Undirected,0.0168976575928
GENERAL_GOVERNMENT,WB_696_PUBLIC_SECTOR_MANAGEMENT,"362836
",Undirected,0.000605032420809
TAX_WORLDLANGUAGES_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"560910
",Undirected,0.000935322666869
LEADER,LEGISLATION,"520409
",Undirected,0.000867786870875
GENERAL_GOVERNMENT,TAX_ETHNICITY_UKRAINIAN,"413494
",Undirected,0.000689505109223
WB_1014_CRIMINAL_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"309898
",Undirected,0.000516757811088
LEADER,TAX_ETHNICITY_RUSSIAN,"670698
",Undirected,0.00111839518287
TAX_ETHNICITY_RUSSIAN,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"560893
",Undirected,0.00093529431921
CRISISLEX_CRISISLEXREC,LEGISLATION,"476498
",Undirected,0.000794564868014
MEDIA_MSM,USPEC_POLITICS_GENERAL1,"1064199
",Undirected,0.00177456177775
MEDIA_MSM,TERROR,"8885802
",Undirected,0.0148171578754
MEDIA_MSM,WB_678_DIGITAL_GOVERNMENT,"807224
",Undirected,0.00134605356375
ARMEDCONFLICT,LEADER,"593890
",Undirected,0.000990317125076
TAX_FNCACT_PRESIDENT,WB_678_DIGITAL_GOVERNMENT,"357089
",Undirected,0.000595449244602
TAX_FNCACT_PRESIDENT,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"638418
",Undirected,0.0010645679812
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_694_BROADCAST_AND_MEDIA,"435922
",Undirected,0.000726904008819
KILL,EPU_POLICY_LAW,"7009835
",Undirected,0.0116889653715
TAX_WORLDLANGUAGES_RUSSIA,WB_696_PUBLIC_SECTOR_MANAGEMENT,"667734
",Undirected,0.00111345268517
TRIAL,CRISISLEX_C07_SAFETY,"842860
",Undirected,0.00140547692677
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,TAX_WORLDLANGUAGES_RUSSIAN,"747874
",Undirected,0.0012470868841
TAX_ETHNICITY_RUSSIAN,MEDIA_MSM,"310115
",Undirected,0.000517119660616
TAX_ETHNICITY_RUSSIAN,WB_694_BROADCAST_AND_MEDIA,"421368
",Undirected,0.000702635077808
TAX_WORLDLANGUAGES_RUSSIAN,WB_694_BROADCAST_AND_MEDIA,"421381
",Undirected,0.000702656755429
UNGP_FORESTS_RIVERS_OCEANS,CRISISLEX_C07_SAFETY,"624840
",Undirected,0.00104192653931
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,WB_678_DIGITAL_GOVERNMENT,"488347
",Undirected,0.000814323186246
ARMEDCONFLICT,CRISISLEX_C07_SAFETY,"640102
",Undirected,0.00106737606694
EPU_ECONOMY_HISTORIC,WB_694_BROADCAST_AND_MEDIA,"343414
",Undirected,0.000572646054305
ARMEDCONFLICT,CRISISLEX_CRISISLEXREC,"540570
",Undirected,0.000901405526785
EPU_ECONOMY,GENERAL_GOVERNMENT,"437942
",Undirected,0.000730272377697
WB_1014_CRIMINAL_JUSTICE,WB_840_JUSTICE,"519952
",Undirected,0.000867024819104
TAX_FNCACT_PRESIDENT,USPEC_POLITICS_GENERAL1,"1622098
",Undirected,0.00270486357398
TAX_WORLDLANGUAGES_RUSSIAN,MEDIA_MSM,"310125
",Undirected,0.000517136335709
UNGP_FORESTS_RIVERS_OCEANS,MEDIA_MSM,"14887390
",Undirected,0.024824861952
SECURITY_SERVICES,USPEC_POLICY1,"11215084
",Undirected,0.0187012573783
CRISISLEX_CRISISLEXREC,WB_135_TRANSPORT,"780389
",Undirected,0.00130130595046
GENERAL_GOVERNMENT,USPEC_POLICY1,"542750
",Undirected,0.000905040697158
GENERAL_GOVERNMENT,WB_2433_CONFLICT_AND_VIOLENCE,"521832
",Undirected,0.000870159736673
TERROR,CRISISLEX_C07_SAFETY,"633877
",Undirected,0.00105699582127
ARMEDCONFLICT,TAX_ETHNICITY_RUSSIAN,"3919321
",Undirected,0.00653550439471
CRISISLEX_CRISISLEXREC,TAX_FNCACT_PRESIDENT,"756107
",Undirected,0.00126081548854
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,EPU_POLICY_LAW,"585275
",Undirected,0.000975951532067
LEADER,WB_840_JUSTICE,"480669
",Undirected,0.000801520049493
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,WB_696_PUBLIC_SECTOR_MANAGEMENT,"514813
",Undirected,0.000858455488579
LEADER,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"722347
",Undirected,0.00120452037304
TAX_WORLDLANGUAGES_UKRAINIAN,USPEC_POLICY1,"422637
",Undirected,0.000704751147167
EPU_POLICY_GOVERNMENT,LEADER,"584515
",Undirected,0.000974684224964
WB_2433_CONFLICT_AND_VIOLENCE,USPEC_POLICY1,"496875
",Undirected,0.000828543705943
CRISISLEX_CRISISLEXREC,WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,"612065
",Undirected,0.00102062410743
LEGISLATION,SECURITY_SERVICES,"583037
",Undirected,0.000972219646152
WB_696_PUBLIC_SECTOR_MANAGEMENT,MANMADE_DISASTER_IMPLIED,"793458
",Undirected,0.0013230986301
EPU_ECONOMY_HISTORIC,CRISISLEX_C07_SAFETY,"361401
",Undirected,0.000602639544898
UNGP_FORESTS_RIVERS_OCEANS,WB_694_BROADCAST_AND_MEDIA,"14782061
",Undirected,0.0246492248602
TAX_WORLDLANGUAGES_RUSSIAN,CRISISLEX_C07_SAFETY,"698434
",Undirected,0.00116464522207
EPU_ECONOMY_HISTORIC,SECURITY_SERVICES,"8944264
",Undirected,0.0149146438068
KILL,GENERAL_GOVERNMENT,"537034
",Undirected,0.00089550921374
LEGISLATION,WB_678_DIGITAL_GOVERNMENT,"562642
",Undirected,0.000938210793055
LEADER,MEDIA_MSM,"777572
",Undirected,0.00129660857664
EPU_ECONOMY_HISTORIC,WB_1014_CRIMINAL_JUSTICE,"7381193
",Undirected,0.0123082083069
