Source,Target,count,Type,Weight
ARMEDCONFLICT,WB_678_DIGITAL_GOVERNMENT,"431009
",Undirected,0.000890042925791
TAX_WORLDLANGUAGES_RUSSIAN,TAX_FNCACT_PRESIDENT,"604954
",Undirected,0.00124924312051
EPU_ECONOMY_HISTORIC,USPEC_POLITICS_GENERAL1,"514361
",Undirected,0.00106216661219
TAX_FNCACT_PRESIDENT,MEDIA_MSM,"679471
",Undirected,0.00140312234044
ARMEDCONFLICT,WB_2433_CONFLICT_AND_VIOLENCE,"818862
",Undirected,0.00169096777631
CRISISLEX_C07_SAFETY,WB_696_PUBLIC_SECTOR_MANAGEMENT,"313155
",Undirected,0.000646671861669
KILL,CRISISLEX_C07_SAFETY,"768479
",Undirected,0.00158692578941
WB_2433_CONFLICT_AND_VIOLENCE,CRISISLEX_C07_SAFETY,"855245
",Undirected,0.0017660994598
USPEC_POLITICS_GENERAL1,TAX_WORLDLANGUAGES_RUSSIA,"729592
",Undirected,0.00150662329166
TAX_WORLDLANGUAGES_RUSSIAN,WB_2433_CONFLICT_AND_VIOLENCE,"527243
",Undirected,0.00108876822137
UNGP_FORESTS_RIVERS_OCEANS,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"351386
",Undirected,0.000725619705208
TAX_WORLDLANGUAGES_RUSSIAN,USPEC_POLICY1,"786887
",Undirected,0.00162493870835
TAX_WORLDLANGUAGES_RUSSIAN,ARMEDCONFLICT,"3919882
",Undirected,0.00809464128136
USPEC_POLITICS_GENERAL1,WB_678_DIGITAL_GOVERNMENT,"668007
",Undirected,0.00137944893199
EPU_POLICY_LAW,WB_696_PUBLIC_SECTOR_MANAGEMENT,"814321
",Undirected,0.0016815905129
ARMEDCONFLICT,WB_694_BROADCAST_AND_MEDIA,"387237
",Undirected,0.000799652797168
ARMEDCONFLICT,USPEC_POLITICS_GENERAL1,"366334
",Undirected,0.00075648764916
WB_1014_CRIMINAL_JUSTICE,WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,"309898
",Undirected,0.000639946086084
